Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,anger,strong;deep;fierce;hot;quick;bitter;wild;dark;heavy;sudden
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,courage,great;bold;true;brave;amazing;real;strong;pure;high;fearless
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,fear,big;cold;dark;deep;awful;terrible;sharp;silent;growing;hidden
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,freedom,full;true;sweet;new;hard;precious;real;complete;personal;open
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,happiness,pure;bright;warm;great;simple;true;deep;endless;shared;quiet
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,hate,strong;deep;cold;bitter;dark;fierce;blind;hard;angry;hidden
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,honesty,true;clear;pure;real;strong;simple;open;fair;brave;complete
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,justice,fair;true;strong;equal;right;clear;pure;hard;real;final
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,knowledge,deep;wide;useful;great;basic;new;old;important;clear;shared
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,love,true;deep;warm;sweet;strong;pure;endless;real;kind;gentle
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,peace,quiet;calm;true;deep;lasting;sweet;inner;global;soft;real
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,wisdom,great;deep;old;true;clear;quiet;strong;pure;simple;shared
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,bell,loud;clear;small;old;shiny;golden;heavy;sweet;silver;bright
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,candle,small;bright;warm;white;soft;long;thin;burning;red;pretty
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,carpet,soft;thick;red;old;clean;big;warm;colorful;expensive;dusty
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,coin,old;shiny;small;silver;gold;rare;round;heavy;dirty;valuable
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,crown,golden;heavy;shiny;royal;old;beautiful;precious;big;silver;grand
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,flag,national;bright;colorful;big;old;torn;proud;red;high;waving
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,mask,scary;black;white;funny;old;strange;wooden;painted;dark;hidden
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,necklace,beautiful;shiny;long;silver;gold;expensive;pretty;thin;elegant;heavy
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,painting,old;beautiful;colorful;big;famous;dark;small;expensive;bright;unique
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,ring,gold;silver;shiny;small;beautiful;expensive;round;tight;simple;elegant
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,statue,tall;old;stone;big;beautiful;white;heavy;famous;ancient;grand
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,vase,old;beautiful;tall;thin;glass;white;expensive;delicate;colorful;small
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,cloud,white;fluffy;big;dark;grey;high;soft;thick;light;moving
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,earthquake,strong;scary;sudden;big;terrible;dangerous;loud;destructive;quick;violent
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,fog,thick;cold;grey;heavy;wet;dark;silent;dense;mysterious;early
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,lightning,bright;fast;scary;loud;sharp;dangerous;white;sudden;powerful;striking
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;wet;soft;sudden;long;hard;warm;gentle
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,rainbow,colorful;bright;beautiful;big;clear;rare;amazing;high;magical;pretty
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;heavy;light;thick;wet;beautiful;quiet;fresh
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,storm,strong;loud;dark;scary;big;dangerous;wild;wet;cold;sudden
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,thunder,loud;deep;scary;strong;sudden;dark;powerful;heavy;sharp;booming
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,tide,high;low;strong;fast;dangerous;big;quiet;regular;cold;rising
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,volcano,active;hot;dangerous;big;tall;dark;red;scary;old;powerful
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,wind,strong;cold;warm;fast;light;hard;dry;wild;gentle;loud
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Food Items,apple,red;green;sweet;fresh;juicy;round;small;hard;ripe;tasty
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Food Items,banana,yellow;long;sweet;soft;ripe;fresh;curved;small;tasty;healthy
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Food Items,beef,red;fresh;tender;tasty;raw;cooked;juicy;thick;expensive;soft
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Food Items,bread,fresh;soft;warm;brown;white;hard;tasty;small;round;sliced
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Food Items,broccoli,green;fresh;healthy;small;hard;tasty;raw;cooked;bitter;crunchy
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Food Items,cheese,yellow;white;soft;hard;tasty;strong;creamy;fresh;old;melted
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Food Items,chicken,fresh;tender;juicy;cooked;raw;tasty;white;small;roasted;fried
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Food Items,egg,white;brown;small;fresh;hard;soft;boiled;fried;round;tasty
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Food Items,fish,fresh;small;big;raw;cooked;tasty;white;silver;wet;salty
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Food Items,pasta,long;short;soft;tasty;hot;fresh;yellow;dry;cooked;Italian
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Food Items,rice,white;brown;soft;sticky;tasty;hot;fresh;dry;long;short
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Food Items,soup,hot;tasty;warm;thick;thin;fresh;salty;clear;creamy;spicy
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Human Roles,artist,creative;talented;young;old;famous;poor;unique;skilled;passionate;quiet
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Human Roles,athlete,strong;fast;young;fit;tall;skilled;famous;hard-working;tough;active
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Human Roles,chef,skilled;famous;creative;busy;talented;old;young;friendly;strict;professional
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Human Roles,doctor,kind;smart;busy;old;young;helpful;friendly;strict;patient;experienced
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Human Roles,engineer,smart;skilled;young;busy;creative;talented;hard-working;serious;technical;innovative
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Human Roles,farmer,hard-working;kind;old;poor;strong;friendly;simple;busy;tired;patient
grok-3,basic,1.0,VI # Vietnamese,B1,most frequent,Human Roles,lawyer,smart;strict;busy;young;old;expensive;serious;helpful;confident;professional
