language1,language2,chi2_statistic,p_value,significant,cohens_d,cohens_d_interpretation,effect_category,lang1_sample_size,lang2_sample_size
AR # Arabic,BN # Bengali,5.2,0.7360016443852393,False,0.04980793059727922,Negligible effect,negligible,12,12
AR # Arabic,DE # German,5.866666666666667,0.7531851712568854,False,-0.17571907404279186,Negligible effect,negligible,12,12
AR # Arabic,ES # Spanish,7.142857142857142,0.6222487301874647,False,-0.1405719710394507,Negligible effect,negligible,12,12
AR # Arabic,FA # Persian,6.533333333333333,0.6855786049967056,False,-0.09491579957525006,Negligible effect,negligible,12,12
AR # Arabic,FR # French,6.0,0.6472318887822313,False,-0.04889033751294336,Negligible effect,negligible,12,12
AR # Arabic,GA # Irish,6.0,0.6472318887822313,False,-0.04889033751294336,Negligible effect,negligible,12,12
AR # Arabic,HE # Hebrew,6.533333333333333,0.6855786049967056,False,-0.09491579957525006,Negligible effect,negligible,12,12
AR # Arabic,HI # Hindi,6.3428571428571425,0.7051735273614894,False,-0.04742877557513207,Negligible effect,negligible,12,12
AR # Arabic,IT # Italian,6.342857142857143,0.7051735273614892,False,-0.04742877557513207,Negligible effect,negligible,12,12
AR # Arabic,JA # Japanese,5.111111111111111,0.7456371124164138,False,0.10162990946395929,Negligible effect,negligible,12,12
AR # Arabic,KO # Korean,5.866666666666667,0.7531851712568854,False,-0.17571907404279186,Negligible effect,negligible,12,12
AR # Arabic,LV # Latvian,5.2,0.7360016443852393,False,0.04980793059727922,Negligible effect,negligible,12,12
AR # Arabic,PL # Polish,5.2,0.7360016443852393,False,0.04980793059727922,Negligible effect,negligible,12,12
AR # Arabic,PS # Pashto,6.0,0.6472318887822313,False,-0.04889033751294336,Negligible effect,negligible,12,12
AR # Arabic,PT # Portuguese,6.533333333333333,0.6855786049967056,False,-0.09491579957525006,Negligible effect,negligible,12,12
AR # Arabic,RU # Russian,5.644444444444444,0.6869895785997089,False,0.0,Negligible effect,negligible,12,12
AR # Arabic,SQ # Albanian,6.3428571428571425,0.7051735273614894,False,-0.04742877557513207,Negligible effect,negligible,12,12
AR # Arabic,SW # Swahili,5.142857142857142,0.7422039707470803,False,-0.1405719710394507,Negligible effect,negligible,12,12
AR # Arabic,TH # Thai,7.142857142857142,0.6222487301874647,False,-0.1405719710394507,Negligible effect,negligible,12,12
AR # Arabic,TR # Turkish,6.0,0.6472318887822313,False,-0.04889033751294336,Negligible effect,negligible,12,12
AR # Arabic,UR # Urdu,6.0,0.6472318887822313,False,-0.04889033751294336,Negligible effect,negligible,12,12
AR # Arabic,VI # Vietnamese,6.0,0.6472318887822313,False,-0.04889033751294336,Negligible effect,negligible,12,12
