Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,english-monolingual,2.0,SQ # Albanian,B1,most frequent,Abstract Concepts,anger,deep;pure;seething;bitter;righteous;cold;quiet;blind;sudden;burning
gemini-2.0-flash,english-monolingual,2.0,SQ # Albanian,B1,most frequent,Abstract Concepts,courage,great;quiet;inner;unwavering;blind;sheer;moral;remarkable;steely;physical
gemini-2.0-flash,english-monolingual,2.0,SQ # Albanian,B1,most frequent,Abstract Concepts,fear,irrational;paralyzing;great;deep;real;overwhelming;crippling;abject;sheer;constant
gemini-2.0-flash,english-monolingual,2.0,SQ # Albanian,B1,most frequent,Abstract Concepts,freedom,great;hard-won;personal;basic;political;economic;guaranteed;fundamental;limited;restricted
gemini-2.0-flash,english-monolingual,2.0,SQ # Albanian,B1,most frequent,Abstract Concepts,happiness,great;pure;true;fleeting;simple;unadulterated;childlike;sheer;immense;genuine
gemini-2.0-flash,english-monolingual,2.0,SQ # Albanian,B1,most frequent,Abstract Concepts,hate,blind;consuming;deep-seated;irrational;intense;pure;utter;corrosive;simmering;underlying
gemini-2.0-flash,english-monolingual,2.0,SQ # Albanian,B1,most frequent,Abstract Concepts,honesty,brutal;complete;unwavering;ultimate;genuine;questionable;inherent;refreshing;fundamental;moral
gemini-2.0-flash,english-monolingual,2.0,SQ # Albanian,B1,most frequent,Abstract Concepts,justice,blind;social;true;swift;equal;rough;divine;legal;impartial;ultimate
gemini-2.0-flash,english-monolingual,2.0,SQ # Albanian,B1,most frequent,Abstract Concepts,knowledge,vast;profound;deep;working;esoteric;expert;practical;technical;acquired;accumulated
gemini-2.0-flash,english-monolingual,2.0,SQ # Albanian,B1,most frequent,Abstract Concepts,love,great;unconditional;true;deep;selfless;forbidden;brotherly;romantic;undying;passionate
gemini-2.0-flash,english-monolingual,2.0,SQ # Albanian,B1,most frequent,Abstract Concepts,peace,lasting;world;fragile;inner;uneasy;relative;hard-won;genuine;negotiated;temporary
gemini-2.0-flash,english-monolingual,2.0,SQ # Albanian,B1,most frequent,Abstract Concepts,wisdom,great;acquired;ancient;practical;worldly;inner;collective;simple;timeless;uncommon
