Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,anger,strong;sudden;deep;great;real;big;hot;quick;wild;silent
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,courage,great;real;strong;true;big;quiet;new;much;little;brave
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,fear,great;deep;real;big;sudden;strong;cold;little;silent;dark
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,freedom,great;real;true;full;new;big;much;little;open;personal
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,happiness,great;real;true;full;big;much;little;simple;quiet;deep
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,hate,deep;strong;real;great;big;cold;sudden;true;silent;wild
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,honesty,real;true;great;full;simple;open;quiet;big;much;deep
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,justice,real;true;great;full;simple;open;big;much;fair;right
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,knowledge,great;deep;real;true;full;big;much;new;little;simple
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,love,true;real;great;deep;big;strong;new;first;much;little
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,peace,great;real;true;full;quiet;deep;new;big;much;simple
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,wisdom,great;deep;real;true;full;big;much;new;little;simple
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;golden;silver;loud;quiet;round;heavy
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,candle,small;big;white;red;long;short;old;new;thin;bright
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;red;green;soft;long;thick;clean
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,coin,old;new;small;big;gold;silver;round;clean;dirty;thin
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,crown,gold;silver;big;small;old;new;heavy;light;bright;rich
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,flag,red;blue;white;green;big;small;old;new;national;bright
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,mask,white;black;red;big;small;old;new;funny;scary;simple
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,necklace,gold;silver;long;short;big;small;old;new;pretty;simple
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,painting,old;new;big;small;famous;pretty;simple;bright;dark;modern
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,ring,gold;silver;big;small;old;new;round;pretty;simple;thin
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,statue,big;small;old;new;white;stone;gold;famous;tall;heavy
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;white;blue;pretty;simple;round;clean
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,cloud,white;big;small;dark;gray;light;high;low;soft;thick
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,earthquake,big;small;strong;weak;sudden;real;great;quick;bad;heavy
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,fog,thick;white;gray;heavy;light;cold;low;morning;soft;wet
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,lightning,bright;quick;strong;sudden;white;big;loud;wild;real;fast
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,rain,heavy;light;big;small;cold;warm;soft;hard;strong;sudden
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,rainbow,big;small;bright;beautiful;colorful;new;real;high;clear;light
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,snow,white;soft;cold;heavy;light;big;small;deep;clean;fresh
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,storm,big;strong;heavy;sudden;wild;bad;cold;quick;dark;loud
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,thunder,loud;big;strong;sudden;wild;real;quick;heavy;deep;bad
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,tide,high;low;big;strong;fast;slow;new;old;real;quick
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,volcano,big;small;old;new;active;quiet;strong;hot;high;dark
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,wind,strong;weak;cold;warm;big;small;fast;slow;soft;light
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Food Items,apple,red;green;big;small;sweet;fresh;round;juicy;soft;hard
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Food Items,banana,yellow;big;small;sweet;ripe;fresh;soft;long;short;old
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Food Items,beef,fresh;cooked;raw;hot;cold;soft;hard;red;brown;good
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Food Items,bread,fresh;old;white;brown;soft;hard;big;small;warm;dry
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Food Items,broccoli,green;fresh;cooked;raw;small;big;soft;hard;healthy;good
gpt-4.1,basic,0.0,ZH # Mandarin,B1,most frequent,Food Items,cheese,yellow;white;soft;hard;fresh;old;big;small;strong;good
