Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,anger,deep;burning;intense;uncontrollable;righteous;quiet;simmering;blind;explosive;suppressed
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,courage,unwavering;quiet;inner;newfound;selfless;fierce;remarkable;true;moral;physical
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,fear,crippling;irrational;deep-seated;gnawing;primal;consuming;paralysing;overwhelming;groundless;ingrained
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,freedom,political;personal;economic;basic;fundamental;hard-won;individual;religious;absolute;limited
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,happiness,pure;simple;fleeting;genuine;infectious;lasting;inner;childlike;conditional;shared
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,hate,burning;intense;bitter;deep-seated;irrational;blind;pure;virulent;mutual;visceral
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,honesty,brutal;refreshing;complete;genuine;sincere;painful;questionable;unflinching;basic;unwavering
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,justice,social;blind;equal;fair;rough;swift;restorative;impartial;criminal;divine
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,knowledge,acquired;extensive;specialized;practical;scientific;working;empirical;common;tacit;theoretical
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,love,unconditional;true;deep;passionate;familial;romantic;enduring;unrequited;maternal;brotherly
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,peace,lasting;uneasy;fragile;relative;global;internal;negotiated;temporary;armed;enforced
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,wisdom,ancient;practical;accumulated;hard-earned;inner;inherent;spiritual;traditional;applied;philosophical
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Cultural Artifacts,bell,church;school;warning;dinner;bicycle;brass;loud;silver;cracked;small
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Cultural Artifacts,candle,beeswax;scented;birthday;votive;Christmas;tall;short;dripless;paraffin;burning
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Cultural Artifacts,carpet,Persian;oriental;wool;area;plush;patterned;handwoven;shag;worn;rectangular
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Cultural Artifacts,coin,gold;silver;antique;commemorative;lucky;rare;foreign;collectible;old;valuable
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Cultural Artifacts,crown,royal;golden;jeweled;silver;floral;bejeweled;ceremonial;magnificent;symbolic;ancient
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Cultural Artifacts,flag,national;red;white;blue;waving;tattered;surrender;protest;regimental;signal
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Cultural Artifacts,mask,surgical;theatrical;protective;Halloween;painted;ornate;Venetian;tribal;papier-mâché;gas
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Cultural Artifacts,necklace,gold;silver;pearl;beaded;diamond;pendant;charm;statement;vintage;antique
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Cultural Artifacts,painting,oil;watercolor;abstract;landscape;portrait;impressionist;famous;priceless;framed;original
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Cultural Artifacts,ring,gold;silver;diamond;engagement;wedding;ruby;antique;signet;plain;promise
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Cultural Artifacts,statue,bronze;marble;stone;towering;historical;monumental;public;commemorative;equestrian;famous
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Cultural Artifacts,vase,glass;ceramic;porcelain;antique;flower;decorative;crystal;tall;short;ornate
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Environmental Phenomena,cloud,white;grey;dark;fluffy;rain;thunder;low;storm;overcast;passing
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Environmental Phenomena,earthquake,devastating;powerful;major;unexpected;minor;aftershock;subterranean;tectonic;historic;regional
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Environmental Phenomena,fog,thick;dense;heavy;pea-soup;swirling;morning;lifting;sea;freezing;eerie
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Environmental Phenomena,lightning,bright;forked;sheet;dangerous;summer;intense;electrical;distant;sudden;blinding
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Environmental Phenomena,rain,heavy;torrential;gentle;persistent;cold;warm;light;driving;acid;sudden
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Environmental Phenomena,rainbow,colorful;vibrant;double;faint;partial;complete;ephemeral;delicate;promising
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Environmental Phenomena,snow,heavy;light;falling;drifting;wet;dry;fresh;powdery;artificial;unexpected
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Environmental Phenomena,storm,electrical;violent;winter;summer;approaching;passing;tropical;gathering;fierce;sudden
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Environmental Phenomena,thunder,loud;rumbling;distant;booming;echoing;rolling;crashing;ominous;low;sudden
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Environmental Phenomena,tide,high;low;incoming;outgoing;strong;neap;spring;receding;advancing;diurnal
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Environmental Phenomena,volcano,active;dormant;extinct;erupting;volcanic;nearby;dangerous;smoking;barren;threatening
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Environmental Phenomena,wind,strong;gentle;warm;cold;gusty;prevailing;howling;north;biting;variable
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Food Items,apple,red;green;juicy;crisp;tart;sweet;ripe;organic;rotten;Granny Smith
gemini-2.0-flash,english-monolingual,2.0,AR # Arabic,B1,most frequent,Food Items,banana,yellow;ripe;unripe;peeled;soft;sweet;Cavendish;overripe;sliced;organic
