Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Abstract Concepts,anger,big;hot;bad;strong;red;hard;quick;silent;long;new
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Abstract Concepts,courage,big;good;strong;new;true;important;first;real;little;happy
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Abstract Concepts,fear,big;bad;dark;new;real;cold;strong;first;little;silent
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Abstract Concepts,freedom,big;new;good;real;true;first;important;small;happy;different
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Abstract Concepts,happiness,big;good;true;real;new;happy;small;important;different;nice
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Abstract Concepts,hate,big;bad;strong;new;true;real;old;first;little;cold
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Abstract Concepts,honesty,big;good;true;important;new;first;real;old;small;long
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Abstract Concepts,justice,big;good;true;important;new;real;strong;fair;hard;equal
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Abstract Concepts,knowledge,big;good;important;new;real;true;much;first;little;old
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Abstract Concepts,love,big;good;true;new;strong;happy;real;first;little;important
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Abstract Concepts,peace,big;good;new;true;real;long;first;happy;small;important
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Abstract Concepts,wisdom,big;good;important;old;true;real;much;first;little;different
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Cultural Artifacts,bell,big;small;new;old;loud;good;different;long;beautiful;metal
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Cultural Artifacts,candle,big;small;white;new;old;good;hot;different;long;wax
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Cultural Artifacts,carpet,big;small;new;old;red;blue;good;long;soft;nice
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Cultural Artifacts,coin,big;small;gold;silver;new;old;metal;good;round;first
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Cultural Artifacts,crown,big;gold;new;old;good;beautiful;important;small;different;long
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Cultural Artifacts,flag,big;small;new;red;white;blue;good;long;old;different
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Cultural Artifacts,mask,big;small;new;white;black;good;different;old;paper;plastic
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Cultural Artifacts,necklace,big;small;gold;new;old;good;beautiful;silver;long;different
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Cultural Artifacts,painting,big;small;new;old;good;beautiful;different;first;nice;red
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Cultural Artifacts,ring,big;small;gold;silver;new;old;good;beautiful;different;round
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Cultural Artifacts,statue,big;small;new;old;good;white;beautiful;stone;metal;different
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Cultural Artifacts,vase,big;small;new;old;glass;good;beautiful;different;white;blue
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Environmental Phenomena,cloud,big;small;white;black;new;old;good;grey;dark;different
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Environmental Phenomena,earthquake,big;strong;bad;new;old;first;real;small;important;different
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Environmental Phenomena,fog,big;thick;cold;white;new;old;good;grey;dark;little
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Environmental Phenomena,lightning,big;fast;bright;strong;new;bad;different;hot;good;white
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Environmental Phenomena,rain,big;small;cold;hard;new;old;good;long;heavy;much
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Environmental Phenomena,rainbow,big;new;good;beautiful;colorful;first;bright;long;small;different
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Environmental Phenomena,snow,big;small;white;cold;new;old;good;first;heavy;soft
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Environmental Phenomena,storm,big;bad;strong;new;old;good;first;long;heavy;hard
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Environmental Phenomena,thunder,big;loud;strong;new;old;bad;first;long;important;different
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Environmental Phenomena,tide,big;high;low;new;good;old;first;long;strong;different
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Environmental Phenomena,volcano,big;high;new;old;hot;good;strong;first;real;important
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Environmental Phenomena,wind,big;strong;cold;hot;new;old;good;fast;bad;different
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Food Items,apple,big;small;red;green;new;good;sweet;different;fresh;old
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Food Items,banana,big;small;yellow;new;good;sweet;different;fresh;ripe;old
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Food Items,beef,big;good;new;old;red;fresh;raw;cooked;different;much
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Food Items,bread,big;small;new;old;white;brown;good;different;fresh;hard
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Food Items,broccoli,big;small;green;new;good;fresh;raw;cooked;different;old
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Food Items,cheese,big;small;yellow;white;new;old;good;hard;soft;different
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Food Items,chicken,big;small;new;old;good;cooked;raw;fried;different;fresh
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Food Items,egg,big;small;white;brown;new;old;good;cooked;raw;different
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Food Items,fish,big;small;new;old;good;fresh;salt;sea;different;cooked
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Food Items,pasta,big;small;new;old;good;long;white;yellow;different;cooked
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Food Items,rice,big;small;new;old;good;white;brown;cooked;different;much
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Food Items,soup,big;hot;new;old;good;chicken;tomato;vegetable;different;tasty
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Human Roles,artist,big;small;new;old;good;famous;different;young;first;important
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Human Roles,athlete,big;small;new;old;good;strong;fast;different;famous;young
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Human Roles,chef,big;new;old;good;famous;different;french;first;italian;happy
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Human Roles,doctor,big;new;old;good;important;different;young;first;famous;little
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Human Roles,engineer,big;new;old;good;important;different;young;first;civil
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Human Roles,farmer,big;new;old;good;hard;different;small;first;happy;poor
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Human Roles,lawyer,big;new;old;good;important;different;young;first;famous;bad
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Human Roles,musician,big;new;old;good;famous;different;young;first;little
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Human Roles,scientist,big;new;old;good;important;different;young;first;famous;smart
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Human Roles,soldier,big;new;old;good;strong;different;young;first;brave;little
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Human Roles,teacher,big;new;old;good;important;different;young;first;little;nice
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Human Roles,writer,big;new;old;good;famous;different;young;first;important
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Inanimate Objects,book,big;small;new;old;good;important;long;different;first;happy
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Inanimate Objects,bridge,big;long;new;old;good;strong;small;wooden;steel;different
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Inanimate Objects,drums,big;small;new;old;loud;good;different;first;long;hard
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Inanimate Objects,earth,big;round;new;old;good;important;first;different;green;blue
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Inanimate Objects,flute,big;small;new;old;good;beautiful;long;different;wooden;first
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Inanimate Objects,key,big;small;new;old;good;important;first;different;metal;silver
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Inanimate Objects,knife,big;small;new;old;good;sharp;different;first;metal;silver
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Inanimate Objects,lock,big;small;new;old;good;metal;strong;different;first;hard
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Inanimate Objects,moon,big;small;new;old;good;white;round;full;bright;different
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Inanimate Objects,pen,big;small;new;old;good;black;blue;different;red;cheap
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Inanimate Objects,sun,big;hot;new;old;good;bright;yellow;first;strong;important
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Inanimate Objects,sword,big;small;new;old;good;sharp;strong;different;long;metal
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Neutral Animals,cat,big;small;new;old;good;black;white;different;long;first
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Neutral Animals,dog,big;small;new;old;good;black;white;different;long;first
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Neutral Animals,dolphin,big;small;new;old;good;grey;fast;smart;different;sea
gemini-2.0-flash,basic,2.0,BN # Bengali,B1,most frequent,Neutral Animals,elephant,big;new;old;good;grey;strong;different;long;african;small
