Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Abstract Concepts,anger,strong;deep;hot;quick;wild;dark;heavy;bitter;fierce;loud
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Abstract Concepts,courage,big;brave;true;bold;great;pure;real;strong;quiet;inner
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Abstract Concepts,fear,cold;deep;dark;sudden;sharp;silent;hidden;strong;terrible;constant
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Abstract Concepts,freedom,true;full;sweet;hard;new;personal;basic;complete;total;precious
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Abstract Concepts,happiness,pure;simple;bright;warm;real;deep;great;true;soft;endless
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Abstract Concepts,hate,strong;deep;dark;bitter;cold;fierce;blind;heavy;cruel;hidden
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Abstract Concepts,honesty,true;pure;clear;simple;real;strong;complete;basic;open;fair
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Abstract Concepts,justice,fair;true;strong;clear;equal;real;hard;pure;honest;final
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Abstract Concepts,knowledge,deep;wide;great;useful;basic;clear;true;strong;vast;practical
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Abstract Concepts,love,true;deep;warm;sweet;pure;strong;real;soft;endless;kind
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Abstract Concepts,peace,quiet;calm;true;deep;sweet;lasting;inner;soft;pure;gentle
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Abstract Concepts,wisdom,deep;true;great;old;clear;quiet;strong;pure;simple;practical
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,bell,loud;clear;small;old;shiny;golden;heavy;bright;sweet;metal
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,candle,small;bright;warm;soft;white;long;thin;glowing;simple;quiet
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,carpet,soft;thick;red;old;big;warm;clean;heavy;colorful;expensive
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,coin,old;small;shiny;silver;gold;round;heavy;rare;dirty;valuable
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,crown,golden;heavy;shiny;royal;old;beautiful;big;precious;bright;elegant
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,flag,bright;colorful;big;national;old;torn;proud;waving;simple;bold
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,mask,dark;scary;funny;colorful;old;strange;wooden;hidden;light;mysterious
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,necklace,beautiful;shiny;long;silver;gold;expensive;delicate;simple;elegant;precious
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,painting,beautiful;old;colorful;big;famous;dark;bright;expensive;detailed;classic
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,ring,small;shiny;gold;silver;beautiful;expensive;simple;round;elegant;precious
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,statue,tall;old;stone;big;beautiful;heavy;famous;white;ancient;detailed
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,vase,delicate;old;beautiful;tall;thin;glass;colorful;expensive;simple;elegant
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,cloud,white;fluffy;big;dark;soft;high;gray;light;thick;moving
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,earthquake,strong;sudden;scary;powerful;dangerous;loud;terrible;destructive;quick;violent
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,fog,thick;cold;gray;heavy;silent;dark;wet;mysterious;light;early
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,lightning,bright;quick;loud;scary;sharp;powerful;dangerous;fast;white;sudden
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;soft;warm;steady;quick;dark;wet;gentle
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,rainbow,colorful;bright;beautiful;rare;big;clear;magical;soft;high;lovely
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;heavy;light;thick;quiet;beautiful;wet;fresh
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,storm,strong;loud;dark;scary;powerful;dangerous;wild;heavy;sudden;violent
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,thunder,loud;deep;scary;strong;sudden;powerful;dark;heavy;quick;frightening
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,tide,high;low;strong;calm;steady;dangerous;quick;powerful;quiet;natural
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,volcano,active;dangerous;hot;big;tall;dark;powerful;scary;old;fiery
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,wind,strong;cold;warm;light;fast;soft;heavy;wild;gentle;loud
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Food Items,apple,red;green;sweet;fresh;juicy;small;round;hard;tasty;ripe
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Food Items,banana,yellow;long;sweet;soft;fresh;ripe;small;curved;tasty;healthy
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Food Items,beef,red;fresh;tender;juicy;expensive;raw;cooked;thick;soft;tasty
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Food Items,bread,fresh;soft;warm;brown;white;hard;tasty;small;round;crispy
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Food Items,broccoli,green;fresh;healthy;small;hard;raw;cooked;bitter;tasty;light
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Food Items,cheese,yellow;white;soft;hard;tasty;strong;creamy;fresh;old;expensive
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Food Items,chicken,fresh;tender;juicy;cooked;raw;white;tasty;small;soft;roasted
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Food Items,egg,white;brown;small;fresh;hard;soft;round;boiled;raw;tasty
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Food Items,fish,fresh;small;big;raw;cooked;tasty;white;silver;wet;salty
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Food Items,pasta,soft;fresh;tasty;long;short;yellow;hot;simple;creamy;Italian
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Food Items,rice,white;brown;soft;sticky;fresh;hot;simple;tasty;small;plain
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Food Items,soup,hot;tasty;warm;thick;thin;fresh;creamy;light;salty;healthy
grok-3,think-in-native,0.0,PT # Portuguese,B1,most frequent,Human Roles,artist,creative;talented;famous;young;old;poor;rich;quiet;passionate;skilled
