Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,anger,bad;big;hot;strong;real;true;much;other;same;different
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,courage,good;big;real;strong;true;other;much;same;different;important
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,fear,big;bad;real;strong;much;other;same;different;little;new
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,freedom,good;big;real;true;much;other;same;different;new;important
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,happiness,good;big;real;true;much;other;same;different;new;important
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,hate,big;bad;strong;real;much;other;same;different;new;little
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,honesty,good;big;real;true;much;other;same;different;new;important
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,justice,good;big;real;true;much;other;same;different;new;important
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,knowledge,good;big;real;much;other;same;different;new;important;true
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,love,good;big;real;true;much;other;same;different;new;important
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,peace,good;big;real;true;much;other;same;different;new;important
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Abstract Concepts,wisdom,good;big;real;true;much;other;same;different;new;important
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;good;real;other;same;different
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,candle,small;big;white;new;old;good;real;other;same;different
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,carpet,big;small;new;old;red;good;real;other;same;different
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,coin,small;old;new;gold;silver;good;real;other;same;different
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,crown,big;gold;old;new;good;real;other;same;different;important
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,flag,big;small;red;white;new;old;good;real;other;same
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,mask,big;small;new;old;white;good;real;other;same;different
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,necklace,small;big;gold;new;old;good;real;other;same;different
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,painting,big;small;new;old;good;real;other;same;different;important
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,ring,small;gold;new;old;good;real;other;same;different;important
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,statue,big;small;old;new;good;real;other;same;different;important
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Cultural Artifacts,vase,big;small;new;old;good;real;other;same;different;important
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Environmental Phenomena,cloud,big;white;grey;black;new;other;same;different;good;real
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Environmental Phenomena,earthquake,big;strong;bad;real;other;same;different;new;important;true
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Environmental Phenomena,fog,thick;white;new;old;good;real;other;same;different;important
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Environmental Phenomena,lightning,bright;big;strong;bad;real;other;same;different;new;important
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Environmental Phenomena,rain,big;small;strong;hard;good;real;other;same;different;new
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Environmental Phenomena,rainbow,big;bright;new;good;real;other;same;different;important;true
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Environmental Phenomena,snow,white;big;new;cold;good;real;other;same;different;important
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Environmental Phenomena,storm,big;strong;bad;real;other;same;different;new;important;true
gemini-2.0-flash,basic,1.0,SW # Swahili,B1,most frequent,Environmental Phenomena,thunder,loud;big;strong;bad;real;other;same;different;new;important
