Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,anger,strong;fierce;hot;deep;wild;sudden;bitter;sharp;intense;dark
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,courage,great;bold;true;brave;amazing;powerful;real;heroic;bright;pure
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,fear,cold;heavy;dark;big;hidden;quiet;strange;terrible;deep;growing
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,freedom,full;true;sweet;new;wide;precious;open;bright;strong;happy
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,happiness,warm;pure;bright;deep;simple;true;great;soft;real;long
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,hate,strong;dark;cold;bitter;deep;fierce;hidden;angry;sharp;bad
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,honesty,pure;true;clear;strong;good;bright;open;real;simple;fair
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,justice,fair;strong;true;clear;right;pure;good;high;real;honest
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,knowledge,deep;wide;great;useful;new;old;rich;clear;important;basic
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,love,deep;warm;true;sweet;strong;pure;soft;bright;real;kind
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,peace,calm;quiet;sweet;pure;true;gentle;bright;deep;long;happy
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,wisdom,deep;old;great;clear;true;quiet;strong;pure;high;real
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,bell,loud;clear;small;old;shiny;heavy;bright;golden;sweet;round
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,candle,small;warm;bright;soft;white;glowing;old;thin;red;quiet
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,carpet,soft;thick;red;old;big;warm;clean;colorful;heavy;smooth
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,coin,old;small;shiny;heavy;round;silver;golden;rare;dirty;cold
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,crown,golden;heavy;shiny;old;big;beautiful;royal;bright;rich;grand
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,flag,bright;colorful;big;old;national;red;white;blue;proud;high
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,mask,strange;dark;scary;old;funny;black;hidden;wooden;small;weird
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,necklace,beautiful;shiny;long;silver;gold;heavy;pretty;old;elegant;thin
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,painting,beautiful;old;colorful;big;famous;dark;bright;small;pretty;unique
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,ring,small;shiny;gold;silver;beautiful;old;round;heavy;pretty;simple
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,statue,tall;old;heavy;big;stone;beautiful;white;ancient;cold;grand
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,vase,tall;old;beautiful;thin;glass;white;small;colorful;delicate;pretty
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,cloud,white;big;soft;dark;high;fluffy;grey;heavy;thick;moving
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,earthquake,strong;scary;sudden;powerful;terrible;big;dangerous;loud;wild;bad
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,fog,thick;cold;white;heavy;grey;quiet;dark;strange;wet;deep
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,lightning,bright;fast;loud;scary;sharp;strong;white;dangerous;wild;sudden
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,rain,heavy;cold;soft;light;wet;grey;long;sudden;dark;quiet
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,rainbow,bright;colorful;beautiful;big;pretty;rare;happy;clear;magical;high
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;thick;heavy;beautiful;quiet;light;pure;falling
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,storm,strong;loud;dark;wild;heavy;scary;big;dangerous;wet;cold
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,thunder,loud;deep;scary;strong;sudden;dark;powerful;wild;heavy;big
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,tide,high;low;strong;big;fast;dangerous;wild;cold;wet;moving
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,volcano,hot;big;dangerous;active;tall;dark;scary;red;powerful;old
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,wind,strong;cold;fast;loud;wild;soft;warm;high;sharp;blowing
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Food Items,apple,red;sweet;round;fresh;small;green;juicy;hard;tasty;ripe
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Food Items,banana,yellow;long;sweet;soft;fresh;ripe;small;tasty;healthy;curved
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Food Items,beef,red;fresh;tasty;thick;juicy;expensive;soft;cooked;raw;heavy
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Food Items,bread,soft;fresh;warm;white;brown;tasty;thick;hard;small;round
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Food Items,broccoli,green;fresh;healthy;small;hard;tasty;raw;cooked;bitter;thick
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Food Items,cheese,yellow;soft;hard;tasty;white;strong;creamy;old;melted;fresh
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Food Items,chicken,white;tasty;soft;fresh;cooked;juicy;small;fried;raw;tender
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Food Items,egg,white;small;fresh;hard;soft;round;yellow;cooked;raw;fragile
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Food Items,fish,fresh;small;big;tasty;raw;cooked;silver;wet;cold;slippery
grok-3,think-in-native,1.0,JA # Japanese,B1,most frequent,Food Items,pasta,soft;tasty;long;yellow;cooked;fresh;hot;simple;thin;Italian
