Language,Response,Count,Percentage
AR # Arabic,desert,2,4.17
AR # Arabic,bread,2,4.17
AR # Arabic,courage,1,2.08
AR # Arabic,brother,1,2.08
AR # Arabic,dog,1,2.08
AR # Arabic,lake,1,2.08
AR # Arabic,river,1,2.08
AR # Arabic,cactus,1,2.08
AR # Arabic,rose,1,2.08
AR # Arabic,grass,1,2.08
AR # Arabic,potato,1,2.08
AR # Arabic,rival,1,2.08
AR # Arabic,elephant,1,2.08
AR # Arabic,father,1,2.08
AR # Arabic,stranger,1,2.08
AR # Arabic,east,1,2.08
AR # Arabic,inside,1,2.08
AR # Arabic,west,1,2.08
AR # Arabic,above,1,2.08
AR # Arabic,morning,1,2.08
AR # Arabic,evening,1,2.08
AR # Arabic,second,1,2.08
AR # Arabic,monkey,1,2.08
AR # Arabic,cat,1,2.08
AR # Arabic,justice,1,2.08
AR # Arabic,lock,1,2.08
AR # Arabic,wisdom,1,2.08
AR # Arabic,freedom,1,2.08
AR # Arabic,candle,1,2.08
AR # Arabic,flag,1,2.08
AR # Arabic,painting,1,2.08
AR # Arabic,crown,1,2.08
AR # Arabic,earthquake,1,2.08
AR # Arabic,rainbow,1,2.08
AR # Arabic,volcano,1,2.08
AR # Arabic,fog,1,2.08
AR # Arabic,banana,1,2.08
AR # Arabic,beef,1,2.08
AR # Arabic,artist,1,2.08
AR # Arabic,soldier,1,2.08
AR # Arabic,teacher,1,2.08
AR # Arabic,farmer,1,2.08
AR # Arabic,book,1,2.08
AR # Arabic,bridge,1,2.08
AR # Arabic,moon,1,2.08
AR # Arabic,century,1,2.08
BN # Bengali,potato,2,4.17
BN # Bengali,courage,1,2.08
BN # Bengali,cat,1,2.08
BN # Bengali,monkey,1,2.08
BN # Bengali,dog,1,2.08
BN # Bengali,lake,1,2.08
BN # Bengali,ocean,1,2.08
BN # Bengali,river,1,2.08
BN # Bengali,island,1,2.08
BN # Bengali,cactus,1,2.08
BN # Bengali,rose,1,2.08
BN # Bengali,grass,1,2.08
BN # Bengali,brother,1,2.08
BN # Bengali,rival,1,2.08
BN # Bengali,father,1,2.08
BN # Bengali,stranger,1,2.08
BN # Bengali,east,1,2.08
BN # Bengali,inside,1,2.08
BN # Bengali,outside,1,2.08
BN # Bengali,above,1,2.08
BN # Bengali,morning,1,2.08
BN # Bengali,evening,1,2.08
BN # Bengali,second,1,2.08
BN # Bengali,elephant,1,2.08
BN # Bengali,lock,1,2.08
BN # Bengali,honesty,1,2.08
BN # Bengali,moon,1,2.08
BN # Bengali,wisdom,1,2.08
BN # Bengali,freedom,1,2.08
BN # Bengali,candle,1,2.08
BN # Bengali,"flag there! I'm thrilled to help with this. After thinking it over in my native Bengali, where national pride often ties deeply to symbols of unity and history, I've made my choice.

Answer: flag",1,2.08
BN # Bengali,painting,1,2.08
BN # Bengali,crown,1,2.08
BN # Bengali,earthquake,1,2.08
BN # Bengali,rainbow,1,2.08
BN # Bengali,thunder,1,2.08
BN # Bengali,fog,1,2.08
BN # Bengali,banana,1,2.08
BN # Bengali,fish,1,2.08
BN # Bengali,rice,1,2.08
BN # Bengali,artist,1,2.08
BN # Bengali,soldier,1,2.08
BN # Bengali,teacher,1,2.08
BN # Bengali,farmer,1,2.08
BN # Bengali,book,1,2.08
BN # Bengali,bridge,1,2.08
BN # Bengali,century,1,2.08
DE # German,bread,2,4.17
DE # German,courage,1,2.08
DE # German,elephant,1,2.08
DE # German,dog,1,2.08
DE # German,lake,1,2.08
DE # German,ocean,1,2.08
DE # German,forest,1,2.08
DE # German,island,1,2.08
DE # German,cactus,1,2.08
DE # German,rose,1,2.08
DE # German,grass,1,2.08
DE # German,potato,1,2.08
DE # German,brother,1,2.08
DE # German,rival,1,2.08
DE # German,father,1,2.08
DE # German,stranger,1,2.08
DE # German,front,1,2.08
DE # German,inside,1,2.08
DE # German,west,1,2.08
DE # German,above,1,2.08
DE # German,morning,1,2.08
DE # German,evening,1,2.08
DE # German,second,1,2.08
DE # German,monkey,1,2.08
DE # German,cat,1,2.08
DE # German,justice,1,2.08
DE # German,lock,1,2.08
DE # German,wisdom,1,2.08
DE # German,freedom,1,2.08
DE # German,candle,1,2.08
DE # German,flag,1,2.08
DE # German,painting,1,2.08
DE # German,crown,1,2.08
DE # German,earthquake,1,2.08
DE # German,rainbow,1,2.08
DE # German,volcano,1,2.08
DE # German,fog,1,2.08
DE # German,banana,1,2.08
DE # German,beef,1,2.08
DE # German,artist,1,2.08
DE # German,soldier,1,2.08
DE # German,teacher,1,2.08
DE # German,farmer,1,2.08
DE # German,book,1,2.08
DE # German,bridge,1,2.08
DE # German,moon,1,2.08
DE # German,century,1,2.08
ES # Spanish,courage,1,2.08
ES # Spanish,justice,1,2.08
ES # Spanish,monkey,1,2.08
ES # Spanish,dog,1,2.08
ES # Spanish,lake,1,2.08
ES # Spanish,ocean,1,2.08
ES # Spanish,valley,1,2.08
ES # Spanish,island,1,2.08
ES # Spanish,cactus,1,2.08
ES # Spanish,rose,1,2.08
ES # Spanish,grass,1,2.08
ES # Spanish,potato,1,2.08
ES # Spanish,brother,1,2.08
ES # Spanish,rival,1,2.08
ES # Spanish,father,1,2.08
ES # Spanish,stranger,1,2.08
ES # Spanish,front,1,2.08
ES # Spanish,inside,1,2.08
ES # Spanish,outside,1,2.08
ES # Spanish,above,1,2.08
ES # Spanish,morning,1,2.08
ES # Spanish,evening,1,2.08
ES # Spanish,second,1,2.08
ES # Spanish,elephant,1,2.08
ES # Spanish,cat,1,2.08
