Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,english-monolingual,2.0,PS # Pashto,B1,most frequent,Abstract Concepts,anger,deep;hot;righteous;cold;blind;suppressed;bottled;consuming;sudden;seething
gemini-2.0-flash,english-monolingual,2.0,PS # Pashto,B1,most frequent,Abstract Concepts,courage,great;true;unwavering;inner;moral;quiet;newfound;reckless;surprising;exceptional
gemini-2.0-flash,english-monolingual,2.0,PS # Pashto,B1,most frequent,Abstract Concepts,fear,great;crippling;irrational;constant;primal;consuming;real;deep;sudden;abject
gemini-2.0-flash,english-monolingual,2.0,PS # Pashto,B1,most frequent,Abstract Concepts,freedom,political;economic;personal;individual;religious;civil;true;absolute;conditional;basic
gemini-2.0-flash,english-monolingual,2.0,PS # Pashto,B1,most frequent,Abstract Concepts,happiness,great;true;pure;simple;inner;fleeting;immense;perfect;genuine;quiet
gemini-2.0-flash,english-monolingual,2.0,PS # Pashto,B1,most frequent,Abstract Concepts,hate,pure;burning;blind;intense;consuming;deep;abiding;virulent;irrational
gemini-2.0-flash,english-monolingual,2.0,PS # Pashto,B1,most frequent,Abstract Concepts,honesty,complete;brutal;essential;radical;refreshing;admirable;demonstrable;implicit;inherent;proven
gemini-2.0-flash,english-monolingual,2.0,PS # Pashto,B1,most frequent,Abstract Concepts,justice,social;criminal;economic;environmental;restorative;due;equal;swift;impartial;ultimate
gemini-2.0-flash,english-monolingual,2.0,PS # Pashto,B1,most frequent,Abstract Concepts,knowledge,great;vast;detailed;specific;practical;esoteric;acquired;scientific;historical;common
gemini-2.0-flash,english-monolingual,2.0,PS # Pashto,B1,most frequent,Abstract Concepts,love,great;true;unconditional;deep;enduring;first;forbidden;passionate;parental;romantic
gemini-2.0-flash,english-monolingual,2.0,PS # Pashto,B1,most frequent,Abstract Concepts,peace,world;lasting;uneasy;inner;fragile;relative;absolute;negotiated;cold;quiet
gemini-2.0-flash,english-monolingual,2.0,PS # Pashto,B1,most frequent,Abstract Concepts,wisdom,great;ancient;inner;profound;accumulated;practical;conventional;worldly;inherited;personal
gemini-2.0-flash,english-monolingual,2.0,PS # Pashto,B1,most frequent,Cultural Artifacts,bell,loud;clear;silver;brass;church;school;dinner;warning;fire;old
gemini-2.0-flash,english-monolingual,2.0,PS # Pashto,B1,most frequent,Cultural Artifacts,candle,wax;burning;white;small;tall;flickering;scented;votive;decorative;stubby
gemini-2.0-flash,english-monolingual,2.0,PS # Pashto,B1,most frequent,Cultural Artifacts,carpet,oriental;Persian;wool;thick;thin;patterned;rolled;red;fitted;expensive
gemini-2.0-flash,english-monolingual,2.0,PS # Pashto,B1,most frequent,Cultural Artifacts,coin,gold;silver;bronze;ancient;rare;counterfeit;lucky;commemorative;shiny;collectible
