Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Abstract Concepts,anger,intense;blind;uncontrollable;deep-seated;sudden;righteous;quiet;burning;suppressed;cold
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Abstract Concepts,courage,great;quiet;moral;blind;unexpected;physical;steadfast;true;inner;remarkable
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Abstract Concepts,fear,overwhelming;irrational;crippling;consuming;primal;nameless;deep-seated;abject;groundless;mortal
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Abstract Concepts,freedom,true;absolute;fundamental;civil;personal;economic;political;religious;guaranteed;national
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Abstract Concepts,happiness,true;pure;fleeting;simple;deep;unadulterated;childlike;genuine;lasting;infectious
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Abstract Concepts,hate,burning;intense;irrational;blind;visceral;consuming;bitter;deep-seated;abiding;virulent
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Abstract Concepts,honesty,brutal;unwavering;refreshing;complete;sincere;implicit;ingrained;unquestionable;essential;absolute
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Abstract Concepts,justice,blind;social;equal;fair;swift;retributive;restorative;criminal;summary;impartial
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Abstract Concepts,knowledge,practical;theoretical;expert;scientific;tacit;profound;specialized;working;encyclopedic;imperfect
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Abstract Concepts,love,unconditional;true;passionate;first;undying;parental;brotherly;forbidden;lost;reciprocated
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Abstract Concepts,peace,lasting;fragile;uneasy;world;inner;temporary;relative;hard-won;negotiated;enforced
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Abstract Concepts,wisdom,great;profound;ancient;accumulated;acquired;worldly;inner;traditional;practical;discerning
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,bell,loud;clear;small;brass;church;ringing;antique;warning;ship's;silver
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,candle,burning;beeswax;scented;small;tall;flickering;dripping;white;taper;votive
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,carpet,Persian;oriental;thick;red;patterned;wool;threadbare;handmade;woven;colourful
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,coin,gold;silver;rare;old;valuable;foreign;commemorative;counterfeit;lucky;minted
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,crown,golden;jeweled;royal;silver;laurel;ceremonial;bejeweled;beplumed;diamond;regal
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,flag,national;white;red;waving;tattered;flown;Confederate;rebel;victory;torn
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,mask,Venetian;carnival;painted;surgical;theatrical;protective;smiling;grotesque;hideous;plaster
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,necklace,pearl;diamond;gold;silver;beaded;long;ornate;precious;costume;emerald
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,painting,abstract;landscape;portrait;oil;watercolour;framed;beautiful;famous;Impressionist;priceless
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,ring,wedding;gold;diamond;silver;signet;promise;antique;ruby;engagement;magic
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,statue,bronze;marble;stone;ancient;commemorative;lifelike;imposing;broken;neoclassical;public
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,vase,glass;ceramic;porcelain;tall;blue;crystal;flower;ornate;antique;delicate
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,cloud,white;grey;dark;gathering;fluffy;rain;storm;passing;thunderous;threatening
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,earthquake,devastating;powerful;major;minor;unexpected;sudden;tectonic;underwater;subsequent;continental
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,fog,thick;dense;heavy;rolling;pea-soup;early-morning;lingering;mysterious;coastal;swirling
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,lightning,sudden;bright;forked;sheet;jagged;distant;deadly;electric;blinding;continuous
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,rain,heavy;light;constant;gentle;torrential;acid;cold;warm;driving;refreshing
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,rainbow,bright;colorful;double;shimmering;faint;complete;partial;beautiful;elusive;fleeting
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,snow,heavy;light;falling;fresh;deep;wet;dry;powdery;drifting;melting
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,storm,violent;electrical;summer;winter;passing;severe;brewing;coastal;developing;distant
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,thunder,loud;rumbling;distant;crashing;echoing;booming;rolling;ominous;close;continuous
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,tide,high;low;spring;neap;incoming;outgoing;receding;rising;strong;tidal
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,volcano,active;dormant;erupting;smoking;towering;extinct;volcanic;nearby;distant;geological
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,wind,strong;cold;prevailing;gentle;north;easterly;swirling;light;warm;howling
gemini-2.0-flash,english-monolingual,2.0,RU # Russian,B1,most frequent,Food Items,apple,red;green;crisp;sweet;juicy;ripe;delicious;golden;Granny Smith;bruised
