Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Abstract Concepts,anger,strong;bad;hot;quick;deep;blind;raw;intense;sudden;pure
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Abstract Concepts,courage,brave;great;true;big;bold;steady;quiet;fierce;real;noble
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Abstract Concepts,fear,big;dark;cold;sudden;deep;strong;real;old;new;bad
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Abstract Concepts,freedom,great;true;new;full;personal;basic;total;easy;hard;simple
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Abstract Concepts,happiness,great;full;real;pure;simple;deep;quick;lasting;bright;warm
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Abstract Concepts,hate,strong;deep;blind;pure;bitter;cold;intense;sudden;real;dark
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Abstract Concepts,honesty,true;simple;full;basic;real;clear;pure;direct;hard;complete
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Abstract Concepts,justice,true;fair;quick;blind;strong;equal;basic;social;real;pure
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Abstract Concepts,knowledge,great;deep;basic;new;old;simple;useful;real;wide;pure
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Abstract Concepts,love,great;true;deep;pure;strong;real;blind;warm;simple;lasting
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Abstract Concepts,peace,great;true;quiet;full;lasting;simple;world;inner;real;warm
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Abstract Concepts,wisdom,great;deep;old;true;simple;real;pure;clear;basic;wise
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;clear;metal;round;simple;golden
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Cultural Artifacts,candle,small;white;long;new;old;bright;warm;simple;scented;red
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Cultural Artifacts,carpet,big;soft;old;new;red;blue;thick;clean;warm;simple
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Cultural Artifacts,coin,old;new;small;gold;silver;round;shiny;rare;metal;simple
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Cultural Artifacts,crown,big;gold;old;royal;simple;heavy;shiny;new;metal;beautiful
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Cultural Artifacts,flag,national;old;new;big;small;red;blue;simple;flying;proud
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Cultural Artifacts,mask,black;white;old;new;simple;scary;fun;plastic;full;light
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Cultural Artifacts,necklace,gold;silver;simple;long;short;old;new;beautiful;shiny;red
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Cultural Artifacts,painting,big;small;old;new;beautiful;simple;colorful;famous;modern;dark
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Cultural Artifacts,ring,gold;silver;small;old;new;simple;shiny;beautiful;diamond;round
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Cultural Artifacts,statue,big;old;new;stone;metal;simple;famous;tall;beautiful;white
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;glass;simple;beautiful;colorful;round;tall
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Environmental Phenomena,cloud,white;big;dark;light;high;soft;moving;simple;gray;fluffy
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Environmental Phenomena,earthquake,strong;big;sudden;deep;bad;real;old;new;rare;dangerous
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Environmental Phenomena,fog,thick;dense;cold;white;morning;simple;heavy;wet;low;quiet
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Environmental Phenomena,lightning,bright;fast;sudden;strong;white;dangerous;simple;high;real;wild
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;warm;steady;simple;wet;falling;soft;hard
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Environmental Phenomena,rainbow,beautiful;colorful;bright;simple;rare;big;high;natural;clear;full
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;fresh;deep;simple;falling;heavy;pure;wet
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Environmental Phenomena,storm,strong;big;wild;dark;sudden;real;loud;wet;fierce;bad
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Environmental Phenomena,thunder,loud;strong;sudden;deep;scary;simple;distant;real;wild;dark
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Environmental Phenomena,tide,high;low;strong;simple;fast;changing;wet;full;quiet;wild
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Environmental Phenomena,volcano,big;active;old;dangerous;simple;hot;high;real;fiery;dark
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Environmental Phenomena,wind,strong;cold;warm;fast;simple;light;wild;blowing;quiet;high
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Food Items,apple,red;green;big;small;fresh;sweet;juicy;simple;ripe;hard
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Food Items,banana,yellow;big;small;fresh;sweet;simple;ripe;long;soft;green
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Food Items,beef,fresh;cooked;red;simple;tender;juicy;big;hot;cold;rare
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Food Items,bread,fresh;white;brown;soft;simple;warm;big;tasty;old;new
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Food Items,broccoli,green;fresh;big;small;simple;raw;cooked;healthy;crisp;long
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Food Items,cheese,yellow;white;soft;hard;fresh;simple;tasty;strong;mild;new
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Food Items,chicken,fresh;cooked;white;simple;tender;juicy;big;hot;cold;grilled
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Food Items,egg,fresh;white;brown;big;small;simple;raw;cooked;hard;soft
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Food Items,fish,fresh;big;small;silver;simple;raw;cooked;wild;tasty;cold
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Food Items,pasta,hot;cooked;simple;white;soft;tasty;fresh;long;dry;new
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Food Items,rice,white;cooked;simple;hot;soft;fresh;dry;big;small;tasty
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Food Items,soup,hot;cold;simple;tasty;thick;thin;fresh;vegetable;chicken;red
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Human Roles,artist,creative;young;old;famous;simple;talented;good;new;real;great
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Human Roles,athlete,strong;fast;young;old;good;simple;skilled;fit;real;brave
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Human Roles,chef,great;young;old;skilled;simple;good;famous;real;creative;busy
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Human Roles,doctor,good;young;old;skilled;simple;busy;real;helpful;kind;new
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Human Roles,engineer,skilled;young;old;good;simple;real;creative;busy;smart;new
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Human Roles,farmer,hard-working;old;young;simple;real;busy;strong;good;local;kind
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Human Roles,lawyer,smart;good;young;old;simple;real;busy;skilled;honest;new
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Human Roles,musician,talented;young;old;good;simple;real;famous;creative;busy;new
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Human Roles,scientist,smart;good;young;old;simple;real;creative;busy;skilled;new
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Human Roles,soldier,brave;strong;young;old;simple;real;trained;good;loyal;new
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Human Roles,teacher,good;kind;young;old;simple;real;helpful;busy;skilled;new
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Human Roles,writer,creative;good;young;old;simple;real;famous;talented;busy;new
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Inanimate Objects,book,old;new;big;small;good;simple;interesting;red;blue;thick
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Inanimate Objects,bridge,old;new;big;strong;simple;high;long;metal;stone;safe
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Inanimate Objects,drums,big;small;loud;simple;new;old;wooden;metal;fast;strong
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Inanimate Objects,earth,big;green;round;simple;old;new;beautiful;dry;wet;rich
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Inanimate Objects,flute,small;simple;old;new;wooden;metal;sweet;clear;light;long
