Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,anger,big;bad;hot;much;true;new;hard;long;real;good
gemini-2.0-flash,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,courage,much;great;real;true;big;new;good;long;hard;special
gemini-2.0-flash,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,fear,big;much;real;new;bad;good;little;long;hard;strong
gemini-2.0-flash,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,freedom,big;much;real;true;new;good;little;hard;long;important
gemini-2.0-flash,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,happiness,big;much;true;real;new;good;little;long;hard;special
gemini-2.0-flash,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,hate,big;much;bad;true;real;new;good;long;hard;strong
gemini-2.0-flash,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,honesty,true;real;big;much;new;good;hard;long;important;small
gemini-2.0-flash,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,justice,real;true;big;much;new;good;hard;long;important;social
gemini-2.0-flash,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,knowledge,big;much;true;real;new;good;little;hard;long;important
gemini-2.0-flash,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,love,big;much;true;real;new;good;little;long;hard;strong
gemini-2.0-flash,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,peace,big;much;true;real;new;good;long;hard;important;world
gemini-2.0-flash,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,wisdom,big;much;true;real;new;good;long;hard;important;old
gemini-2.0-flash,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,bell,big;small;new;good;old;hard;loud;long;metal;church
gemini-2.0-flash,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,candle,new;big;small;white;long;good;old;wax;red;light
gemini-2.0-flash,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,carpet,big;small;new;old;good;red;long;soft;nice;Persian
gemini-2.0-flash,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,coin,new;old;big;small;gold;silver;money;good;metal;round
gemini-2.0-flash,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,crown,gold;big;new;old;good;important;king;queen;small;special
gemini-2.0-flash,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,flag,big;small;new;old;good;long;country;red;white;blue
gemini-2.0-flash,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,mask,new;old;big;small;white;black;good;scary;face;party
gemini-2.0-flash,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,necklace,new;old;gold;silver;long;good;beautiful;small;big;nice
gemini-2.0-flash,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,painting,new;old;big;small;good;beautiful;nice;long;famous;oil
gemini-2.0-flash,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,ring,new;old;gold;silver;small;big;good;nice;round;wedding
gemini-2.0-flash,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,statue,new;old;big;small;good;white;famous;long;stone;beautiful
