Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,english-monolingual,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,anger,intense;blind;cold;deep;quiet;sudden;righteous;explosive;controlled;simmering
gemini-2.0-flash,english-monolingual,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,courage,great;quiet;moral;unwavering;fierce;blind;true;remarkable;unexpected;newfound
gemini-2.0-flash,english-monolingual,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,fear,great;crippling;irrational;overwhelming;paralyzing;constant;primal;deep-seated;morbid;lingering
gemini-2.0-flash,english-monolingual,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,freedom,great;hard-won;basic;fundamental;individual;personal;political;economic;limited;conditional
gemini-2.0-flash,english-monolingual,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,happiness,great;pure;simple;lasting;fleeting;genuine;infectious;childlike;quiet;inner
gemini-2.0-flash,english-monolingual,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,hate,deep;intense;blind;irrational;pure;consuming;visceral;underlying;abiding;passionate
gemini-2.0-flash,english-monolingual,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,honesty,brutal;complete;refreshing;unwavering;essential;basic;simple;implicit;inherent;direct
gemini-2.0-flash,english-monolingual,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,justice,blind;social;criminal;economic;restorative;equal;rough;swift;true;ultimate
gemini-2.0-flash,english-monolingual,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,knowledge,extensive;deep;working;practical;technical;specialist;rudimentary;academic;scientific;theoretical
gemini-2.0-flash,english-monolingual,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,love,deep;unconditional;true;requited;unrequited;puppy;familial;passionate;maternal;abiding
gemini-2.0-flash,english-monolingual,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,peace,lasting;fragile;uneasy;inner;world;relative;temporary;quiet;abiding;negotiated
gemini-2.0-flash,english-monolingual,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,wisdom,great;ancient;acquired;practical;conventional;traditional;collective;inherent;spiritual;newfound
gemini-2.0-flash,english-monolingual,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,bell,loud;clear;church;school;small;brass;silver;ringing;warning;dinner
gemini-2.0-flash,english-monolingual,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,candle,white;wax;scented;burning;tall;short;votive;flickering;melting;altar
gemini-2.0-flash,english-monolingual,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,carpet,oriental;Persian;wool;thick;thin;red;patterned;woven;new;old
gemini-2.0-flash,english-monolingual,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,coin,gold;silver;rare;ancient;collectible;shiny;lucky;foreign;valuable;minted
gemini-2.0-flash,english-monolingual,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,crown,golden;royal;jeweled;silver;ceremonial;bejeweled;heavy;ornate;sparkling;antique
gemini-2.0-flash,english-monolingual,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,flag,national;waving;red;white;blue;state;international;colorful;tattered;symbolic
