Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,think-in-native,2.0,KO # Korean,B1,most frequent,Abstract Concepts,anger,big;bad;hot;hard;long;loud;real;fast;same;strong
gemini-2.0-flash,think-in-native,2.0,KO # Korean,B1,most frequent,Abstract Concepts,courage,great;big;good;true;real;much;more;new;young;different
gemini-2.0-flash,think-in-native,2.0,KO # Korean,B1,most frequent,Abstract Concepts,fear,big;real;new;same;true;much;more;first;dark;fast
gemini-2.0-flash,think-in-native,2.0,KO # Korean,B1,most frequent,Abstract Concepts,freedom,big;real;true;new;same;good;more;first;political;human
gemini-2.0-flash,think-in-native,2.0,KO # Korean,B1,most frequent,Abstract Concepts,happiness,big;real;new;true;more;great;good;simple;long;small
gemini-2.0-flash,think-in-native,2.0,KO # Korean,B1,most frequent,Abstract Concepts,hate,big;real;strong;hard;true;new;first;much;more;political
gemini-2.0-flash,think-in-native,2.0,KO # Korean,B1,most frequent,Abstract Concepts,honesty,real;good;true;new;same;first;great;much;more;simple
gemini-2.0-flash,think-in-native,2.0,KO # Korean,B1,most frequent,Abstract Concepts,justice,real;true;good;big;social;new;much;more;political;equal
gemini-2.0-flash,think-in-native,2.0,KO # Korean,B1,most frequent,Abstract Concepts,knowledge,big;good;real;new;same;much;more;important;useful;scientific
gemini-2.0-flash,think-in-native,2.0,KO # Korean,B1,most frequent,Abstract Concepts,love,big;good;real;true;new;much;more;great;strong;first
gemini-2.0-flash,think-in-native,2.0,KO # Korean,B1,most frequent,Abstract Concepts,peace,big;good;real;new;true;long;much;more;political;world
gemini-2.0-flash,think-in-native,2.0,KO # Korean,B1,most frequent,Abstract Concepts,wisdom,big;great;good;real;new;old;true;much;more;political
gemini-2.0-flash,think-in-native,2.0,KO # Korean,B1,most frequent,Cultural Artifacts,bell,big;old;small;new;loud;good;school;church;first;electric
