Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gpt-4.1,basic,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,anger,strong;sudden;deep;great;real;open;silent;quick;hot;cold
gpt-4.1,basic,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,courage,great;real;strong;true;quiet;big;much;little;open;new
gpt-4.1,basic,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,fear,great;deep;real;sudden;big;strong;open;cold;silent;quick
gpt-4.1,basic,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,freedom,full;real;true;great;new;open;big;much;little;complete
gpt-4.1,basic,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,happiness,great;real;true;full;deep;big;much;open;new;complete
gpt-4.1,basic,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,hate,deep;real;strong;great;open;cold;big;much;sudden;silent
gpt-4.1,basic,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,honesty,true;real;great;open;full;big;much;deep;complete;simple
gpt-4.1,basic,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,justice,true;real;great;open;full;big;much;complete;fair;simple
gpt-4.1,basic,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,knowledge,great;deep;real;true;much;big;full;open;complete;new
gpt-4.1,basic,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,love,true;real;deep;great;big;much;open;full;new;strong
gpt-4.1,basic,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,peace,real;true;great;full;deep;open;big;much;complete;new
gpt-4.1,basic,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,wisdom,great;deep;real;true;much;big;full;open;complete;new
gpt-4.1,basic,0.0,UR # Urdu,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;golden;silver;round;heavy;light
gpt-4.1,basic,0.0,UR # Urdu,B1,most frequent,Cultural Artifacts,candle,small;big;white;red;new;old;long;short;bright;thin
gpt-4.1,basic,0.0,UR # Urdu,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;red;blue;soft;thick;long;clean
gpt-4.1,basic,0.0,UR # Urdu,B1,most frequent,Cultural Artifacts,coin,old;new;small;big;gold;silver;round;rare;shiny;clean
gpt-4.1,basic,0.0,UR # Urdu,B1,most frequent,Cultural Artifacts,crown,golden;big;small;old;new;heavy;light;beautiful;rich;bright
gpt-4.1,basic,0.0,UR # Urdu,B1,most frequent,Cultural Artifacts,flag,big;small;old;new;red;blue;white;green;national;clean
gpt-4.1,basic,0.0,UR # Urdu,B1,most frequent,Cultural Artifacts,mask,big;small;old;new;white;black;red;scary;funny;simple
