Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Abstract Concepts,anger,intense;blind;sudden;deep;raw;simmering;explosive;quiet;righteous;uncontrolled
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Abstract Concepts,courage,brave;unwavering;bold;heroic;quiet;moral;fierce;steadfast;admirable;innate
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Abstract Concepts,fear,intense;irrational;deep-seated;sudden;paralyzing;primal;overwhelming;creeping;unfounded;instinctive
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Abstract Concepts,freedom,absolute;hard-won;personal;true;unlimited;basic;cherished;fleeting;radical;newfound
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Abstract Concepts,happiness,pure;lasting;simple;genuine;fleeting;overwhelming;quiet;infectious;inner;radiant
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Abstract Concepts,hate,intense;bitter;deep-seated;irrational;burning;blind;festering;mutual;unspoken;destructive
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Abstract Concepts,honesty,brutal;unwavering;complete;refreshing;straightforward;rare;absolute;heartfelt;painful;genuine
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Abstract Concepts,justice,swift;blind;social;true;poetic;restorative;equal;divine;delayed;impartial
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Abstract Concepts,knowledge,vast;practical;ancient;hidden;profound;basic;specialized;shared;forbidden;essential
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Abstract Concepts,love,unconditional;passionate;enduring;pure;forbidden;deep;fleeting;selfless;romantic;familial
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Abstract Concepts,peace,inner;lasting;fragile;global;quiet;absolute;temporary;spiritual;hard-won;serene
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Abstract Concepts,wisdom,ancient;profound;practical;timeless;innate;hard-earned;intuitive;worldly;quiet;enduring
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Cultural Artifacts,bell,ringing;loud;clear;antique;small;large;golden;church;alarm;decorative
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Cultural Artifacts,candle,flickering;scented;tall;short;waxen;decorative;aromatic;emergency;colorful;melted
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Cultural Artifacts,carpet,soft;woolen;patterned;thick;worn;colorful;antique;plush;oriental;synthetic
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Cultural Artifacts,coin,ancient;shiny;rare;gold;silver;counterfeit;foreign;valuable;old;commemorative
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Cultural Artifacts,crown,golden;royal;jeweled;ancient;ceremonial;heavy;symbolic;ornate;imperial;simple
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Cultural Artifacts,flag,national;waving;colorful;tattered;symbolic;foreign;proud;historical;striped;faded
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Cultural Artifacts,mask,protective;decorative;facial;mysterious;theatrical;surgical;colorful;ancient;festive;eerie
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Cultural Artifacts,necklace,sparkling;gold;pearl;antique;simple;elegant;beaded;layered;delicate;ornate
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Cultural Artifacts,painting,vibrant;abstract;detailed;famous;landscape;portrait;modern;antique;colorful;expressive
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Cultural Artifacts,ring,golden;diamond;engagement;antique;simple;oversized;silver;decorative;wedding;engraved
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Cultural Artifacts,statue,towering;bronze;ancient;marble;heroic;modern;decorative;lifelike;weathered;monumental
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Cultural Artifacts,vase,ornate;ceramic;glass;antique;tall;decorative;floral;fragile;colorful;hand-painted
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,cloud,fluffy;dark;wispy;stormy;white;drifting;low-hanging;billowing;gray;cumulus
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,earthquake,devastating;minor;powerful;sudden;seismic;destructive;shallow;frequent;underground;tectonic
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,fog,thick;dense;morning;mysterious;rolling;coastal;chilling;persistent;light;enveloping
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,lightning,bright;forked;sudden;electrical;dramatic;distant;powerful;flashing;nighttime;dangerous
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,rain,heavy;light;steady;torrential;gentle;seasonal;cold;refreshing;monsoon;drizzling
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,rainbow,vibrant;colorful;double;faint;arched;post-rain;spectacular;fleeting;wide;ethereal
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,snow,fresh;powdery;heavy;melting;pristine;deep;fluffy;wet;seasonal;sparkling
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,storm,violent;approaching;fierce;tropical;electrical;sudden;howling;winter;massive;relentless
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,thunder,loud;rumbling;distant;crashing;ominous;echoing;sudden;nighttime;powerful;rolling
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,tide,high;low;rising;ebbing;strong;coastal;incoming;outgoing;powerful;tidal
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,volcano,active;dormant;explosive;massive;smoking;ancient;fiery;dangerous;volcanic;towering
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,wind,strong;gentle;howling;chilly;gusty;steady;warm;coastal;biting;erratic
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Food Items,apple,red;crisp;juicy;green;sweet;tart;fresh;ripe;organic;shiny
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Food Items,banana,yellow;ripe;sweet;green;peeled;fresh;curved;soft;tropical;spotted
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Food Items,beef,tender;lean;grilled;ground;fatty;rare;organic;seasoned;fresh;marbled
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Food Items,bread,fresh;warm;crusty;soft;whole-wheat;sliced;homemade;toasted;fluffy;artisanal
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Food Items,broccoli,fresh;green;steamed;crisp;organic;raw;frozen;tender;floreted;nutritious
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Food Items,cheese,sharp;creamy;aged;soft;hard;grated;melted;flavorful;imported;mild
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Food Items,chicken,grilled;roasted;fresh;organic;boneless;fried;tender;spicy;free-range;marinated
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Food Items,egg,fresh;boiled;fried;organic;large;cracked;scrambled;brown;free-range;runny
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Food Items,fish,fresh;grilled;smoked;wild-caught;flaky;salty;frozen;oily;steamed;seasoned
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Food Items,pasta,cooked;al dente;fresh;dried;homemade;cheesy;sauced;twisted;colorful;stuffed
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Food Items,rice,steamed;white;brown;fluffy;cooked;sticky;wild;fragrant;boiled;seasoned
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Food Items,soup,hot;creamy;vegetable;hearty;spicy;clear;homemade;chilled;flavorful;thick
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Human Roles,artist,talented;creative;visionary;struggling;famous;dedicated;innovative;eccentric;skilled;emerging
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Human Roles,athlete,professional;dedicated;fit;competitive;Olympic;injured;skilled;young;elite;determined
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Human Roles,chef,skilled;innovative;professional;celebrity;passionate;experienced;creative;renowned;talented;meticulous
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Human Roles,doctor,skilled;compassionate;experienced;specialist;dedicated;young;renowned;busy;caring;qualified
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Human Roles,engineer,skilled;innovative;mechanical;electrical;dedicated;experienced;creative;problem-solving;talented;practical
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Human Roles,farmer,hardworking;local;organic;experienced;rural;dedicated;skilled;family;sustainable;independent
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Human Roles,lawyer,sharp;experienced;corporate;defense;dedicated;successful;ethical;ambitious;skilled;trial
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Human Roles,musician,talented;classical;rock;dedicated;famous;emerging;versatile;passionate;skilled;improvisational
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Human Roles,scientist,brilliant;dedicated;innovative;research;environmental;theoretical;skilled;curious;experimental;renowned
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Human Roles,soldier,brave;trained;elite;veteran;disciplined;combat-ready;loyal;young;heroic;experienced
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Human Roles,teacher,dedicated;inspiring;experienced;patient;creative;knowledgeable;strict;passionate;effective;supportive
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Human Roles,writer,talented;prolific;aspiring;famous;creative;insightful;dedicated;fictional;journalistic;skilled
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Inanimate Objects,book,thick;bestselling;old;hardcover;fictional;educational;colorful;tattered;illustrated;popular
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Inanimate Objects,bridge,sturdy;ancient;modern;suspension;wooden;high;iconic;narrow;long;arched
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Inanimate Objects,drums,loud;rhythmic;wooden;electronic;tribal;professional;small;large;tuned;percussive
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Inanimate Objects,earth,fertile;round;blue;ancient;solid;spinning;vast;green;rocky;habitable
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Inanimate Objects,flute,wooden;silver;melodic;ancient;modern;handheld;tuned;professional;sweet-sounding;decorative
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Inanimate Objects,key,small;metal;rusty;spare;golden;electronic;antique;skeleton;modern;locked
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Inanimate Objects,knife,sharp;kitchen;pocket;rusty;ceremonial;folding;blunt;steel;hunting;decorative
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Inanimate Objects,lock,sturdy;electronic;rusty;combination;padlock;modern;antique;secure;broken;keyed
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Inanimate Objects,moon,full;crescent;bright;waxing;waning;silvery;distant;glowing;mysterious;orbital
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Inanimate Objects,pen,black;fountain;ballpoint;cheap;elegant;leaking;colorful;disposable;fine-tipped;vintage
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Inanimate Objects,sun,bright;scorching;setting;rising;warm;golden;midday;distant;summer;radiant
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Inanimate Objects,sword,sharp;ancient;ceremonial;steel;decorative;medieval;lightweight;engraved;battle-worn;curved
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Neutral Animals,cat,fluffy;playful;black;stray;domestic;lazy;curious;wild;sleek;affectionate
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Neutral Animals,dog,loyal;playful;big;small;trained;stray;energetic;friendly;barking;protective
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Neutral Animals,dolphin,intelligent;playful;marine;graceful;wild;captive;sleek;social;jumping;curious
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Neutral Animals,elephant,massive;gray;wild;tame;intelligent;endangered;trumpeting;gentle;charging;majestic
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Neutral Animals,hamster,small;furry;playful;caged;nocturnal;cute;active;pet;wild;quick
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Neutral Animals,monkey,playful;agile;wild;mischievous;intelligent;swinging;furry;captive;noisy;curious
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Neutral Animals,mouse,small;gray;timid;wild;pet;squeaky;fast;nocturnal;furry;trapped
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Neutral Animals,peacock,colorful;majestic;wild;captive;strutting;noisy;elegant;feathered;exotic;proud
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Neutral Animals,rabbit,fluffy;quick;wild;pet;hopping;white;furry;timid;breeding;garden
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Neutral Animals,shark,fierce;predatory;great;marine;fast;endangered;gray;hunting;deep-sea;aggressive
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Neutral Animals,snake,venomous;slithering;long;wild;coiled;colorful;pet;dangerous;constrictor;elusive
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Neutral Animals,whale,massive;migratory;blue;endangered;singing;deep-diving;graceful;marine;playful;ancient
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Places,city,bustling;modern;ancient;crowded;vibrant;coastal;industrial;historic;sprawling;polluted
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Places,desert,vast;arid;sandy;hot;barren;remote;windswept;rocky;endless;sun-baked
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Places,forest,dense;ancient;green;tropical;dark;lush;quiet;enchanted;vast;misty
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Places,island,tropical;remote;volcanic;deserted;sandy;inhabited;rocky;lush;small;coastal
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Places,lake,serene;deep;frozen;clear;mountain;polluted;vast;scenic;freshwater;hidden
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Places,mountain,towering;snowy;rugged;ancient;volcanic;majestic;steep;remote;forested;high
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Places,ocean,vast;deep;stormy;calm;blue;endless;salty;mysterious;turbulent;expansive
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Places,plain,vast;flat;grassy;fertile;dry;endless;open;windswept;rural;golden
grok-3-mini,english-monolingual,0.0,RU # Russian,B1,most frequent,Places,plateau,high;flat;rocky;elevated;vast;arid;scenic;ancient;windswept;isolated
