Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gpt-4.1,basic,0.0,FR # French,B1,most frequent,Abstract Concepts,anger,strong;deep;sudden;great;real;big;silent;cold;open;quiet
gpt-4.1,basic,0.0,FR # French,B1,most frequent,Abstract Concepts,courage,great;true;real;strong;big;quiet;silent;open;deep;new
gpt-4.1,basic,0.0,FR # French,B1,most frequent,Abstract Concepts,fear,great;deep;big;sudden;real;strong;cold;open;silent;quiet
gpt-4.1,basic,0.0,FR # French,B1,most frequent,Abstract Concepts,freedom,great;real;true;new;full;open;big;complete;personal;political
gpt-4.1,basic,0.0,FR # French,B1,most frequent,Abstract Concepts,happiness,great;real;true;big;deep;full;simple;quiet;new;complete
gpt-4.1,basic,0.0,FR # French,B1,most frequent,Abstract Concepts,hate,deep;strong;real;big;open;cold;great;sudden;silent;true
gpt-4.1,basic,0.0,FR # French,B1,most frequent,Abstract Concepts,honesty,true;real;great;complete;open;simple;big;deep;full;quiet
gpt-4.1,basic,0.0,FR # French,B1,most frequent,Abstract Concepts,justice,true;real;great;social;big;open;complete;new;deep;fair
gpt-4.1,basic,0.0,FR # French,B1,most frequent,Abstract Concepts,knowledge,great;deep;real;true;big;new;complete;open;full;simple
gpt-4.1,basic,0.0,FR # French,B1,most frequent,Abstract Concepts,love,true;real;deep;great;big;strong;new;open;simple;full
gpt-4.1,basic,0.0,FR # French,B1,most frequent,Abstract Concepts,peace,great;real;true;deep;big;new;complete;open;quiet;full
gpt-4.1,basic,0.0,FR # French,B1,most frequent,Abstract Concepts,wisdom,great;deep;real;true;big;new;complete;open;full;simple
gpt-4.1,basic,0.0,FR # French,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;golden;silver;loud;quiet;round;metal
gpt-4.1,basic,0.0,FR # French,B1,most frequent,Cultural Artifacts,candle,small;big;white;red;new;old;long;short;simple;thin
gpt-4.1,basic,0.0,FR # French,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;red;blue;green;soft;thick;long
gpt-4.1,basic,0.0,FR # French,B1,most frequent,Cultural Artifacts,coin,old;new;small;big;gold;silver;round;rare;simple;thin
