Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Abstract Concepts,anger,strong;sudden;great;deep;real;open;quiet;cold;silent;quick
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Abstract Concepts,courage,great;real;true;strong;quiet;big;much;open;new;deep
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Abstract Concepts,fear,great;deep;real;sudden;big;strong;cold;quiet;open;silent
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Abstract Concepts,freedom,great;real;true;full;new;open;big;much;personal;political
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Abstract Concepts,happiness,great;real;true;full;much;deep;big;open;quiet;new
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Abstract Concepts,hate,strong;deep;real;open;cold;big;much;sudden;quiet;silent
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Abstract Concepts,honesty,real;true;great;open;full;much;deep;quiet;big;personal
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Abstract Concepts,justice,real;true;great;open;full;much;deep;big;social;new
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Abstract Concepts,knowledge,great;deep;real;much;new;big;open;full;true;personal
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Abstract Concepts,love,true;real;great;deep;big;strong;open;new;much;quiet
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Abstract Concepts,peace,great;real;true;deep;quiet;new;open;full;much;big
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Abstract Concepts,wisdom,great;deep;real;true;much;big;old;new;open;quiet
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;golden;silver;round;heavy;quiet
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Cultural Artifacts,candle,small;big;white;red;new;old;long;short;thin;bright
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;red;green;blue;soft;long;thick
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Cultural Artifacts,coin,old;new;small;big;gold;silver;round;rare;shiny;thin
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Cultural Artifacts,crown,gold;big;small;old;new;heavy;beautiful;silver;rich;bright
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Cultural Artifacts,flag,big;small;old;new;red;blue;green;white;national;bright
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Cultural Artifacts,mask,big;small;old;new;white;black;red;funny;scary;strange
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Cultural Artifacts,necklace,gold;silver;big;small;old;new;long;short;beautiful;bright
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Cultural Artifacts,painting,old;new;big;small;beautiful;famous;modern;bright;dark;simple
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Cultural Artifacts,ring,gold;silver;big;small;old;new;round;beautiful;thin;bright
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Cultural Artifacts,statue,big;small;old;new;white;stone;gold;famous;beautiful;tall
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;white;blue;red;beautiful;round;tall
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,cloud,white;big;small;dark;grey;light;high;low;soft;thick
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,earthquake,big;small;strong;sudden;real;great;quick;deep;bad;natural
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,fog,thick;white;grey;heavy;light;cold;morning;low;soft;quiet
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,lightning,bright;quick;strong;sudden;white;big;loud;real;fast;natural
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;warm;big;small;strong;soft;quiet;sudden
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,rainbow,bright;big;small;beautiful;colorful;new;rare;real;high;long
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;heavy;light;deep;new;fresh;thick;quiet
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,storm,big;strong;heavy;sudden;real;great;loud;quick;bad;cold
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,thunder,loud;big;strong;sudden;real;great;quick;heavy;deep;bad
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,tide,high;low;big;strong;real;great;quick;sudden;deep;natural
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,volcano,big;small;old;new;active;quiet;strong;high;real;natural
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,wind,strong;cold;warm;light;big;small;quick;soft;sudden;natural
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Food Items,apple,red;green;big;small;sweet;fresh;round;juicy;ripe;new
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Food Items,banana,yellow;big;small;ripe;sweet;fresh;long;soft;new;green
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Food Items,beef,fresh;cooked;raw;red;big;small;hot;cold;soft;hard
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Food Items,bread,fresh;white;brown;big;small;soft;hard;new;old;warm
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Food Items,broccoli,green;fresh;big;small;cooked;raw;soft;hard;new;healthy
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Food Items,cheese,yellow;white;soft;hard;big;small;fresh;old;new;strong
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Food Items,chicken,cooked;raw;big;small;white;fresh;hot;cold;soft;new
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Food Items,egg,big;small;white;brown;fresh;cooked;raw;round;new;hard
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Food Items,fish,fresh;big;small;cooked;raw;white;red;soft;new;cold
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Food Items,pasta,cooked;hot;cold;soft;hard;big;small;white;fresh;new
gpt-4.1,basic,0.0,RU # Russian,B1,most frequent,Food Items,rice,white;cooked;hot;cold;soft;hard;big;small;fresh;new
