Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,basic,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,anger,strong;deep;hot;fierce;wild;bitter;quick;sharp;intense;dark
grok-3,basic,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,courage,great;bold;true;brave;real;strong;pure;high;deep;quiet
grok-3,basic,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,fear,big;cold;dark;deep;strong;hidden;sudden;wild;silent;heavy
grok-3,basic,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,freedom,true;full;real;sweet;hard;new;basic;pure;strong;bright
grok-3,basic,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,happiness,pure;true;great;warm;bright;deep;simple;real;sweet;quiet
grok-3,basic,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,hate,strong;deep;bitter;dark;cold;fierce;hidden;wild;sharp;heavy
grok-3,basic,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,honesty,true;pure;real;clear;strong;simple;basic;open;good;firm
grok-3,basic,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,justice,fair;true;strong;real;pure;clear;hard;equal;right;firm
grok-3,basic,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,knowledge,deep;wide;great;useful;basic;clear;strong;true;vast;good
grok-3,basic,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,love,true;deep;warm;sweet;strong;pure;real;kind;soft;bright
grok-3,basic,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,peace,true;calm;quiet;deep;real;sweet;strong;pure;gentle;lasting
grok-3,basic,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,wisdom,deep;great;true;clear;strong;real;old;pure;quiet;vast
grok-3,basic,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,bell,loud;clear;small;shiny;old;golden;heavy;bright;sweet;round
grok-3,basic,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,candle,small;bright;warm;soft;white;tall;red;glowing;old;thin
grok-3,basic,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,carpet,soft;thick;red;old;big;warm;colorful;clean;heavy;smooth
grok-3,basic,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,coin,old;shiny;small;round;silver;gold;heavy;rare;dirty;new
grok-3,basic,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,crown,golden;heavy;shiny;old;royal;big;beautiful;red;tall;grand
grok-3,basic,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,flag,bright;colorful;big;national;red;white;blue;old;tall;proud
