Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,anger,strong;big;bad;quick;sudden;deep;hot;cold;uncontrolled;fierce
grok-3-mini,think-in-native,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,courage,brave;strong;bold;great;true;personal;good;sudden;lasting;big
grok-3-mini,think-in-native,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,fear,strong;big;bad;quick;sudden;deep;cold;dark;real;hidden
grok-3-mini,think-in-native,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,freedom,great;true;big;good;new;personal;strong;quick;full;open
grok-3-mini,think-in-native,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,happiness,great;big;good;true;new;real;strong;quick;full;bright
grok-3-mini,think-in-native,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,hate,strong;big;bad;deep;cold;quick;sudden;dark;real;blind
grok-3-mini,think-in-native,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,honesty,true;good;big;strong;real;simple;clear;full;new;direct
grok-3-mini,think-in-native,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,justice,fair;good;strong;true;big;quick;clear;full;new;blind
grok-3-mini,think-in-native,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,knowledge,great;big;good;true;new;deep;real;strong;full;wide
grok-3-mini,think-in-native,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,love,great;true;big;strong;good;deep;real;pure;new;blind
grok-3-mini,think-in-native,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,peace,great;true;good;big;strong;quiet;full;new;real;lasting
grok-3-mini,think-in-native,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,wisdom,great;true;good;big;deep;real;strong;old;clear;full
grok-3-mini,think-in-native,0.0,UR # Urdu,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;clear;metal;round;shiny;broken
grok-3-mini,think-in-native,0.0,UR # Urdu,B1,most frequent,Cultural Artifacts,candle,small;big;new;old;bright;warm;wax;colored;long;soft
grok-3-mini,think-in-native,0.0,UR # Urdu,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;soft;colorful;thick;clean;dirty;warm
grok-3-mini,think-in-native,0.0,UR # Urdu,B1,most frequent,Cultural Artifacts,coin,small;old;new;shiny;metal;round;heavy;light;gold;silver
