Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Abstract Concepts,anger,bad;big;hot;much;other;new;real;different;same;good
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Abstract Concepts,courage,good;big;much;great;small;real;strong;different;little;true
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Abstract Concepts,fear,big;much;other;great;real;little;different;new;same;small
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Abstract Concepts,freedom,big;real;much;new;good;great;different;other;same;little
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Abstract Concepts,happiness,good;real;much;big;great;true;little;new;other;same
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Abstract Concepts,hate,big;much;new;other;real;different;bad;strong;same;little
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Abstract Concepts,honesty,good;real;true;much;new;different;big;little;same;great
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Abstract Concepts,justice,good;real;new;different;big;much;other;little;same;great
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Abstract Concepts,knowledge,good;much;big;real;new;other;little;different;same;great
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Abstract Concepts,love,good;big;much;real;new;great;little;different;other;true
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Abstract Concepts,peace,good;big;real;new;much;other;great;little;different;same
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Abstract Concepts,wisdom,good;great;much;big;new;real;true;other;different;same
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,bell,big;new;small;old;other;good;different;little;same;bad
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,candle,big;small;new;old;good;white;red;little;other;different
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,carpet,big;new;old;good;red;other;small;different;same;blue
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,coin,big;new;old;small;good;other;same;different;little;gold
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,crown,big;gold;new;old;good;real;different;same;little;other
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,flag,big;new;old;good;different;same;other;red;little;white
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,mask,new;big;old;small;different;black;other;white;good;same
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,necklace,new;old;gold;silver;good;other;different;big;small;same
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,painting,new;good;old;big;different;other;same;little;small;real
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,ring,new;gold;old;big;silver;small;good;other;same;different
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,statue,big;new;old;good;white;different;small;other;same;real
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Cultural Artifacts,vase,big;new;old;good;glass;small;different;same;little;other
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,cloud,big;white;new;gray;dark;little;other;different;black;same
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,earthquake,big;new;strong;bad;other;same;little;real;different;small
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,fog,big;thick;new;little;same;different;other;gray;small;bad
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,lightning,big;bright;new;strong;different;good;other;little;bad;same
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,rain,big;much;new;strong;little;other;same;heavy;light;different
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,rainbow,big;new;good;beautiful;different;same;other;little;colorful;small
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,snow,big;much;new;white;little;other;same;different;cold;small
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,storm,big;new;bad;strong;same;different;little;real;other;great
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,thunder,big;loud;new;strong;other;same;little;real;different;bad
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,tide,big;new;high;low;other;little;same;different;small;strong
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,volcano,big;new;old;strong;other;different;little;real;same;hot
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Environmental Phenomena,wind,big;new;strong;cold;good;little;different;other;bad;same
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Food Items,apple,red;green;big;new;good;sweet;other;different;small;same
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Food Items,banana,yellow;big;new;good;sweet;small;other;different;same;long
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Food Items,beef,big;good;new;other;different;red;small;same;little;much
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Food Items,bread,big;new;good;white;brown;other;different;small;same;fresh
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Food Items,broccoli,green;new;good;other;small;different;big;same;little;much
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Food Items,cheese,new;good;big;old;yellow;other;different;small;same;white
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Food Items,chicken,new;good;big;small;white;other;different;same;little;fried
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Food Items,egg,new;big;white;small;brown;other;good;different;same;little
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Food Items,fish,big;new;small;good;other;different;fresh;same;little;salty
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Food Items,pasta,new;big;good;other;different;small;same;little;long;yellow
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Food Items,rice,new;white;big;good;other;different;small;same;little;much
gemini-2.0-flash,basic,2.0,RU # Russian,B1,most frequent,Food Items,soup,new;hot;big;good;small;other;different;same;little;much
