Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,anger,big;bad;hot;strong;new;real;other;same;good;much
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,anger,big;bad;hot;real;true;sudden;quick;slow;silent;deep
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,anger,great;hot;real;bad;sudden;deep;cold;blind;righteous;controlled
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,anger,intense;sudden;blind;deep;suppressed;righteous;cold;simmering;uncontrollable;irrational
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,anger,great;hot;blind;deep;sudden;righteous;cold;suppressed;bitter;burning
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,courage,big;good;strong;real;new;other;same;much;little;hard
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,courage,great;true;real;strong;new;old;quiet;silent;big;small
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,courage,great;true;real;moral;physical;inner;quiet;blind;amazing;unexpected
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,courage,great;true;quiet;moral;physical;unwavering;remarkable;unexpected;infectious;displayed
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,courage,great;true;moral;physical;quiet;blind;fierce;amazing;unexpected;inner
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,fear,big;bad;strong;real;new;other;same;much;little;good
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,fear,big;real;true;great;new;old;sudden;quiet;silent;deep
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,fear,great;real;big;sudden;deep;cold;dark;irrational;common;growing
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,fear,deep;irrational;paralyzing;overwhelming;constant;primal;lingering;unfounded;suppressed;consuming
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,fear,great;real;deep;irrational;sudden;intense;paralyzing;abject;primal;unfounded
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,freedom,big;good;real;new;other;same;much;little;hard;important
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,freedom,real;true;great;new;old;big;small;quiet;silent;important
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,freedom,great;real;true;basic;political;economic;personal;limited;new;hard
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,freedom,political;personal;economic;religious;hard-won;limited;conditional;fundamental;guaranteed;cherished
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,freedom,great;political;economic;personal;religious;individual;civil;basic;limited;conditional
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,happiness,big;good;real;new;other;same;much;little;hard;important
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,happiness,real;true;great;new;old;big;small;quiet;silent;simple
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,happiness,great;real;true;simple;pure;deep;lasting;unexpected;shared;quiet
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,happiness,pure;simple;fleeting;genuine;contagious;unexpected;inner;lasting;shared;complete
