Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,anger,intense;blind;burning;deep;cold;suppressed;righteous;simmering;bitter;sudden
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,courage,great;true;unwavering;quiet;moral;remarkable;exceptional;fierce;newfound;inspiring
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,fear,deep;paralyzing;irrational;overwhelming;abiding;primal;constant;intense;sudden;nameless
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,freedom,hard-won;civil;personal;political;economic;religious;limited;conditional;national;basic
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,happiness,pure;genuine;simple;fleeting;contagious;profound;inner;utter;unexpected;lasting
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,hate,bitter;blind;consuming;deep-seated;irrational;pure;intense;abiding;visceral;unadulterated
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,honesty,brutal;complete;unwavering;refreshing;disarming;simple;fundamental;inherent;absolute;rare
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,justice,social;criminal;restorative;environmental;equal;impartial;blind;fair;rough;swift
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,knowledge,practical;specialized;esoteric;academic;extensive;general;tacit;common;scientific;working
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,love,unconditional;passionate;enduring;true;maternal;brotherly;romantic;deep;forbidden;new
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,peace,lasting;fragile;uneasy;global;inner;relative;temporary;profound;negotiated;hard-won
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,wisdom,ancient;profound;practical;accumulated;collective;intuitive;spiritual;acquired;inherent;uncommon
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,bell,church;brass;ringing;heavy;silver;small;school;clear;bronze;loud
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,candle,beeswax;scented;lit;burning;white;tall;short;flickering;melted;votive
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,carpet,oriental;Persian;wool;thick;plush;woven;patterned;red;antique;new
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,coin,gold;silver;rare;old;ancient;copper;valuable;collectible;foreign;lucky
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,crown,royal;golden;jeweled;silver;imperial;ceremonial;ancient;bejeweled;symbolic;ornate
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,flag,national;waving;tattered;red;white;blue;colorful;symbolic;historic;patriotic
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,mask,Venetian;theatrical;protective;surgical;plastic;painted;scary;ceremonial;ornate;simple
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,necklace,gold;silver;pearl;diamond;beaded;long;short;delicate;antique;precious
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,painting,oil;watercolor;abstract;landscape;portrait;famous;impressionistic;modern;classic;vibrant
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,ring,gold;silver;diamond;wedding;engagement;simple;ornate;signet;precious;ancient
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,statue,bronze;marble;stone;famous;ancient;large;small;public;commemorative;religious
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,vase,glass;ceramic;porcelain;crystal;flower;antique;decorative;tall;short;colorful
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,cloud,white;dark;gray;fluffy;cumulus;cirrus;storm;rain;heavy;ominous
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,earthquake,major;powerful;devastating;recent;unexpected;sudden;catastrophic;mild;seismic;local
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,fog,thick;dense;heavy;pea-soup;morning;lingering;coastal;mysterious;white;swirling
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,lightning,bright;sudden;powerful;forked;distant;close;dangerous;electrical;intense;silent
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,rain,heavy;light;steady;torrential;acid;gentle;constant;warm;cold;persistent
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,rainbow,colorful;vibrant;double;arched;faint;partial;fleeting;bright;elusive;full
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,snow,heavy;light;fresh;falling;drifting;wet;dry;deep;powdery;melting
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,storm,severe;electrical;winter;rain;wind;approaching;passing;violent;brewing;distant
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,thunder,loud;distant;rolling;echoing;close;booming;crashing;ominous;heavy;continuous
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,tide,high;low;strong;incoming;outgoing;spring;neap;coastal;daily;rising
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,volcano,active;dormant;erupting;volcanic;massive;nearby;smoking;stratovolcano;shield;dangerous
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,wind,strong;cold;gentle;warm;gusty;prevailing;offshore;onshore;easterly;westerly
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Food Items,apple,red;green;crisp;juicy;sweet;sour;ripe;rotten;delicious;organic
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Food Items,banana,yellow;ripe;unripe;peeled;organic;sweet;soft;bruised;Cavendish;small
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Food Items,beef,tender;lean;ground;roast;prime;rare;cooked;raw;aged;grilled
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Food Items,bread,white;wheat;whole;sourdough;fresh;stale;crusty;soft;toasted;warm
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Food Items,broccoli,green;fresh;steamed;raw;organic;florets;cooked;healthy;crunchy;chopped
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Food Items,cheese,cheddar;Swiss;sharp;mild;creamy;aged;hard;soft;blue;grated
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Food Items,chicken,fried;grilled;roasted;baked;raw;cooked;boneless;skinless;organic;seasoned
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Food Items,egg,fried;scrambled;boiled;raw;cracked;broken;fresh;hard-boiled;soft-boiled;deviled
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Food Items,fish,fresh;saltwater;freshwater;fried;grilled;baked;raw;cooked;bony;flaky
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Food Items,pasta,cooked;dry;fresh;long;short;Italian;homemade;whole-wheat;stuffed;al dente
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Food Items,rice,white;brown;wild;cooked;fried;sticky;basmati;long-grain;short-grain;steamed
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Food Items,soup,hot;cold;creamy;chunky;chicken;vegetable;tomato;hearty;thick;thin
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Human Roles,artist,talented;struggling;famous;local;contemporary;modern;prolific;visual;young;unknown
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Human Roles,athlete,professional;amateur;competitive;skilled;dedicated;injured;Olympic;collegiate;talented;young
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Human Roles,chef,famous;executive;head;talented;experienced;sous;pastry;gourmet;skilled;innovative
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Human Roles,doctor,medical;experienced;caring;general;skilled;young;local;attending;resident;specialist
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Human Roles,engineer,civil;mechanical;electrical;experienced;professional;skilled;structural;software;chemical;young
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Human Roles,farmer,local;family;independent;organic;small;struggling;hard-working;elderly;young;traditional
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Human Roles,lawyer,corporate;criminal;experienced;skilled;local;successful;young;defense;prosecuting;incompetent
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Human Roles,musician,talented;local;professional;struggling;famous;young;experienced;classical;jazz;rock
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Human Roles,scientist,leading;research;young;experienced;brilliant;respected;local;dedicated;theoretical;practical
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Human Roles,soldier,brave;young;experienced;decorated;wounded;fallen;active;reserve;professional;loyal
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Human Roles,teacher,experienced;dedicated;passionate;enthusiastic;inspiring;local;young;new;substitute;veteran
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Human Roles,writer,famous;published;aspiring;struggling;talented;prolific;experienced;young;unknown;freelance
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Inanimate Objects,book,hardcover;paperback;new;old;used;rare;illustrated;signed;classic;popular
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Inanimate Objects,bridge,old;suspension;covered;wooden;stone;modern;narrow;long;short;sturdy
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Inanimate Objects,drums,loud;acoustic;electronic;new;used;snare;bass;orchestral;marching;custom
gemini-2.0-flash,english-monolingual,1.0,VI # Vietnamese,B1,most frequent,Inanimate Objects,earth,round;blue;fertile;dry;barren;polluted;warm;cold;rocky;ancient
