Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,anger,strong;deep;sudden;hot;fierce;wild;bitter;quick;dark;heavy
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,courage,great;brave;bold;true;strong;amazing;real;pure;quiet;inner
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,fear,big;cold;dark;deep;sudden;strong;terrible;silent;hidden;growing
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,freedom,true;complete;new;sweet;hard;personal;full;long;precious;basic
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,happiness,pure;great;simple;warm;bright;deep;true;real;lasting;sweet
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,hate,strong;deep;bitter;dark;cold;fierce;hidden;burning;blind;endless
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,honesty,true;complete;pure;simple;real;strong;clear;brave;open;full
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,justice,fair;true;strong;equal;real;pure;hard;clear;honest;final
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,knowledge,deep;wide;great;useful;basic;new;old;strong;clear;vast
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,love,true;deep;warm;sweet;strong;pure;endless;real;gentle;kind
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,peace,quiet;calm;true;deep;lasting;sweet;inner;real;gentle;complete
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,wisdom,great;deep;old;true;strong;quiet;clear;simple;pure;ancient
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,bell,loud;clear;small;old;golden;shiny;heavy;sweet;bright;silver
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,candle,small;bright;warm;soft;white;flickering;old;red;tall;melting
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,carpet,soft;thick;red;old;colorful;warm;big;clean;patterned;expensive
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,coin,old;shiny;small;silver;gold;rare;round;heavy;dirty;valuable
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,crown,golden;heavy;shiny;royal;old;beautiful;rich;tall;jeweled;ancient
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,flag,national;colorful;big;waving;proud;old;torn;bright;red;white
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,mask,scary;black;white;funny;old;wooden;strange;hidden;painted;dark
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,necklace,beautiful;gold;silver;long;shiny;expensive;old;delicate;simple;heavy
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,painting,beautiful;old;colorful;big;famous;dark;bright;small;detailed;expensive
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,ring,gold;silver;shiny;small;expensive;old;beautiful;simple;round;precious
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,statue,tall;old;stone;big;beautiful;white;heavy;ancient;famous;broken
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,vase,old;beautiful;glass;small;tall;colorful;delicate;expensive;white;broken
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,cloud,white;fluffy;big;dark;soft;gray;heavy;low;high;moving
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,earthquake,strong;sudden;terrible;dangerous;big;scary;powerful;destructive;quick;violent
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,fog,thick;white;cold;heavy;dark;silent;wet;early;mysterious;deep
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,lightning,bright;quick;strong;dangerous;loud;fast;sharp;scary;powerful;sudden
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;warm;soft;sudden;long;hard;quiet;steady
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,rainbow,colorful;bright;beautiful;big;clear;rare;magical;high;wide;amazing
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;heavy;light;thick;beautiful;quiet;fresh;falling
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,storm,strong;dark;loud;dangerous;big;sudden;violent;scary;wild;heavy
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,thunder,loud;deep;strong;scary;sudden;heavy;dark;powerful;rolling;distant
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,tide,high;low;strong;calm;fast;slow;dangerous;quiet;rising;falling
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,volcano,active;dangerous;big;hot;tall;dark;old;powerful;scary;burning
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,wind,strong;cold;warm;light;fast;slow;gentle;wild;loud;steady
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Food Items,apple,red;green;sweet;fresh;small;big;round;juicy;hard;ripe
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Food Items,banana,yellow;sweet;soft;long;fresh;ripe;small;big;curved;healthy
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Food Items,beef,red;fresh;tough;soft;raw;cooked;expensive;fatty;lean;juicy
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Food Items,bread,fresh;soft;warm;white;brown;hard;old;thick;crusty;sliced
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Food Items,broccoli,green;fresh;healthy;small;big;raw;cooked;tender;bitter;crisp
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Food Items,cheese,yellow;white;soft;hard;old;strong;creamy;melted;sharp;mild
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Food Items,chicken,fresh;cooked;raw;tender;juicy;roasted;grilled;spicy;white;fatty
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Food Items,egg,white;brown;fresh;boiled;fried;raw;small;big;hard;soft
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Food Items,fish,fresh;raw;cooked;big;small;salty;oily;white;silver;tasty
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Food Items,pasta,soft;hard;long;short;hot;cold;fresh;dry;yellow;tasty
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Food Items,rice,white;brown;soft;sticky;long;short;hot;cold;plain;cooked
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Food Items,soup,hot;warm;cold;thick;thin;tasty;creamy;spicy;clear;fresh
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Human Roles,artist,talented;famous;young;old;creative;poor;rich;modern;classic;skilled
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Human Roles,athlete,strong;fast;young;tall;fit;famous;skilled;tough;active;dedicated
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Human Roles,chef,skilled;famous;young;old;creative;busy;talented;strict;friendly;experienced
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Human Roles,doctor,kind;smart;old;young;busy;famous;helpful;strict;caring;experienced
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Human Roles,engineer,smart;young;old;skilled;creative;busy;famous;talented;careful;technical
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Human Roles,farmer,hard-working;old;young;poor;rich;kind;strong;busy;friendly;simple
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Human Roles,lawyer,smart;strict;famous;young;old;rich;busy;clever;strong;honest
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Human Roles,musician,talented;young;old;famous;creative;poor;rich;skilled;passionate;friendly
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Human Roles,scientist,smart;old;young;famous;curious;busy;clever;dedicated;creative;careful
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Human Roles,soldier,brave;strong;young;old;tough;loyal;strict;tall;fearless;dedicated
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Human Roles,teacher,kind;strict;smart;old;young;patient;friendly;helpful;busy;caring
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Human Roles,writer,famous;talented;young;old;creative;poor;rich;clever;quiet;passionate
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,book,old;new;thick;thin;big;small;interesting;boring;heavy;light
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,bridge,old;new;long;short;high;low;strong;weak;wooden;metal
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,drums,loud;big;small;heavy;old;new;red;black;shiny;wooden
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,earth,big;round;blue;green;old;beautiful;rich;dry;wet;warm
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,flute,small;silver;gold;old;new;shiny;light;wooden;clear;beautiful
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,key,small;old;shiny;heavy;silver;gold;rusty;big;important;lost
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,knife,sharp;small;big;old;new;heavy;light;rusty;shiny;dangerous
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,lock,old;new;heavy;small;big;strong;weak;rusty;shiny;broken
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,moon,bright;full;round;white;big;small;pale;quiet;beautiful;distant
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,pen,black;blue;red;small;big;old;new;cheap;expensive;broken
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,sun,bright;hot;big;yellow;warm;high;low;clear;strong;shining
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,sword,sharp;old;heavy;long;short;shiny;rusty;strong;dangerous;ancient
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Neutral Animals,cat,small;black;white;soft;cute;wild;lazy;fast;friendly;quiet
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Neutral Animals,dog,big;small;friendly;loud;black;white;fast;loyal;cute;strong
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Neutral Animals,dolphin,smart;friendly;fast;big;small;blue;gray;playful;beautiful;wild
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Neutral Animals,elephant,big;gray;strong;heavy;slow;tall;old;young;kind;wild
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Neutral Animals,hamster,small;cute;soft;brown;white;fast;quiet;tiny;active;fluffy
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Neutral Animals,monkey,small;brown;fast;funny;wild;cute;loud;active;clever;naughty
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Neutral Animals,mouse,small;gray;fast;quiet;tiny;cute;brown;sneaky;scared;quick
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Neutral Animals,peacock,beautiful;colorful;big;tall;proud;bright;rare;amazing;loud;stunning
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Neutral Animals,rabbit,small;white;soft;cute;fast;brown;quiet;tiny;fluffy;quick
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Neutral Animals,shark,big;dangerous;fast;gray;scary;strong;wild;sharp;hungry;dark
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Neutral Animals,snake,long;dangerous;green;brown;fast;scary;quiet;thin;wild;poisonous
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Neutral Animals,whale,big;blue;huge;slow;heavy;deep;gentle;rare;beautiful;strong
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Places,city,big;small;busy;noisy;modern;old;beautiful;crowded;clean;dirty
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Places,desert,hot;dry;big;empty;sandy;quiet;wide;dangerous;yellow;harsh
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Places,forest,green;big;dark;thick;old;quiet;deep;beautiful;wild;scary
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Places,island,small;big;beautiful;quiet;green;tropical;remote;sandy;rocky;isolated
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Places,lake,blue;clear;big;small;deep;calm;cold;quiet;beautiful;still
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Places,mountain,high;tall;big;rocky;snowy;green;steep;old;beautiful;dangerous
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Places,ocean,big;blue;deep;wide;cold;calm;rough;beautiful;dark;endless
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Places,plain,wide;flat;green;big;empty;dry;yellow;quiet;open;vast
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Places,plateau,high;flat;big;rocky;dry;wide;cold;empty;green;remote
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Places,river,long;wide;blue;clear;deep;fast;slow;cold;beautiful;quiet
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Places,valley,green;deep;wide;beautiful;quiet;long;narrow;rocky;fertile;hidden
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Places,village,small;quiet;old;beautiful;simple;poor;friendly;green;remote;peaceful
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Plants,cactus,green;tall;small;sharp;dry;thick;old;spiky;tough;desert
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Plants,eggplant,purple;big;small;fresh;soft;hard;shiny;long;healthy;ripe
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Plants,flower,beautiful;red;white;yellow;small;big;soft;bright;fresh;colorful
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Plants,grass,green;soft;thick;thin;wet;dry;long;short;fresh;wild
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Plants,lettuce,green;fresh;soft;big;small;crisp;light;healthy;raw;tender
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Plants,mushroom,small;brown;white;soft;big;fresh;wild;tasty;round;poisonous
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Plants,onion,white;yellow;strong;small;big;fresh;raw;round;sharp;sweet
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Plants,pepper,red;green;yellow;hot;sweet;small;big;fresh;spicy;round
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Plants,potato,brown;big;small;fresh;raw;cooked;hard;soft;round;dirty
grok-3,basic,1.0,AR # Arabic,B1,most frequent,Plants,rose,red;pink;white;beautiful;soft;small;big;fresh;thorny;sweet
