Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Abstract Concepts,anger,intense;fiery;uncontrollable;deep;burning;fierce;raw;bitter;sudden;suppressed
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Abstract Concepts,courage,bold;fearless;brave;heroic;daring;valiant;resolute;steadfast;unwavering;gutsy
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Abstract Concepts,fear,overwhelming;paralyzing;chilling;deep-seated;irrational;haunting;gripping;primal;lingering;acute
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Abstract Concepts,freedom,absolute;cherished;hard-won;liberating;boundless;precious;fundamental;true;personal;enduring
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Abstract Concepts,happiness,pure;radiant;infectious;genuine;lasting;immense;simple;profound;blissful;heartfelt
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Abstract Concepts,hate,intense;venomous;deep-rooted;bitter;consuming;relentless;toxic;blind;passionate;destructive
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Abstract Concepts,honesty,brutal;refreshing;unwavering;complete;sincere;raw;admirable;rare;steadfast;uncompromising
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Abstract Concepts,justice,fair;impartial;righteous;swift;blind;hard-fought;moral;deserved;equal;restorative
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Abstract Concepts,knowledge,vast;deep;profound;extensive;practical;theoretical;specialized;invaluable;ancient;newfound
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Abstract Concepts,love,unconditional;passionate;tender;eternal;selfless;romantic;deep;true;enduring;devoted
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Abstract Concepts,peace,serene;lasting;fragile;inner;global;quiet;harmonious;tranquil;elusive;hard-earned
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Abstract Concepts,wisdom,timeless;profound;practical;ancient;insightful;hard-earned;deep;thoughtful;enlightened;invaluable
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Cultural Artifacts,bell,loud;clear;resonant;melodic;antique;brass;tiny;heavy;ornate;cheerful
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Cultural Artifacts,candle,flickering;scented;warm;soft;tall;decorative;melted;glowing;delicate;handmade
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Cultural Artifacts,carpet,plush;soft;colorful;worn;thick;patterned;luxurious;oriental;dusty;woven
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Cultural Artifacts,coin,shiny;old;rare;silver;gold;worn;small;collectible;ancient;valuable
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Cultural Artifacts,crown,golden;jeweled;royal;heavy;ornate;ancient;ceremonial;majestic;symbolic;glittering
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Cultural Artifacts,flag,national;colorful;tattered;proud;waving;symbolic;historic;bold;vibrant;iconic
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Cultural Artifacts,mask,mysterious;eerie;decorative;tribal;painted;creepy;elaborate;hidden;ceremonial;haunting
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Cultural Artifacts,necklace,delicate;elegant;beaded;silver;gold;vintage;intricate;sparkling;heirloom;fashionable
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Cultural Artifacts,painting,beautiful;abstract;realistic;vibrant;classic;modern;detailed;expressive;famous;colorful
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Cultural Artifacts,ring,shiny;diamond;gold;silver;engagement;simple;ornate;vintage;precious;engraved
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Cultural Artifacts,statue,marble;bronze;towering;ancient;detailed;majestic;weathered;iconic;commemorative;imposing
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Cultural Artifacts,vase,ceramic;fragile;ornate;tall;antique;floral;elegant;cracked;decorative;slender
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Environmental Phenomena,cloud,fluffy;dark;white;ominous;wispy;thick;gray;floating;soft;towering
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Environmental Phenomena,earthquake,devastating;powerful;sudden;violent;destructive;terrifying;massive;unexpected;catastrophic;seismic
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Environmental Phenomena,fog,thick;eerie;dense;mysterious;cold;gray;enveloping;silent;heavy;obscuring
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Environmental Phenomena,lightning,bright;jagged;sudden;powerful;electric;striking;dangerous;vivid;intense;blinding
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Environmental Phenomena,rain,gentle;heavy;steady;cold;refreshing;torrential;light;drizzling;warm;relentless
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Environmental Phenomena,rainbow,vibrant;colorful;beautiful;rare;magical;bright;fleeting;arched;stunning;vivid
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Environmental Phenomena,snow,soft;white;powdery;heavy;fresh;cold;fluffy;glistening;silent;thick
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Environmental Phenomena,storm,fierce;violent;raging;dark;powerful;sudden;destructive;intense;wild;thunderous
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Environmental Phenomena,thunder,loud;booming;rolling;deep;startling;powerful;ominous;distant;echoing;resonant
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Environmental Phenomena,tide,high;low;strong;incoming;outgoing;relentless;powerful;calm;rhythmic;unpredictable
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Environmental Phenomena,volcano,active;dormant;explosive;massive;fiery;dangerous;ancient;towering;destructive;smoldering
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Environmental Phenomena,wind,strong;gusty;cold;warm;gentle;howling;brisk;relentless;wild;biting
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Food Items,apple,red;green;crisp;juicy;sweet;tart;fresh;ripe;shiny;firm
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Food Items,banana,yellow;ripe;soft;sweet;curved;fresh;tropical;mushy;spotted;healthy
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Food Items,beef,tender;juicy;lean;grilled;rare;well-done;savory;marbled;fresh;seasoned
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Food Items,bread,fresh;crusty;soft;warm;homemade;sliced;whole-grain;stale;toasted;fluffy
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Food Items,broccoli,green;fresh;crisp;tender;healthy;steamed;raw;vibrant;bitter;nutritious
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Food Items,cheese,sharp;creamy;aged;melted;soft;hard;tangy;mild;stinky;grated
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Food Items,chicken,roasted;grilled;tender;juicy;spicy;fried;lean;savory;moist;seasoned
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Food Items,egg,fresh;boiled;fried;scrambled;raw;white;brown;soft;hard;organic
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Food Items,fish,fresh;grilled;raw;flaky;oily;smoked;salty;tender;white;bony
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Food Items,pasta,al dente;soft;fresh;homemade;creamy;cheesy;spicy;saucy;hearty;light
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Food Items,rice,white;brown;sticky;fluffy;steamed;seasoned;plain;aromatic;long-grain;short-grain
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Food Items,soup,hot;creamy;hearty;clear;savory;spicy;comforting;thick;homemade;brothy
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Human Roles,artist,talented;creative;innovative;passionate;eccentric;visionary;skilled;struggling;famous;inspired
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Human Roles,athlete,strong;fast;dedicated;competitive;skilled;disciplined;agile;powerful;determined;fit
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Human Roles,chef,skilled;creative;passionate;innovative;experienced;meticulous;talented;busy;renowned;culinary
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Human Roles,doctor,compassionate;skilled;dedicated;knowledgeable;caring;busy;experienced;trusted;professional;wise
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Human Roles,engineer,innovative;skilled;analytical;creative;precise;technical;brilliant;dedicated;resourceful;practical
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Human Roles,farmer,hardworking;dedicated;rugged;patient;knowledgeable;rural;tough;resilient;traditional;resourceful
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Human Roles,lawyer,sharp;persuasive;dedicated;knowledgeable;aggressive;ethical;experienced;cunning;articulate;professional
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Human Roles,musician,talented;passionate;creative;skilled;expressive;dedicated;versatile;gifted;charismatic;inspired
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Human Roles,scientist,curious;brilliant;analytical;innovative;dedicated;meticulous;knowledgeable;experimental;logical;groundbreaking
