Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Abstract Concepts,anger,big;hot;bad;strong;much;real;new;long;quick;black
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Abstract Concepts,courage,strong;much;real;new;good;great;hard;true;brave;small
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Abstract Concepts,fear,big;strong;much;real;new;bad;small;dark;sudden;long
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Abstract Concepts,freedom,much;real;new;good;great;hard;true;long;happy;different
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Abstract Concepts,happiness,big;much;real;new;good;great;long;true;happy;small
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Abstract Concepts,hate,big;bad;strong;much;real;new;long;true;black;hard
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Abstract Concepts,honesty,much;real;new;good;hard;true;long;important;great;simple
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Abstract Concepts,justice,much;real;new;good;great;hard;true;long;important;same
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Abstract Concepts,knowledge,much;real;new;good;great;hard;true;long;important;same
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Abstract Concepts,love,big;much;real;new;good;great;long;true;happy;small
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Abstract Concepts,peace,much;real;new;good;great;hard;true;long;happy;quiet
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Abstract Concepts,wisdom,much;real;new;good;great;hard;true;long;important;same
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,bell,big;small;new;old;gold;good;loud;nice;round;metal
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,candle,small;new;white;big;old;nice;good;long;red;short
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,carpet,big;new;old;red;good;long;small;nice;soft;wool
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,coin,small;new;old;gold;silver;good;bad;same;round;many
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,crown,gold;big;new;old;beautiful;good;important;small;great;round
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,flag,big;new;old;red;white;blue;good;small;long;same
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,mask,new;old;black;white;red;big;small;good;bad;same
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,necklace,gold;silver;new;old;beautiful;long;small;nice;good;big
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,painting,new;old;big;small;good;beautiful;nice;same;hard;long
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,ring,gold;silver;new;old;big;small;round;good;same;beautiful
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,statue,big;new;old;white;good;small;stone;long;hard;beautiful
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,vase,new;old;big;small;glass;beautiful;good;nice;same;flower
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,cloud,big;white;dark;grey;small;new;old;good;bad;long
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,earthquake,big;strong;bad;new;long;hard;sudden;great;same;real
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,fog,thick;white;grey;new;old;big;small;bad;cold;much
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,lightning,bright;new;old;big;white;yellow;good;bad;strong;quick
