Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,anger,big;bad;hot;strong;hard;real;new;fast;long;sudden
gemini-2.0-flash,basic,2.0,AR # Arabic,B2,most frequent,Abstract Concepts,anger,big;bad;strong;hot;real;much;true;little;sudden;blind
gemini-2.0-flash,basic,2.0,AR # Arabic,C1,most frequent,Abstract Concepts,anger,hot;big;bad;strong;real;sudden;much;little;past;cold
gemini-2.0-flash,basic,2.0,AR # Arabic,C2,most frequent,Abstract Concepts,anger,intense;burning;seething;righteous;blind;suppressed;controlled;sudden;simmering;bitter
gemini-2.0-flash,basic,2.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,anger,intense;hot;blind;bitter;deep;sudden;uncontrollable;simmering;righteous;cold
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,courage,great;true;real;big;much;hard;more;good;little;new
gemini-2.0-flash,basic,2.0,AR # Arabic,B2,most frequent,Abstract Concepts,courage,great;true;real;much;big;strong;quiet;new;false;inner
gemini-2.0-flash,basic,2.0,AR # Arabic,C1,most frequent,Abstract Concepts,courage,great;real;true;much;more;big;personal;enough;past;simple
gemini-2.0-flash,basic,2.0,AR # Arabic,C2,most frequent,Abstract Concepts,courage,unwavering;remarkable;quiet;newfound;moral;inner;steadfast;bold;calculated;unexpected
gemini-2.0-flash,basic,2.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,courage,great;true;unwavering;moral;quiet;remarkable;inner;foolish;inspiring;personal
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,fear,big;real;great;much;little;more;good;bad;new;strong
gemini-2.0-flash,basic,2.0,AR # Arabic,B2,most frequent,Abstract Concepts,fear,great;much;strong;little;true;real;bad;new;sudden;common
gemini-2.0-flash,basic,2.0,AR # Arabic,C1,most frequent,Abstract Concepts,fear,big;real;strong;great;more;much;little;sudden;own;true
gemini-2.0-flash,basic,2.0,AR # Arabic,C2,most frequent,Abstract Concepts,fear,overwhelming;irrational;primal;crippling;lurking;unfounded;debilitating;deep-seated;constant;growing
gemini-2.0-flash,basic,2.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,fear,great;irrational;primal;crippling;unfounded;lingering;deep-seated;paralysing;overwhelming;consuming
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,freedom,great;big;much;more;good;true;real;new;little;hard
gemini-2.0-flash,basic,2.0,AR # Arabic,B2,most frequent,Abstract Concepts,freedom,true;real;much;great;important;big;little;new;political;individual
gemini-2.0-flash,basic,2.0,AR # Arabic,C1,most frequent,Abstract Concepts,freedom,great;much;more;true;political;basic;full;new;personal;individual
gemini-2.0-flash,basic,2.0,AR # Arabic,C2,most frequent,Abstract Concepts,freedom,hard-won;precious;personal;limited;absolute;fundamental;collective;basic;legal;illusory
gemini-2.0-flash,basic,2.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,freedom,basic;essential;fundamental;individual;national;political;economic;personal;conditional;limited
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,happiness,great;much;big;good;more;real;true;new;little;long
gemini-2.0-flash,basic,2.0,AR # Arabic,B2,most frequent,Abstract Concepts,happiness,true;much;great;real;big;quiet;simple;small;new;daily
gemini-2.0-flash,basic,2.0,AR # Arabic,C1,most frequent,Abstract Concepts,happiness,great;true;real;simple;more;much;own;personal;past;little
gemini-2.0-flash,basic,2.0,AR # Arabic,C2,most frequent,Abstract Concepts,happiness,fleeting;simple;pure;genuine;infectious;boundless;shared;inner;relative;quiet
gemini-2.0-flash,basic,2.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,happiness,great;pure;true;simple;fleeting;contagious;inner;lasting;genuine;complete
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,hate,big;real;strong;bad;much;more;great;good;little;long
gemini-2.0-flash,basic,2.0,AR # Arabic,B2,most frequent,Abstract Concepts,hate,much;great;strong;real;big;deep;true;little;blind;sudden
gemini-2.0-flash,basic,2.0,AR # Arabic,C1,most frequent,Abstract Concepts,hate,great;big;strong;true;much;more;own;little;open;real
gemini-2.0-flash,basic,2.0,AR # Arabic,C2,most frequent,Abstract Concepts,hate,consuming;bitter;irrational;ingrained;deep-seated;intense;raw;blind;underlying;mutual
gemini-2.0-flash,basic,2.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,hate,bitter;deep;intense;abiding;irrational;blind;passionate;simmering;pathological;consuming
gemini-2.0-flash,basic,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,honesty,good;real;great;true;much;more;little;new;hard;big
gemini-2.0-flash,basic,2.0,AR # Arabic,B2,most frequent,Abstract Concepts,honesty,true;real;great;much;important;good;complete;full;open;rare
gemini-2.0-flash,basic,2.0,AR # Arabic,C1,most frequent,Abstract Concepts,honesty,great;true;much;real;more;total;complete;personal;basic;good
