Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,anger,intense;blind;raw;sudden;deep;suppressed;righteous;simmering;explosive;quiet
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,courage,brave;bold;unwavering;heroic;fearless;steadfast;moral;quiet;inspiring;indomitable
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,fear,intense;irrational;deep-seated;sudden;paralyzing;primal;overwhelming;creeping;unfounded;lingering
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,freedom,absolute;hard-won;personal;unrestricted;true;basic;newfound;precious;unlimited;democratic
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,happiness,pure;lasting;genuine;fleeting;radiant;simple;profound;contagious;inner;joyful
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,hate,intense;bitter;deep-seated;irrational;burning;blind;festering;mutual;unspoken;destructive
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,honesty,brutal;unwavering;refreshing;absolute;straightforward;rare;heartfelt;painful;complete;admirable
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,justice,swift;blind;social;poetic;true;equal;restorative;divine;impartial;delayed
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,knowledge,vast;practical;ancient;secret;profound;basic;specialized;shared;intuitive;empirical
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,love,unconditional;passionate;enduring;pure;romantic;selfless;forbidden;deep;fleeting;platonic
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,peace,inner;lasting;fragile;global;quiet;absolute;negotiated;spiritual;temporary;profound
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,wisdom,ancient;profound;practical;timeless;innate;hard-earned;intuitive;worldly;quiet;superior
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,bell,ringing;antique;loud;small;golden;church;handheld;cracked;electronic;ornate
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,candle,flickering;scented;tall;beeswax;decorative;melted;birthday;emergency;colored;aromatic
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,carpet,plush;woolen;patterned;worn;oriental;thick;colorful;synthetic;rolled;antique
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,coin,shiny;ancient;rare;gold;silver;counterfeit;foreign;minted;tarnished;commemorative
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,crown,royal;jeweled;golden;ceremonial;ancient;symbolic;heavy;ornate;makeshift;imperial
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,flag,national;waving;colorful;tattered;symbolic;foreign;printed;historical;faded;patriotic
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,mask,protective;decorative;theatrical;facial;mysterious;surgical;carved;festive;anonymous;elaborate
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,necklace,pearl;gold;beaded;antique;simple;elegant;layered;diamond;handmade;choker
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,painting,abstract;vibrant;landscape;oil;famous;modern;detailed;portrait;faded;impressionist
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,ring,engagement;golden;silver;diamond;simple;antique;wedding;oversized;engraved;mood
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,statue,marble;towering;ancient;bronze;commemorative;lifelike;garden;damaged;heroic;modern
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,vase,ceramic;antique;floral;glass;decorative;tall;cracked;ornate;crystal;hand-painted
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,cloud,fluffy;dark;wispy;stormy;white;drifting;cumulus;low-hanging;billowing;rain-filled
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,earthquake,devastating;minor;seismic;powerful;underground;sudden;destructive;shallow;tectonic;aftershock
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,fog,thick;dense;morning;eerie;coastal;rolling;light;persistent;mysterious;chilling
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,lightning,bright;forked;sudden;electrical;distant;striking;heat;nighttime;powerful;zigzag
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,rain,heavy;light;steady;torrential;gentle;seasonal;cold;refreshing;monsoon;drizzling
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,rainbow,vibrant;double;faint;colorful;arched;post-rain;full;fleeting;spectacular;natural
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,snow,fresh;powdery;heavy;melting;pristine;drifting;wet;blanket;fluffy;compacted
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,storm,violent;approaching;fierce;tropical;electrical;winter;raging;sudden;howling;distant
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,thunder,loud;rumbling;distant;crashing;ominous;rolling;sudden;echoing;faint;explosive
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,tide,high;low;rising;ebbing;strong;incoming;outgoing;coastal;powerful;lunar
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,volcano,active;dormant;erupting;massive;fiery;ancient;smoking;underwater;threatening;shield
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,wind,strong;gentle;howling;gusty;cold;warm;steady;offshore;blustery;whispering
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Food Items,apple,red;crisp;juicy;green;ripe;tart;fresh;golden;spoiled;organic
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Food Items,banana,yellow;ripe;peeled;green;sweet;spotted;fresh;overripe;curved;tropical
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Food Items,beef,tender;lean;grilled;ground;rare;fatty;organic;aged;marbled;spiced
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Food Items,bread,fresh;sliced;whole-wheat;crusty;soft;toasted;homemade;stale;warm;rye
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Food Items,broccoli,fresh;steamed;green;crisp;organic;frozen;raw;tender;floreted;boiled
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Food Items,cheese,sharp;creamy;aged;soft;grated;melted;hard;flavorful;blue;sliced
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Food Items,chicken,grilled;roasted;fried;organic;boneless;fresh;spicy;tender;free-range;marinated
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Food Items,egg,boiled;fresh;scrambled;brown;white;organic;fried;cracked;jumbo;fertilized
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Food Items,fish,fresh;grilled;smoked;wild;frozen;flaky;salted;oily;caught;filleted
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Food Items,pasta,cooked;al dente;fresh;dried;stuffed;whole-wheat;sauced;homemade;twisted;boiled
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Food Items,rice,steamed;white;brown;cooked;sticky;wild;fluffy;basmati;fried;uncooked
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Food Items,soup,hot;creamy;vegetable;hearty;spicy;clear;chilled;tomato;nourishing;instant
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Human Roles,artist,talented;creative;struggling;famous;visionary;dedicated;eccentric;emerging;skilled;innovative
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Human Roles,athlete,professional;dedicated;fit;competitive;Olympic;injured;speedy;trained;versatile;star
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Human Roles,chef,skilled;renowned;innovative;professional;passionate;celebrity;amateur;meticulous;talented;experienced
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Human Roles,doctor,skilled;dedicated;specialist;emergency;compassionate;experienced;resident;surgical;primary;renowned
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Human Roles,engineer,skilled;innovative;mechanical;civil;electrical;dedicated;software;creative;experienced;problem-solving
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Human Roles,farmer,hardworking;organic;local;experienced;rural;dedicated;subsistence;commercial;innovative;family
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Human Roles,lawyer,sharp;corporate;defense;experienced;ethical;trial;ambitious;criminal;dedicated;successful
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Human Roles,musician,talented;classical;rock;jazz;dedicated;emerging;virtuoso;indie;professional;passionate
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Human Roles,scientist,brilliant;dedicated;research;environmental;innovative;theoretical;experimental;renowned;curious;genetic
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Human Roles,soldier,brave;trained;elite;veteran;disciplined;combat;loyal;injured;frontline;heroic
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Human Roles,teacher,dedicated;inspiring;experienced;patient;elementary;passionate;strict;innovative;supportive;knowledgeable
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Human Roles,writer,prolific;talented;mystery;aspiring;famous;freelance;poetic;dedicated;novelist;insightful
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Inanimate Objects,book,thick;paperback;bestselling;ancient;illustrated;mystery;educational;worn;hardcover;digital
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Inanimate Objects,bridge,sturdy;ancient;suspension;wooden;modern;arched;collapsed;iconic;pedestrian;high
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Inanimate Objects,drums,rhythmic;loud;electronic;acoustic;tribal;professional;small;tuned;handmade;metal
grok-3-mini,english-monolingual,0.0,ZH # Mandarin,B1,most frequent,Inanimate Objects,earth,fertile;round;blue;ancient;trembling;vast;green;molten;solid;habitable
