Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,think-in-native,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,anger,bad;big;strong;hot;real;true;much;little;important;hard
gemini-2.0-flash,think-in-native,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,courage,good;big;true;real;important;much;strong;hard;new;different
gemini-2.0-flash,think-in-native,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,fear,big;much;real;bad;strong;true;little;important;hard;dark
gemini-2.0-flash,think-in-native,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,freedom,real;good;much;important;big;true;new;different;possible;hard
gemini-2.0-flash,think-in-native,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,happiness,good;much;real;big;true;important;new;little;possible;different
gemini-2.0-flash,think-in-native,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,hate,big;bad;much;strong;real;true;little;important;hard;new
gemini-2.0-flash,think-in-native,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,honesty,good;big;real;true;much;important;new;little;different;hard
gemini-2.0-flash,think-in-native,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,justice,good;real;true;big;much;important;new;possible;different;hard
gemini-2.0-flash,think-in-native,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,knowledge,good;big;much;important;real;true;new;little;different;hard
gemini-2.0-flash,think-in-native,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,love,good;big;true;real;much;important;new;little;hard;possible
gemini-2.0-flash,think-in-native,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,peace,good;big;true;real;much;important;new;possible;hard;long
gemini-2.0-flash,think-in-native,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,wisdom,good;big;real;true;much;important;new;little;different;hard
gemini-2.0-flash,think-in-native,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;good;bad;loud;metal;church;school
gemini-2.0-flash,think-in-native,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,candle,small;big;white;yellow;new;old;good;wax;light;long
gemini-2.0-flash,think-in-native,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,carpet,big;small;new;old;red;blue;good;bad;soft;long
gemini-2.0-flash,think-in-native,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,coin,small;big;new;old;gold;silver;metal;round;one;two
gemini-2.0-flash,think-in-native,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,crown,gold;big;small;new;old;important;queen;king;good;bad
gemini-2.0-flash,think-in-native,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,flag,big;small;new;old;red;white;blue;country;important;national
gemini-2.0-flash,think-in-native,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,mask,big;small;new;old;white;black;good;bad;paper;plastic
