Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,anger,strong;deep;hot;quick;wild;dark;heavy;bitter;fierce;loud
grok-3,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,courage,brave;bold;great;true;amazing;powerful;real;strong;pure;fearless
grok-3,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,fear,big;cold;dark;deep;sudden;terrible;strong;hidden;sharp;intense
grok-3,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,freedom,true;full;sweet;precious;new;great;personal;real;pure;complete
grok-3,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,happiness,bright;warm;pure;simple;true;deep;great;real;sweet;endless
grok-3,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,hate,strong;deep;dark;bitter;cold;fierce;heavy;blind;cruel;intense
grok-3,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,honesty,true;pure;clear;real;strong;simple;deep;great;complete;fair
grok-3,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,justice,fair;true;strong;real;pure;equal;clear;honest;right;moral
grok-3,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,knowledge,deep;wide;great;useful;true;clear;strong;vast;important;basic
grok-3,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,love,true;deep;sweet;warm;strong;pure;real;endless;gentle;beautiful
grok-3,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,peace,calm;quiet;true;deep;sweet;real;pure;gentle;lasting;inner
grok-3,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,wisdom,deep;great;true;clear;strong;old;pure;real;quiet;powerful
grok-3,think-in-native,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,bell,loud;clear;small;old;shiny;golden;heavy;bright;sweet;metal
grok-3,think-in-native,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,candle,small;bright;warm;soft;white;long;thin;glowing;red;beautiful
grok-3,think-in-native,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,carpet,soft;thick;red;old;big;warm;colorful;clean;heavy;nice
grok-3,think-in-native,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,coin,old;shiny;small;round;silver;golden;heavy;rare;dirty;new
grok-3,think-in-native,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,crown,golden;heavy;shiny;royal;old;beautiful;big;rich;bright;precious
grok-3,think-in-native,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,flag,bright;colorful;big;national;old;proud;red;white;blue;waving
grok-3,think-in-native,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,mask,scary;funny;black;white;old;strange;wooden;colorful;heavy;mysterious
grok-3,think-in-native,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,necklace,beautiful;shiny;long;silver;golden;expensive;delicate;red;blue;elegant
grok-3,think-in-native,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,painting,beautiful;old;colorful;big;famous;bright;dark;small;amazing;realistic
grok-3,think-in-native,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,ring,shiny;small;golden;silver;beautiful;expensive;round;simple;old;elegant
grok-3,think-in-native,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,statue,tall;old;big;stone;beautiful;white;heavy;famous;ancient;impressive
grok-3,think-in-native,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,vase,beautiful;old;small;delicate;colorful;tall;glass;white;expensive;elegant
grok-3,think-in-native,0.0,ES # Spanish,B1,most frequent,Environmental Phenomena,cloud,white;big;dark;soft;fluffy;gray;high;heavy;thick;moving
grok-3,think-in-native,0.0,ES # Spanish,B1,most frequent,Environmental Phenomena,earthquake,strong;scary;sudden;powerful;dangerous;big;terrible;loud;destructive;violent
grok-3,think-in-native,0.0,ES # Spanish,B1,most frequent,Environmental Phenomena,fog,thick;cold;white;heavy;dark;mysterious;wet;gray;dense;silent
grok-3,think-in-native,0.0,ES # Spanish,B1,most frequent,Environmental Phenomena,lightning,bright;fast;loud;scary;powerful;white;dangerous;sudden;sharp;electric
grok-3,think-in-native,0.0,ES # Spanish,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;wet;soft;strong;dark;warm;endless;sudden
grok-3,think-in-native,0.0,ES # Spanish,B1,most frequent,Environmental Phenomena,rainbow,colorful;bright;beautiful;big;clear;amazing;rare;happy;magical;vivid
grok-3,think-in-native,0.0,ES # Spanish,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;heavy;light;thick;beautiful;quiet;wet;fresh
