Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,english-monolingual,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,anger,deep;great;righteous;uncontrollable;simmering;sudden;bitter;cold;mounting;suppressed
gemini-2.0-flash,english-monolingual,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,courage,great;unwavering;inner;quiet;moral;fierce;blind;sheer;unexpected;remarkable
gemini-2.0-flash,english-monolingual,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,fear,great;crippling;irrational;underlying;deep-seated;overwhelming;constant;consuming;paralyzing;primal
gemini-2.0-flash,english-monolingual,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,freedom,political;personal;fundamental;basic;limited;national;economic;religious;academic;individual
gemini-2.0-flash,english-monolingual,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,happiness,great;pure;simple;true;fleeting;lasting;genuine;unadulterated;quiet;infectious
gemini-2.0-flash,english-monolingual,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,hate,deep;abiding;bitter;irrational;visceral;consuming;pure;unadulterated;ingrained;simmering
gemini-2.0-flash,english-monolingual,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,honesty,brutal;complete;refreshing;utter;simple;sincere;genuine;unwavering;inherent;questionable
gemini-2.0-flash,english-monolingual,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,justice,social;criminal;restorative;true;blind;rough;equal;impartial;poetic;divine
gemini-2.0-flash,english-monolingual,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,knowledge,great;vast;detailed;specialized;practical;working;scientific;encyclopedic;secret;intimate
gemini-2.0-flash,english-monolingual,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,love,true;unconditional;great;passionate;deep;brotherly;maternal;paternal;romantic;platonic
gemini-2.0-flash,english-monolingual,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,peace,lasting;uneasy;fragile;inner;world;regional;international;relative;negotiated;temporary
gemini-2.0-flash,english-monolingual,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,wisdom,great;ancient;acquired;practical;inherent;divine;conventional;worldly;quiet;collective
gemini-2.0-flash,english-monolingual,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,bell,loud;clear;silver;church;school;dinner;small;brass;distant;warning
gemini-2.0-flash,english-monolingual,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,candle,burning;wax;tall;short;thick;thin;white;scented;decorative;votive
gemini-2.0-flash,english-monolingual,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,carpet,oriental;Persian;thick;plush;worn;new;red;patterned;wool;threadbare
gemini-2.0-flash,english-monolingual,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,coin,gold;silver;copper;rare;ancient;valuable;foreign;commemorative;lucky;minted
gemini-2.0-flash,english-monolingual,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,crown,golden;jeweled;royal;ornate;silver;ceremonial;ancient;bejeweled;sparkling;heavy
gemini-2.0-flash,english-monolingual,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,flag,national;waving;red;white;blue;colorful;tattered;flown;symbolic;striped
gemini-2.0-flash,english-monolingual,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,mask,plastic;decorative;painted;scary;theatrical;protective;medical;oxygen;ritual;Venetian
gemini-2.0-flash,english-monolingual,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,necklace,gold;silver;pearl;beaded;delicate;long;short;expensive;costume;diamond
gemini-2.0-flash,english-monolingual,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,painting,oil;watercolor;famous;abstract;landscape;portrait;impressionist;valuable;modern;framed
gemini-2.0-flash,english-monolingual,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,ring,gold;silver;diamond;wedding;engagement;signet;precious;ornate;simple;antique
gemini-2.0-flash,english-monolingual,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,statue,bronze;marble;stone;tall;ancient;famous;monumental;public;commemorative;neoclassical
gemini-2.0-flash,english-monolingual,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,vase,glass;ceramic;porcelain;tall;short;ornate;antique;delicate;flower;empty
gemini-2.0-flash,english-monolingual,1.0,PS # Pashto,B1,most frequent,Environmental Phenomena,cloud,white;dark;grey;rain;storm;passing;fluffy;low;high;ominous
