Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Abstract Concepts,anger,big;strong;hot;cold;quick;slow;deep;sudden;blind;raw
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Abstract Concepts,courage,big;strong;brave;bold;quick;true;false;new;old;great
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Abstract Concepts,fear,big;strong;cold;dark;quick;sudden;bad;deep;real;hidden
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Abstract Concepts,freedom,big;full;new;true;real;easy;strong;good;long;fast
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Abstract Concepts,happiness,big;full;true;real;good;warm;new;fresh;bright;easy
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Abstract Concepts,hate,strong;deep;cold;bad;big;quick;blind;dark;real;hard
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Abstract Concepts,honesty,true;real;good;simple;clear;strong;full;new;easy;direct
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Abstract Concepts,justice,true;fair;strong;good;real;quick;blind;full;clear;hard
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Abstract Concepts,knowledge,big;deep;new;old;good;real;full;clear;easy;true
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Abstract Concepts,love,big;strong;true;real;deep;warm;good;new;pure;easy
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Abstract Concepts,peace,full;quiet;good;true;real;warm;strong;long;clear;easy
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Abstract Concepts,wisdom,big;deep;true;old;good;clear;strong;real;full;simple
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;soft;gold;silver;broken;clean
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,candle,small;big;old;new;bright;soft;white;red;broken;clean
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;soft;hard;clean;dirty;red;blue
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,coin,small;old;new;gold;silver;broken;shiny;dirty;round;heavy
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,crown,big;old;new;gold;silver;heavy;shiny;broken;royal;bright
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,flag,big;small;old;new;red;blue;white;torn;clean;bright
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,mask,small;big;old;new;black;white;broken;clean;soft;hard
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,necklace,small;big;old;new;gold;silver;shiny;broken;clean;long
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,painting,big;small;old;new;beautiful;ugly;bright;dark;clean;broken
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,ring,small;big;old;new;gold;silver;shiny;broken;clean;round
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,statue,big;small;old;new;stone;metal;broken;clean;tall;short
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;broken;clean;glass;clay;pretty;ugly
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,cloud,big;small;white;dark;high;low;soft;fast;slow;cold
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,earthquake,big;strong;sudden;bad;deep;fast;hard;real;long;short
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,fog,thick;thin;cold;wet;grey;heavy;light;bad;slow;early
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,lightning,fast;bright;strong;sudden;white;hot;wild;real;big;short
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;warm;hard;soft;long;short;clean;bad
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,rainbow,bright;beautiful;big;small;colorful;real;short;long;high;low
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;deep;fresh;heavy;light;wet;new;old
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,storm,big;strong;wild;bad;fast;long;short;dark;wet;cold
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,thunder,loud;strong;sudden;big;deep;wild;real;hard;fast;long
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,tide,high;low;strong;fast;slow;big;small;cold;wet;clean
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,volcano,big;active;hot;dangerous;old;new;high;wild;real;deep
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,wind,strong;weak;cold;hot;fast;slow;wild;light;hard;fresh
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Food Items,apple,big;small;red;green;fresh;old;sweet;sour;juicy;hard
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Food Items,banana,big;small;yellow;green;fresh;old;sweet;soft;long;curved
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Food Items,beef,fresh;old;good;bad;red;cooked;raw;big;small;hot
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Food Items,bread,fresh;old;white;brown;soft;hard;good;bad;big;small
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Food Items,broccoli,green;fresh;old;big;small;good;bad;raw;cooked;soft
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Food Items,cheese,yellow;white;fresh;old;soft;hard;good;bad;big;small
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Food Items,chicken,fresh;old;white;brown;cooked;raw;good;bad;big;small
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Food Items,egg,big;small;white;brown;fresh;old;good;bad;hard;soft
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Food Items,fish,big;small;fresh;old;good;bad;wild;cooked;raw;silver
grok-3-mini,think-in-native,1.0,GA # Irish,B1,most frequent,Food Items,pasta,long;short;fresh;old;good;bad;cooked;raw;white;soft
