Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,basic,2.0,HI # Hindi,B1,most frequent,Abstract Concepts,anger,big;hot;bad;red;cold;little;new;fast;good;slow
gemini-2.0-flash,basic,2.0,HI # Hindi,B1,most frequent,Abstract Concepts,courage,great;big;true;small;good;strong;new;more;real;different
gemini-2.0-flash,basic,2.0,HI # Hindi,B1,most frequent,Abstract Concepts,fear,big;new;real;bad;small;more;much;different;same;old
gemini-2.0-flash,basic,2.0,HI # Hindi,B1,most frequent,Abstract Concepts,freedom,much;good;great;real;more;new;important;little;own;different
gemini-2.0-flash,basic,2.0,HI # Hindi,B1,most frequent,Abstract Concepts,happiness,much;good;more;real;great;big;new;little;same;possible
gemini-2.0-flash,basic,2.0,HI # Hindi,B1,most frequent,Abstract Concepts,hate,much;big;bad;more;little;same;real;great;new;strong
gemini-2.0-flash,basic,2.0,HI # Hindi,B1,most frequent,Abstract Concepts,honesty,much;good;important;more;real;new;big;true;little;great
gemini-2.0-flash,basic,2.0,HI # Hindi,B1,most frequent,Abstract Concepts,justice,real;true;good;important;much;more;new;great;same;big
gemini-2.0-flash,basic,2.0,HI # Hindi,B1,most frequent,Abstract Concepts,knowledge,much;more;good;great;important;new;big;real;true;different
gemini-2.0-flash,basic,2.0,HI # Hindi,B1,most frequent,Abstract Concepts,love,big;good;more;true;real;new;much;same;great;first
gemini-2.0-flash,basic,2.0,HI # Hindi,B1,most frequent,Abstract Concepts,peace,big;good;real;more;new;much;true;important;same;possible
gemini-2.0-flash,basic,2.0,HI # Hindi,B1,most frequent,Abstract Concepts,wisdom,great;much;good;more;new;important;true;real;different;same
gemini-2.0-flash,basic,2.0,HI # Hindi,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;good;metal;loud;happy;school;broken
gemini-2.0-flash,basic,2.0,HI # Hindi,B1,most frequent,Cultural Artifacts,candle,white;small;new;old;wax;burning;good;red;big;long
gemini-2.0-flash,basic,2.0,HI # Hindi,B1,most frequent,Cultural Artifacts,carpet,big;red;old;new;soft;small;long;clean;nice;wool
gemini-2.0-flash,basic,2.0,HI # Hindi,B1,most frequent,Cultural Artifacts,coin,small;new;old;gold;silver;round;metal;one;many;good
gemini-2.0-flash,basic,2.0,HI # Hindi,B1,most frequent,Cultural Artifacts,crown,gold;big;new;old;queen;king;small;happy;important;beautiful
gemini-2.0-flash,basic,2.0,HI # Hindi,B1,most frequent,Cultural Artifacts,flag,big;new;small;red;old;country;white;good;important;long
gemini-2.0-flash,basic,2.0,HI # Hindi,B1,most frequent,Cultural Artifacts,mask,big;new;white;small;old;black;different;good;red;scary
gemini-2.0-flash,basic,2.0,HI # Hindi,B1,most frequent,Cultural Artifacts,necklace,gold;long;new;beautiful;old;silver;small;good;important;cheap
