Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,anger,intense;burning;fierce;uncontrollable;deep;raw;bitter;sudden;suppressed;explosive
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,courage,bold;fearless;brave;heroic;daring;valiant;steadfast;resolute;unwavering;gallant
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,fear,overwhelming;paralyzing;chilling;deep-seated;irrational;haunting;gripping;primal;lingering;acute
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,freedom,absolute;cherished;hard-won;liberating;boundless;precious;fundamental;exhilarating;true;enduring
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,happiness,pure;radiant;boundless;infectious;genuine;lasting;simple;profound;blissful;heartfelt
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,hate,intense;venomous;bitter;consuming;deep-rooted;fierce;unrelenting;toxic;passionate;blind
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,honesty,brutal;refreshing;unwavering;sincere;absolute;transparent;admirable;rare;steadfast;unyielding
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,justice,fair;impartial;righteous;deserved;swift;blind;true;moral;equitable;restorative
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,knowledge,vast;deep;profound;extensive;specialized;practical;theoretical;invaluable;ancient;newfound
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,love,unconditional;passionate;tender;eternal;selfless;romantic;deep;enduring;genuine;fierce
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,peace,serene;lasting;fragile;inner;global;quiet;harmonious;tranquil;elusive;sacred
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,wisdom,timeless;profound;hard-earned;ancient;practical;insightful;deep;invaluable;guiding;enlightened
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,bell,loud;clear;resonant;melodic;antique;brass;tiny;ceremonial;warning;festive
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,candle,flickering;scented;warm;soft;tall;decorative;glowing;melted;romantic;dim
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,carpet,plush;soft;worn;colorful;thick;patterned;luxurious;faded;oriental;cozy
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,coin,shiny;old;rare;valuable;silver;gold;worn;commemorative;foreign;lucky
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,crown,golden;jeweled;royal;heavy;ornate;ancient;ceremonial;majestic;symbolic;glittering
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,flag,national;waving;tattered;proud;colorful;symbolic;historic;official;bold;iconic
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,mask,mysterious;eerie;decorative;tribal;painted;hidden;creepy;elaborate;theatrical;protective
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,necklace,delicate;elegant;beaded;gold;silver;vintage;ornate;simple;expensive;sentimental
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,painting,beautiful;abstract;realistic;vibrant;classic;modern;detailed;expressive;famous;haunting
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,ring,sparkling;gold;silver;diamond;engagement;antique;simple;ornate;precious;symbolic
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,statue,towering;marble;bronze;ancient;majestic;detailed;weathered;iconic;commemorative;imposing
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,vase,delicate;ceramic;ornate;tall;antique;floral;fragile;elegant;painted;decorative
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,cloud,fluffy;dark;white;ominous;wispy;heavy;drifting;thick;stormy;soft
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,earthquake,devastating;powerful;sudden;violent;destructive;terrifying;massive;unexpected;catastrophic;seismic
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,fog,dense;eerie;thick;mysterious;cold;enveloping;gray;silent;obscuring;lingering
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,lightning,bright;jagged;sudden;powerful;electric;striking;dangerous;vivid;blinding;dramatic
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,rain,gentle;heavy;steady;torrential;cold;refreshing;persistent;light;drizzling;soaking
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,rainbow,vibrant;colorful;beautiful;fleeting;magical;bright;arched;stunning;rare;hopeful
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,snow,soft;white;powdery;heavy;fresh;cold;glistening;silent;thick;falling
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,storm,fierce;violent;raging;dark;powerful;destructive;sudden;intense;brewing;thunderous
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,thunder,loud;booming;rolling;deep;startling;ominous;distant;powerful;echoing;menacing
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,tide,high;low;strong;incoming;outgoing;relentless;powerful;calm;tidal;surging
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,volcano,active;dormant;explosive;massive;fiery;dangerous;ancient;towering;destructive;smoldering
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,wind,strong;gusty;cold;warm;gentle;howling;brisk;relentless;swirling;biting
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Food Items,apple,red;green;crisp;juicy;sweet;tart;fresh;ripe;shiny;firm
grok-3,english-monolingual,0.0,SQ # Albanian,B1,most frequent,Food Items,banana,yellow;ripe;soft;sweet;curved;fresh;tropical;mushy;spotted;healthy
