Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,english-monolingual,2.0,LV # Latvian,B1,most frequent,Abstract Concepts,anger,deep;bitter;sudden;irrational;uncontrollable;cold;suppressed;simmering;righteous;blind
gemini-2.0-flash,english-monolingual,2.0,LV # Latvian,B1,most frequent,Abstract Concepts,courage,great;unwavering;inner;remarkable;infectious;true;quiet;moral;physical;displayed
gemini-2.0-flash,english-monolingual,2.0,LV # Latvian,B1,most frequent,Abstract Concepts,fear,great;deep;irrational;crippling;abiding;overwhelming;paralyzing;primal;suppressed;unfounded
gemini-2.0-flash,english-monolingual,2.0,LV # Latvian,B1,most frequent,Abstract Concepts,freedom,great;true;fundamental;personal;guaranteed;qualified;national;economic;intellectual;religious
gemini-2.0-flash,english-monolingual,2.0,LV # Latvian,B1,most frequent,Abstract Concepts,happiness,great;pure;simple;infectious;true;inner;shared;quiet;lasting;complete
gemini-2.0-flash,english-monolingual,2.0,LV # Latvian,B1,most frequent,Abstract Concepts,hate,great;deep;irrational;blind;abiding;intense;mutual;underlying;consuming;corrosive
gemini-2.0-flash,english-monolingual,2.0,LV # Latvian,B1,most frequent,Abstract Concepts,honesty,brutal;complete;genuine;unwavering;admirable;commendable;refreshing;stark;painful;occasional
gemini-2.0-flash,english-monolingual,2.0,LV # Latvian,B1,most frequent,Abstract Concepts,justice,social;criminal;equal;fair;restorative;swift;blind;rough;tempered;poetic
gemini-2.0-flash,english-monolingual,2.0,LV # Latvian,B1,most frequent,Abstract Concepts,knowledge,broad;deep;specialized;tacit;working;practical;intuitive;expert;prior;new
gemini-2.0-flash,english-monolingual,2.0,LV # Latvian,B1,most frequent,Abstract Concepts,love,true;great;deep;unconditional;abiding;unrequited;lost;newfound;requited;mutual
gemini-2.0-flash,english-monolingual,2.0,LV # Latvian,B1,most frequent,Abstract Concepts,peace,lasting;fragile;negotiated;uneasy;complete;inner;profound;elusive;temporary;world
gemini-2.0-flash,english-monolingual,2.0,LV # Latvian,B1,most frequent,Abstract Concepts,wisdom,great;accumulated;practical;acquired;shared;ancient;inherited;quiet;inner;worldly
gemini-2.0-flash,english-monolingual,2.0,LV # Latvian,B1,most frequent,Cultural Artifacts,bell,loud;clear;brass;silver;church;school;cow;warning;dinner;resonant
gemini-2.0-flash,english-monolingual,2.0,LV # Latvian,B1,most frequent,Cultural Artifacts,candle,lit;burning;scented;beeswax;white;tall;short;dripping;votive;paraffin
gemini-2.0-flash,english-monolingual,2.0,LV # Latvian,B1,most frequent,Cultural Artifacts,carpet,oriental;Persian;wool;thick;worn;rolled;new;patterned;colorful;handwoven
gemini-2.0-flash,english-monolingual,2.0,LV # Latvian,B1,most frequent,Cultural Artifacts,coin,gold;silver;rare;valuable;minted;commemorative;foreign;ancient;counterfeit;lucky
gemini-2.0-flash,english-monolingual,2.0,LV # Latvian,B1,most frequent,Cultural Artifacts,crown,golden;jeweled;royal;ancient;ceremonial;bejeweled;sparkling;tarnished;silver;simple
gemini-2.0-flash,english-monolingual,2.0,LV # Latvian,B1,most frequent,Cultural Artifacts,flag,national;waving;red;white;blue;tattered;flown;country
gemini-2.0-flash,english-monolingual,2.0,LV # Latvian,B1,most frequent,Cultural Artifacts,mask,protective;surgical;Venetian;ornate;tribal;simple;theatrical;full;painted;disguise
gemini-2.0-flash,english-monolingual,2.0,LV # Latvian,B1,most frequent,Cultural Artifacts,necklace,silver;gold;pearl;beaded;gemstone;diamond;costume;ornate;simple;elegant
gemini-2.0-flash,english-monolingual,2.0,LV # Latvian,B1,most frequent,Cultural Artifacts,painting,oil;abstract;watercolor;landscape;portrait;famous;original;valuable;unfinished;classical
gemini-2.0-flash,english-monolingual,2.0,LV # Latvian,B1,most frequent,Cultural Artifacts,ring,gold;silver;diamond;wedding;engagement;ornate;simple;tarnished;signet;costume
gemini-2.0-flash,english-monolingual,2.0,LV # Latvian,B1,most frequent,Cultural Artifacts,statue,bronze;marble;stone;towering;commemorative;ancient;damaged;lifelike;heroic
gemini-2.0-flash,english-monolingual,2.0,LV # Latvian,B1,most frequent,Cultural Artifacts,vase,glass;crystal;porcelain;ceramic;tall;short;antique;valuable;colorful;empty
