Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,anger,intense;sudden;deep;boiling;blind;righteous;suppressed;explosive;simmering;uncontrolled
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,courage,brave;heroic;unwavering;bold;fearless;moral;quiet;sudden;inspiring;steadfast
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,fear,intense;overwhelming;sudden;irrational;deep;paralyzing;creeping;primal;hidden;constant
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,freedom,absolute;personal;hard-won;true;unlimited;basic;newfound;restricted;individual;collective
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,happiness,pure;lasting;simple;genuine;fleeting;overwhelming;quiet;shared;inner;radiant
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,hate,intense;deep-seated;blind;irrational;burning;mutual;simmering;bitter;unfounded;enduring
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,honesty,brutal;unwavering;complete;refreshing;painful;straightforward;rare;absolute;heartfelt;transparent
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,justice,swift;blind;social;poetic;true;delayed;equal;restorative;divine;impartial
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,knowledge,vast;practical;ancient;hidden;theoretical;profound;basic;specialized;shared;forbidden
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,love,unconditional;passionate;enduring;pure;forbidden;mutual;fleeting;deep;romantic;selfless
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,peace,inner;lasting;fragile;global;quiet;temporary;profound;negotiated;spiritual;absolute
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,wisdom,ancient;profound;practical;timeless;hard-earned;intuitive;worldly;innate;shared;quiet
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,bell,loud;ringing;antique;golden;small;church;alarm;decorative;broken;handheld
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,candle,flickering;scented;tall;waxen;decorative;birthday;emergency;aromatic;colored;melted
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,carpet,soft;woolen;patterned;thick;oriental;worn;colorful;synthetic;rolled;antique
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,coin,ancient;shiny;rare;gold;silver;counterfeit;foreign;minted;tarnished;valuable
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,crown,golden;royal;jeweled;ceremonial;ancient;heavy;symbolic;ornate;stolen;imperial
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,flag,national;waving;colorful;tattered;symbolic;foreign;printed;historical;faded;patriotic
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,mask,protective;decorative;theatrical;facial;mysterious;carved;disposable;ancient;colorful;hidden
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,necklace,golden;beaded;elegant;antique;pearl;simple;jeweled;handmade;long;valuable
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,painting,vibrant;abstract;detailed;famous;landscape;modern;oil;portrait;faded;impressive
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,ring,golden;engagement;antique;simple;diamond;silver;oversized;engraved;magical;broken
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,statue,towering;ancient;bronze;marble;heroic;damaged;modern;lifelike;forgotten;symbolic
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,vase,ornate;ceramic;antique;glass;decorative;broken;floral;tall;painted;fragile
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Environmental Phenomena,cloud,fluffy;dark;drifting;stormy;white;low-hanging;billowing;scattered;ominous;wispy
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Environmental Phenomena,earthquake,devastating;sudden;massive;shallow;tectonic;minor;destructive;frequent;underground;violent
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Environmental Phenomena,fog,thick;dense;morning;mysterious;rolling;coastal;chilling;persistent;light;enveloping
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Environmental Phenomena,lightning,bright;forked;sudden;electrical;distant;striking;powerful;nighttime;frequent;dangerous
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Environmental Phenomena,rain,heavy;light;steady;torrential;gentle;seasonal;cold;refreshing;persistent;warm
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Environmental Phenomena,rainbow,vibrant;colorful;fleeting;double;arched;post-storm;faint;majestic;full;hazy
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Environmental Phenomena,snow,fresh;powdery;heavy;melting;deep;fluffy;wet;seasonal;drifting;pristine
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Environmental Phenomena,storm,fierce;approaching;violent;tropical;sudden;electrical;howling;relentless;coastal;mild
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Environmental Phenomena,thunder,loud;rumbling;distant;crashing;ominous;echoing;sudden;prolonged;nighttime;faint
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Environmental Phenomena,tide,high;low;rising;ebbing;strong;coastal;predictable;turbulent;incoming;outgoing
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Environmental Phenomena,volcano,active;dormant;explosive;massive;smoking;ancient;dangerous;fiery;underwater;majestic
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Environmental Phenomena,wind,strong;gentle;howling;chilly;gusty;steady;warm;coastal;unpredictable;biting
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Food Items,apple,red;crisp;juicy;green;ripe;tart;fresh;organic;sweet;spoiled
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Food Items,banana,yellow;ripe;peeled;green;sweet;spotted;fresh;organic;curved;mushy
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Food Items,beef,tender;grilled;lean;fatty;fresh;ground;rare;organic;seasoned;tough
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Food Items,bread,fresh;sliced;warm;whole-wheat;crusty;soft;toasted;homemade;stale;artisan
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Food Items,broccoli,fresh;steamed;green;crisp;organic;frozen;tender;raw;floreted;overcooked
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Food Items,cheese,sharp;creamy;aged;soft;grated;melted;hard;flavorful;imported;mild
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Food Items,chicken,grilled;roasted;fresh;organic;boneless;fried;tender;spicy;raw;seasoned
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Food Items,egg,fresh;boiled;scrambled;large;organic;cracked;fried;brown;runny;hard-boiled
