Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,anger,intense;burning;cold;blind;deep;righteous;suppressed;sudden;seething;uncontrollable
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,courage,great;unwavering;quiet;moral;true;fierce;sheer;remarkable;calculated;blind
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,fear,great;deep;irrational;overwhelming;crippling;primal;abject;gnawing;lurking;constant
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,freedom,true;fundamental;civil;personal;economic;political;religious;basic;hard-won;limited
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,happiness,great;pure;simple;true;unadulterated;sheer;fleeting;lasting;inner;childlike
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,hate,pure;blind;intense;abiding;deep-seated;visceral;consuming;irrational;mutual;passionate
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,honesty,complete;brutal;refreshing;painful;simple;essential;unwavering;fundamental;transparent;radical
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,justice,social;criminal;economic;restorative;environmental;equal;true;blind;rough;swift
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,knowledge,vast;profound;specialized;practical;tacit;common;esoteric;acquired;working;deep
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,love,true;unconditional;passionate;enduring;deep;abiding;unrequited;first;puppy;lost
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,peace,lasting;world;inner;uneasy;fragile;negotiated;relative;superficial;armed;true
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,wisdom,great;practical;ancient;acquired;innate;conventional;traditional;profound;collective;spiritual
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,bell,loud;clear;small;church;school;dinner;warning;cow;hand;antique
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,candle,burning;wax;scented;small;tall;votive;flickering;dripping;decorative;emergency
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,carpet,oriental;Persian;wool;thick;plush;patterned;red;worn;area;expensive
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,coin,gold;silver;rare;old;valuable;ancient;foreign;lucky;counterfeit;commemorative
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,crown,gold;jeweled;royal;silver;ornate;ceremonial;ancient;bejeweled;heavy;simple
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,flag,national;red;white;blue;waving;tattered;state;battle;ceremonial;signal
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,mask,surgical;protective;theatrical;Venetian;painted;tribal;ornate;paper;anonymous;scary
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,necklace,gold;silver;pearl;diamond;beaded;long;short;delicate;statement;antique
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,painting,oil;watercolor;abstract;landscape;portrait;still;life;modern;classic;impressionistic
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,ring,gold;silver;diamond;wedding;engagement;simple;ornate;signet;mood;class
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,statue,bronze;marble;stone;tall;small;ancient;commemorative;religious;public;neoclassical
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,vase,glass;ceramic;tall;short;porcelain;antique;decorative;painted;crystal;flower
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,cloud,white;dark;grey;rain;storm;puffy;ominous;distant;scattered;gathering
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,earthquake,major;strong;devastating;powerful;recent;sudden;unexpected;violent;mild;local
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,fog,thick;dense;heavy;pea-soup;morning;evening;coastal;ground;lingering;patchy
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,lightning,bright;forked;sheet;distant;sudden;blinding;powerful;dangerous;spectacular;silent
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,rain,heavy;light;steady;torrential;acid;freezing;afternoon;gentle;continuous;sporadic
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,rainbow,bright;colorful;double;faint;arched;vibrant;fleeting;full;incomplete;spectacular
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,snow,heavy;light;falling;drifting;deep;fresh;wet;dry;powdery;first
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,storm,heavy;severe;electrical;winter;summer;approaching;passing;brewing;tropical;raging
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,thunder,loud;distant;rolling;crashing;booming;echoing;sudden;close;ominous;continuous
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,tide,high;low;spring;neap;incoming;outgoing;strong;weak;rising;falling
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,volcano,active;dormant;extinct;volcanic;erupting;smoking;large;small;shield;composite
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,wind,strong;cold;warm;gentle;light;gusty;prevailing;easterly;westerly;southerly
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Food Items,apple,red;green;crisp;sweet;juicy;fresh;ripe;sour;organic;golden
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Food Items,banana,yellow;ripe;green;fresh;sweet;small;large;overripe;organic;Cavendish
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Food Items,beef,tender;ground;roast;lean;prime;grass-fed;organic;grilled;rare;aged
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Food Items,bread,white;whole;wheat;sourdough;fresh;stale;toasted;crusty;rye;multigrain
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Food Items,broccoli,fresh;green;steamed;raw;cooked;organic;frozen;chopped;florets;tender
gemini-2.0-flash,english-monolingual,1.0,HE # Hebrew,B1,most frequent,Food Items,cheese,cheddar;Swiss;blue;hard;soft;aged;fresh;grated;melted;cream
