Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,english-monolingual,0.0,LV # Latvian,B1,most frequent,Abstract Concepts,anger,intense;burning;fierce;uncontrollable;deep;raw;sudden;bitter;suppressed;explosive
grok-3,english-monolingual,0.0,LV # Latvian,B1,most frequent,Abstract Concepts,courage,bold;fearless;brave;heroic;daring;valiant;steadfast;resolute;unwavering;gallant
grok-3,english-monolingual,0.0,LV # Latvian,B1,most frequent,Abstract Concepts,fear,overwhelming;paralyzing;deep-seated;irrational;chilling;haunting;persistent;primal;creeping;gripping
grok-3,english-monolingual,0.0,LV # Latvian,B1,most frequent,Abstract Concepts,freedom,absolute;cherished;hard-won;liberating;boundless;precious;fundamental;exhilarating;true;enduring
grok-3,english-monolingual,0.0,LV # Latvian,B1,most frequent,Abstract Concepts,happiness,pure;radiant;infectious;genuine;lasting;immense;simple;unexpected;blissful;profound
grok-3,english-monolingual,0.0,LV # Latvian,B1,most frequent,Abstract Concepts,hate,venomous;intense;bitter;deep-rooted;consuming;blind;relentless;toxic;fiery;unspoken
grok-3,english-monolingual,0.0,LV # Latvian,B1,most frequent,Abstract Concepts,honesty,brutal;refreshing;unwavering;sincere;absolute;transparent;admirable;rare;steadfast;unyielding
grok-3,english-monolingual,0.0,LV # Latvian,B1,most frequent,Abstract Concepts,justice,fair;impartial;righteous;overdue;swift;blind;hard-fought;moral;equitable;deserved
grok-3,english-monolingual,0.0,LV # Latvian,B1,most frequent,Abstract Concepts,knowledge,vast;deep;profound;extensive;practical;theoretical;hidden;ancient;specialized;invaluable
grok-3,english-monolingual,0.0,LV # Latvian,B1,most frequent,Abstract Concepts,love,unconditional;passionate;tender;eternal;selfless;romantic;enduring;fierce;gentle;devoted
grok-3,english-monolingual,0.0,LV # Latvian,B1,most frequent,Abstract Concepts,peace,serene;lasting;fragile;inner;quiet;harmonious;elusive;profound;calming;sacred
grok-3,english-monolingual,0.0,LV # Latvian,B1,most frequent,Abstract Concepts,wisdom,timeless;profound;hard-earned;insightful;ancient;practical;deep;quiet;guiding;enlightened
