Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,basic,2.0,KO # Korean,B1,most frequent,Abstract Concepts,anger,bad;big;strong;new;hot;real;true;like;more;very
gemini-2.0-flash,basic,2.0,KO # Korean,B1,most frequent,Abstract Concepts,courage,strong;good;more;great;much;true;new;brave;real;important
gemini-2.0-flash,basic,2.0,KO # Korean,B1,most frequent,Abstract Concepts,fear,big;bad;strong;like;more;much;great;real;new;hard
gemini-2.0-flash,basic,2.0,KO # Korean,B1,most frequent,Abstract Concepts,freedom,great;much;important;good;real;new;like;more;true;special
gemini-2.0-flash,basic,2.0,KO # Korean,B1,most frequent,Abstract Concepts,happiness,much;great;more;good;real;new;big;like;strong;important
gemini-2.0-flash,basic,2.0,KO # Korean,B1,most frequent,Abstract Concepts,hate,big;much;more;like;bad;strong;new;hard;real;important
gemini-2.0-flash,basic,2.0,KO # Korean,B1,most frequent,Abstract Concepts,honesty,great;much;more;good;important;true;real;strong;like;hard
gemini-2.0-flash,basic,2.0,KO # Korean,B1,most frequent,Abstract Concepts,justice,great;much;more;important;good;true;new;strong;hard;real
gemini-2.0-flash,basic,2.0,KO # Korean,B1,most frequent,Abstract Concepts,knowledge,great;much;more;important;good;new;big;like;true;special
gemini-2.0-flash,basic,2.0,KO # Korean,B1,most frequent,Abstract Concepts,love,big;much;more;good;great;real;like;true;new;special
gemini-2.0-flash,basic,2.0,KO # Korean,B1,most frequent,Abstract Concepts,peace,great;much;good;real;new;big;important;like;more;strong
gemini-2.0-flash,basic,2.0,KO # Korean,B1,most frequent,Abstract Concepts,wisdom,great;much;good;more;important;true;new;real;like;hard
gemini-2.0-flash,basic,2.0,KO # Korean,B1,most frequent,Cultural Artifacts,bell,big;small;new;old;good;metal;like;red;beautiful;strong
gemini-2.0-flash,basic,2.0,KO # Korean,B1,most frequent,Cultural Artifacts,candle,new;small;big;white;red;old;long;like;good;hot
gemini-2.0-flash,basic,2.0,KO # Korean,B1,most frequent,Cultural Artifacts,carpet,new;big;small;red;good;long;like;soft;old;clean
gemini-2.0-flash,basic,2.0,KO # Korean,B1,most frequent,Cultural Artifacts,coin,old;small;new;gold;metal;silver;round;like;big;good
gemini-2.0-flash,basic,2.0,KO # Korean,B1,most frequent,Cultural Artifacts,crown,gold;new;big;small;old;like;important;beautiful;strong;good
gemini-2.0-flash,basic,2.0,KO # Korean,B1,most frequent,Cultural Artifacts,flag,new;big;small;red;white;good;long;like;blue;important
gemini-2.0-flash,basic,2.0,KO # Korean,B1,most frequent,Cultural Artifacts,mask,new;small;big;white;black;old;like;good;strange;red
gemini-2.0-flash,basic,2.0,KO # Korean,B1,most frequent,Cultural Artifacts,necklace,new;gold;silver;small;long;beautiful;like;big;old;good
gemini-2.0-flash,basic,2.0,KO # Korean,B1,most frequent,Cultural Artifacts,painting,new;big;small;good;beautiful;old;like;red;blue;hard
gemini-2.0-flash,basic,2.0,KO # Korean,B1,most frequent,Cultural Artifacts,ring,gold;small;new;silver;old;good;beautiful;like;big;round
gemini-2.0-flash,basic,2.0,KO # Korean,B1,most frequent,Cultural Artifacts,statue,new;big;small;old;good;beautiful;white;hard;like;great
gemini-2.0-flash,basic,2.0,KO # Korean,B1,most frequent,Cultural Artifacts,vase,new;big;small;good;beautiful;old;like;glass;white;red
gemini-2.0-flash,basic,2.0,KO # Korean,B1,most frequent,Environmental Phenomena,cloud,big;white;grey;small;black;high;like;new;many;low
gemini-2.0-flash,basic,2.0,KO # Korean,B1,most frequent,Environmental Phenomena,earthquake,big;strong;new;bad;many;great;like;small;real;dangerous
gemini-2.0-flash,basic,2.0,KO # Korean,B1,most frequent,Environmental Phenomena,fog,big;thick;white;grey;new;like;small;much;bad;cold
