Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Abstract Concepts,anger,big;bad;hot;strong;much;new;real;other;same;different
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Abstract Concepts,courage,big;strong;much;real;other;same;good;new;little;important
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Abstract Concepts,fear,big;much;strong;real;other;same;new;little;bad;good
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Abstract Concepts,freedom,big;much;real;other;same;new;good;little;important;different
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Abstract Concepts,happiness,big;much;real;other;same;new;good;little;important;different
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Abstract Concepts,hate,big;much;strong;real;other;same;new;little;bad;good
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Abstract Concepts,honesty,big;much;real;other;same;new;good;little;important;different
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Abstract Concepts,justice,big;much;real;other;same;new;good;little;important;different
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Abstract Concepts,knowledge,big;much;real;other;same;new;good;little;important;different
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Abstract Concepts,love,big;much;real;other;same;new;good;little;important;different
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Abstract Concepts,peace,big;much;real;other;same;new;good;little;important;different
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Abstract Concepts,wisdom,big;much;real;other;same;new;good;little;important;different
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Cultural Artifacts,bell,big;small;new;old;good;bad;other;same;different;metal
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Cultural Artifacts,candle,big;small;new;old;good;bad;other;same;different;white
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Cultural Artifacts,carpet,big;small;new;old;good;bad;other;same;different;red
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Cultural Artifacts,coin,big;small;new;old;good;bad;other;same;different;gold
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Cultural Artifacts,crown,big;small;new;old;good;bad;other;same;different;gold
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Cultural Artifacts,flag,big;small;new;old;good;bad;other;same;different;red
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Cultural Artifacts,mask,big;small;new;old;good;bad;other;same;different;white
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Cultural Artifacts,necklace,big;small;new;old;good;bad;other;same;different;gold
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Cultural Artifacts,painting,big;small;new;old;good;bad;other;same;different;beautiful
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Cultural Artifacts,ring,big;small;new;old;good;bad;other;same;different;gold
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Cultural Artifacts,statue,big;small;new;old;good;bad;other;same;different;white
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Cultural Artifacts,vase,big;small;new;old;good;bad;other;same;different;glass
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Environmental Phenomena,cloud,big;small;new;old;good;bad;other;same;different;white
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Environmental Phenomena,earthquake,big;small;new;old;good;bad;other;same;different;strong
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Environmental Phenomena,fog,big;small;new;old;good;bad;other;same;different;white
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Environmental Phenomena,lightning,big;small;new;old;good;bad;other;same;different;strong
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Environmental Phenomena,rain,big;small;new;old;good;bad;other;same;different;much
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Environmental Phenomena,rainbow,big;small;new;old;good;bad;other;same;different;beautiful
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Environmental Phenomena,snow,big;small;new;old;good;bad;other;same;different;white
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Environmental Phenomena,storm,big;small;new;old;good;bad;other;same;different;strong
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Environmental Phenomena,thunder,big;small;new;old;good;bad;other;same;different;strong
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Environmental Phenomena,tide,big;small;new;old;good;bad;other;same;different;strong
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Environmental Phenomena,volcano,big;small;new;old;good;bad;other;same;different;strong
gemini-2.0-flash,think-in-native,0.0,HI # Hindi,B1,most frequent,Environmental Phenomena,wind,big;small;new;old;good;bad;other;same;different;strong
