Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,think-in-native,1.0,HI # Hindi,B1,most frequent,Abstract Concepts,anger,strong;deep;sudden;fierce;burning;wild;bitter;intense;hot;dark
grok-3,think-in-native,1.0,HI # Hindi,B1,most frequent,Abstract Concepts,courage,brave;bold;fearless;strong;great;true;amazing;heroic;powerful;real
grok-3,think-in-native,1.0,HI # Hindi,B1,most frequent,Abstract Concepts,fear,deep;dark;cold;big;hidden;terrible;silent;heavy;sharp;growing
grok-3,think-in-native,1.0,HI # Hindi,B1,most frequent,Abstract Concepts,freedom,true;pure;sweet;complete;full;happy;new;precious;bright;open
grok-3,think-in-native,1.0,HI # Hindi,B1,most frequent,Abstract Concepts,happiness,pure;real;bright;warm;deep;simple;sweet;true;endless;joyful
grok-3,think-in-native,1.0,HI # Hindi,B1,most frequent,Abstract Concepts,hate,strong;deep;bitter;dark;cold;fierce;hidden;burning;wild;painful
grok-3,think-in-native,1.0,HI # Hindi,B1,most frequent,Abstract Concepts,honesty,true;pure;clear;real;strong;simple;bright;deep;open;good
grok-3,think-in-native,1.0,HI # Hindi,B1,most frequent,Abstract Concepts,justice,fair;true;strong;clear;pure;right;honest;equal;firm;powerful
grok-3,think-in-native,1.0,HI # Hindi,B1,most frequent,Abstract Concepts,knowledge,deep;wide;great;useful;true;clear;vast;important;powerful;rich
grok-3,think-in-native,1.0,HI # Hindi,B1,most frequent,Abstract Concepts,love,true;deep;sweet;warm;pure;strong;endless;beautiful;soft;caring
grok-3,think-in-native,1.0,HI # Hindi,B1,most frequent,Abstract Concepts,peace,calm;quiet;sweet;deep;true;pure;soft;gentle;lasting;serene
grok-3,think-in-native,1.0,HI # Hindi,B1,most frequent,Abstract Concepts,wisdom,deep;great;true;clear;old;powerful;calm;pure;bright;strong
grok-3,think-in-native,1.0,HI # Hindi,B1,most frequent,Cultural Artifacts,bell,loud;clear;small;shiny;old;golden;heavy;sweet;bright;ringing
grok-3,think-in-native,1.0,HI # Hindi,B1,most frequent,Cultural Artifacts,candle,small;bright;warm;soft;white;glowing;tiny;beautiful;flickering;melting
grok-3,think-in-native,1.0,HI # Hindi,B1,most frequent,Cultural Artifacts,carpet,soft;thick;colorful;warm;big;old;clean;beautiful;smooth;patterned
grok-3,think-in-native,1.0,HI # Hindi,B1,most frequent,Cultural Artifacts,coin,old;shiny;small;round;heavy;silver;golden;rare;dirty;worn
grok-3,think-in-native,1.0,HI # Hindi,B1,most frequent,Cultural Artifacts,crown,golden;heavy;shiny;beautiful;royal;old;precious;grand;sparkling;powerful
grok-3,think-in-native,1.0,HI # Hindi,B1,most frequent,Cultural Artifacts,flag,colorful;proud;national;big;bright;waving;strong;bold;torn;flying
grok-3,think-in-native,1.0,HI # Hindi,B1,most frequent,Cultural Artifacts,mask,scary;funny;colorful;mysterious;old;wooden;painted;strange;dark;hidden
grok-3,think-in-native,1.0,HI # Hindi,B1,most frequent,Cultural Artifacts,necklace,beautiful;shiny;long;golden;expensive;delicate;silver;heavy;sparkling;elegant
grok-3,think-in-native,1.0,HI # Hindi,B1,most frequent,Cultural Artifacts,painting,beautiful;old;colorful;famous;big;detailed;bright;amazing;unique;artistic
