Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,anger,strong;intense;sudden;deep;blind;raw;quiet;explosive;repressed;controlled
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,courage,brave;great;true;bold;fearless;heroic;quiet;sudden;personal;strong
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,fear,big;dark;sudden;deep;cold;real;hidden;strong;intense;quick
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,freedom,great;true;full;new;personal;strong;quiet;big;real;open
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,happiness,great;true;big;warm;simple;deep;sudden;real;quiet;full
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,hate,strong;deep;blind;intense;cold;real;sudden;quiet;raw;bitter
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,honesty,true;simple;real;strong;quiet;full;deep;great;personal;clear
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,justice,fair;true;strong;quick;real;great;blind;deep;full;simple
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,knowledge,great;deep;wide;real;simple;strong;new;full;quiet;true
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,love,great;true;deep;strong;pure;warm;real;quiet;big;sudden
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,peace,quiet;full;true;deep;warm;real;strong;simple;great;new
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,wisdom,great;deep;old;true;simple;strong;quiet;real;full;clear
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,bell,big;small;old;loud;clear;shiny;metal;simple;round;broken
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,candle,small;tall;white;warm;simple;old;bright;soft;round;colored
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,carpet,big;soft;old;colorful;warm;thick;clean;simple;red;new
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,coin,small;old;shiny;metal;round;gold;rare;heavy;simple;dirty
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,crown,big;gold;old;shiny;royal;heavy;simple;beautiful;red;new
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,flag,big;colorful;old;national;simple;red;blue;white;high;strong
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,mask,small;black;old;simple;scary;funny;plastic;colorful;tight;new
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,necklace,beautiful;gold;small;shiny;simple;long;old;colorful;heavy;cheap
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,painting,beautiful;old;big;colorful;simple;famous;new;dark;bright;small
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,ring,small;gold;shiny;simple;old;beautiful;cheap;big;colorful;heavy
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,statue,big;old;stone;tall;simple;famous;new;broken;beautiful;strong
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,vase,big;old;beautiful;simple;colorful;glass;broken;tall;small;new
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,cloud,white;big;soft;dark;high;light;gray;fluffy;fast;low
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,earthquake,strong;big;sudden;deep;dangerous;real;long;scary;rare;powerful
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,fog,thick;white;cold;heavy;dark;wet;low;quiet;early;dense
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,lightning,bright;fast;dangerous;sudden;white;strong;scary;rare;hot;long
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,rain,heavy;cold;light;wet;long;sudden;soft;hard;warm;steady
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,rainbow,beautiful;colorful;bright;big;rare;clear;high;simple;wet;full
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;deep;light;wet;fresh;heavy;pure;quiet
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,storm,strong;big;dangerous;wet;loud;fast;dark;sudden;cold;long
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,thunder,loud;strong;sudden;scary;deep;long;real;big;rare;distant
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,tide,high;low;strong;fast;cold;big;wet;quiet;daily;powerful
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,volcano,big;active;dangerous;hot;old;tall;rare;deep;strong;black
