Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Abstract Concepts,anger,big;bad;hot;new;old;same;good;more;much;little
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Abstract Concepts,courage,big;new;old;same;good;more;much;little;real;strong
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Abstract Concepts,fear,big;bad;hot;new;old;same;good;more;much;little
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Abstract Concepts,freedom,big;new;old;same;good;more;much;little;real;important
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Abstract Concepts,happiness,big;new;old;same;good;more;much;little;real;important
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Abstract Concepts,hate,big;bad;hot;new;old;same;good;more;much;little
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Abstract Concepts,honesty,big;new;old;same;good;more;much;little;real;important
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Abstract Concepts,justice,big;new;old;same;good;more;much;little;real;important
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Abstract Concepts,knowledge,big;new;old;same;good;more;much;little;real;important
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Abstract Concepts,love,big;new;old;same;good;more;much;little;real;strong
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Abstract Concepts,peace,big;new;old;same;good;more;much;little;real;important
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Abstract Concepts,wisdom,big;new;old;same;good;more;much;little;real;important
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,bell,big;new;old;same;good;more;much;little;real;small
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,candle,big;new;old;same;good;more;much;little;real;small
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,carpet,big;new;old;same;good;more;much;little;real;small
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,coin,big;new;old;same;good;more;much;little;real;small
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,crown,big;new;old;same;good;more;much;little;real;gold
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,flag,big;new;old;same;good;more;much;little;real;small
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,mask,big;new;old;same;good;more;much;little;real;small
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,necklace,big;new;old;same;good;more;much;little;real;gold
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,painting,big;new;old;same;good;more;much;little;real;small
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,ring,big;new;old;same;good;more;much;little;real;gold
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,statue,big;new;old;same;good;more;much;little;real;small
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Cultural Artifacts,vase,big;new;old;same;good;more;much;little;real;small
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,cloud,big;new;old;same;good;more;much;little;real;white
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,earthquake,big;new;old;same;good;more;much;little;bad;strong
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,fog,big;new;old;same;good;more;much;little;real;white
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,lightning,big;new;old;same;good;more;much;little;bad;strong
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,rain,big;new;old;same;good;more;much;little;real;strong
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,rainbow,big;new;old;same;good;more;much;little;real;nice
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,snow,big;new;old;same;good;more;much;little;real;white
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,storm,big;new;old;same;good;more;much;little;bad;strong
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,thunder,big;new;old;same;good;more;much;little;bad;strong
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,tide,big;new;old;same;good;more;much;little;real;high
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,volcano,big;new;old;same;good;more;much;little;bad;strong
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Environmental Phenomena,wind,big;new;old;same;good;more;much;little;real;strong
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Food Items,apple,big;new;old;same;good;more;much;little;red;green
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Food Items,banana,big;new;old;same;good;more;much;little;yellow;sweet
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Food Items,beef,big;new;old;same;good;more;much;little;red;nice
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Food Items,bread,big;new;old;same;good;more;much;little;white;brown
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Food Items,broccoli,big;new;old;same;good;more;much;little;green;nice
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Food Items,cheese,big;new;old;same;good;more;much;little;yellow;white
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Food Items,chicken,big;new;old;same;good;more;much;little;white;nice
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Food Items,egg,big;new;old;same;good;more;much;little;white;brown
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Food Items,fish,big;new;old;same;good;more;much;little;real;nice
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Food Items,pasta,big;new;old;same;good;more;much;little;white;nice
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Food Items,rice,big;new;old;same;good;more;much;little;white;nice
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Food Items,soup,big;new;old;same;good;more;much;little;hot;nice
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Human Roles,artist,big;new;old;same;good;more;much;little;real;important
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Human Roles,athlete,big;new;old;same;good;more;much;little;real;strong
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Human Roles,chef,big;new;old;same;good;more;much;little;real;important
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Human Roles,doctor,big;new;old;same;good;more;much;little;real;important
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Human Roles,engineer,big;new;old;same;good;more;much;little;real;important
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Human Roles,farmer,big;new;old;same;good;more;much;little;real;important
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Human Roles,lawyer,big;new;old;same;good;more;much;little;real;important
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Human Roles,musician,big;new;old;same;good;more;much;little;real;important
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Human Roles,scientist,big;new;old;same;good;more;much;little;real;important
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Human Roles,soldier,big;new;old;same;good;more;much;little;real;strong
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Human Roles,teacher,big;new;old;same;good;more;much;little;real;important
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Human Roles,writer,big;new;old;same;good;more;much;little;real;important
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Inanimate Objects,book,big;new;old;same;good;more;much;little;real;small
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Inanimate Objects,bridge,big;new;old;same;good;more;much;little;real;small
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Inanimate Objects,drums,big;new;old;same;good;more;much;little;real;small
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Inanimate Objects,earth,big;new;old;same;good;more;much;little;real;small
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Inanimate Objects,flute,big;new;old;same;good;more;much;little;real;small
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Inanimate Objects,key,big;new;old;same;good;more;much;little;real;small
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Inanimate Objects,knife,big;new;old;same;good;more;much;little;real;sharp
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Inanimate Objects,lock,big;new;old;same;good;more;much;little;real;small
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Inanimate Objects,moon,big;new;old;same;good;more;much;little;real;white
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Inanimate Objects,pen,big;new;old;same;good;more;much;little;real;small
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Inanimate Objects,sun,big;new;old;same;good;more;much;little;real;hot
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Inanimate Objects,sword,big;new;old;same;good;more;much;little;real;sharp
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Neutral Animals,cat,big;new;old;same;good;more;much;little;small;nice
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Neutral Animals,dog,big;new;old;same;good;more;much;little;small;nice
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Neutral Animals,dolphin,big;new;old;same;good;more;much;little;real;nice
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Neutral Animals,elephant,big;new;old;same;good;more;much;little;real
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Neutral Animals,hamster,big;new;old;same;good;more;much;little;small;nice
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Neutral Animals,monkey,big;new;old;same;good;more;much;little;real;nice
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Neutral Animals,mouse,big;new;old;same;good;more;much;little;small;nice
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Neutral Animals,peacock,big;new;old;same;good;more;much;little;nice;real
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Neutral Animals,rabbit,big;new;old;same;good;more;much;little;small;nice
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Neutral Animals,shark,big;new;old;same;good;more;much;little;real;bad
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Neutral Animals,snake,big;new;old;same;good;more;much;little;real;bad
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Neutral Animals,whale,big;new;old;same;good;more;much;little;real
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Places,city,big;new;old;same;good;more;much;little;real;important
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Places,desert,big;new;old;same;good;more;much;little;real;hot
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Places,forest,big;new;old;same;good;more;much;little;real;green
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Places,island,big;new;old;same;good;more;much;little;real;small
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Places,lake,big;new;old;same;good;more;much;little;real;blue
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Places,mountain,big;new;old;same;good;more;much;little;real;high
gemini-2.0-flash,think-in-native,1.0,GA # Irish,B1,most frequent,Places,ocean,big;new;old;same;good;more;much;little;real;blue
