Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Abstract Concepts,anger,strong;deep;sudden;hot;blind;great;mild;raw;suppressed;explosive
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Abstract Concepts,courage,brave;big;good;true;bold;quiet;foolish;real;fast;slow
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Abstract Concepts,fear,great;sudden;deep;cold;dark;strong;quick;bad;old;new
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Abstract Concepts,freedom,big;true;full;new;easy;hard;good;bad;real;long
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Abstract Concepts,happiness,great;full;simple;strong;quick;short;good;bad;real;warm
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Abstract Concepts,hate,strong;deep;blind;great;cold;raw;bad;quick;long;dark
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Abstract Concepts,honesty,true;good;full;simple;real;big;strong;easy;hard;clear
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Abstract Concepts,justice,fair;true;good;full;strong;quick;slow;real;new;old
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Abstract Concepts,knowledge,great;deep;wide;useful;new;old;good;bad;real;simple
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Abstract Concepts,love,strong;deep;true;great;warm;blind;good;real;new;old
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Abstract Concepts,peace,quiet;full;true;good;long;short;real;new;old;warm
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Abstract Concepts,wisdom,great;deep;old;simple;clear;good;bad;real;new;strong
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;soft;shiny;broken;metal;round
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Cultural Artifacts,candle,small;long;bright;warm;colored;old;new;simple;cheap;scented
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Cultural Artifacts,carpet,big;soft;old;new;colored;thick;thin;dirty;clean;warm
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Cultural Artifacts,coin,small;old;new;shiny;metal;round;heavy;light;rare;common
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Cultural Artifacts,crown,big;old;new;gold;shiny;heavy;beautiful;royal;simple;broken
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Cultural Artifacts,flag,big;old;new;colored;national;high;low;clean;dirty;simple
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Cultural Artifacts,mask,small;old;new;colored;funny;scary;protective;cheap;light;heavy
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Cultural Artifacts,necklace,small;old;new;shiny;beautiful;cheap;heavy;light;gold;simple
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Cultural Artifacts,painting,big;old;new;beautiful;colorful;simple;famous;dark;light;broken
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Cultural Artifacts,ring,small;old;new;shiny;gold;simple;heavy;light;broken;cheap
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Cultural Artifacts,statue,big;old;new;stone;tall;broken;beautiful;famous;simple;heavy
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;beautiful;colored;broken;cheap;simple;glass
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Environmental Phenomena,cloud,big;white;dark;high;low;fast;slow;cold;wet;light
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Environmental Phenomena,earthquake,strong;big;sudden;dangerous;deep;rare;old;new;bad;quick
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Environmental Phenomena,fog,thick;white;cold;heavy;low;wet;early;late;bad;quiet
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Environmental Phenomena,lightning,fast;bright;dangerous;sudden;strong;rare;old;new;hot;wild
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;warm;long;short;bad;good;wet;quiet
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Environmental Phenomena,rainbow,beautiful;colorful;bright;big;small;rare;clear;wet;high;low
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Environmental Phenomena,snow,white;cold;deep;soft;heavy;light;wet;dry;fresh;old
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Environmental Phenomena,storm,strong;big;wild;dangerous;sudden;long;short;wet;cold;hot
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Environmental Phenomena,thunder,loud;strong;sudden;deep;scary;rare;old;new;bad;quick
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Environmental Phenomena,tide,high;low;strong;fast;slow;wet;cold;warm;big;small
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Environmental Phenomena,volcano,big;active;dangerous;hot;old;new;high;low;wild;rare
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Environmental Phenomena,wind,strong;cold;hot;fast;slow;wild;quiet;dry;wet;light
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Food Items,apple,red;green;big;small;sweet;fresh;old;new;juicy;hard
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Food Items,banana,yellow;long;big;small;sweet;fresh;old;new;soft;ripe
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Food Items,beef,fresh;cooked;big;small;red;tough;soft;cheap;good;bad
grok-3-mini,basic,1.0,DE # German,B1,most frequent,Food Items,bread,fresh;old;soft;hard;white;brown;big;small;cheap;good
