Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,english-monolingual,0.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,anger,intense;burning;fierce;uncontrollable;deep;raw;sudden;bitter;suppressed;explosive
grok-3,english-monolingual,0.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,courage,bold;fearless;brave;heroic;daring;valiant;resolute;steadfast;unwavering;gallant
grok-3,english-monolingual,0.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,fear,overwhelming;paralyzing;chilling;deep-seated;irrational;haunting;gripping;primal;lingering;acute
grok-3,english-monolingual,0.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,freedom,absolute;cherished;hard-won;liberating;boundless;precious;fundamental;true;personal;enduring
grok-3,english-monolingual,0.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,happiness,pure;radiant;boundless;infectious;genuine;lasting;simple;profound;unexpected;blissful
grok-3,english-monolingual,0.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,hate,intense;venomous;bitter;deep-rooted;consuming;blind;relentless;toxic;unspoken;fierce
grok-3,english-monolingual,0.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,honesty,brutal;refreshing;unwavering;sincere;absolute;raw;admirable;rare;consistent;unyielding
grok-3,english-monolingual,0.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,justice,fair;impartial;swift;righteous;blind;hard-fought;overdue;moral;equitable;deserved
grok-3,english-monolingual,0.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,knowledge,vast;deep;profound;extensive;practical;theoretical;specialized;invaluable;ancient;newfound
grok-3,english-monolingual,0.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,love,unconditional;passionate;tender;eternal;selfless;romantic;enduring;deep;true;devoted
grok-3,english-monolingual,0.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,peace,serene;lasting;fragile;inner;global;quiet;harmonious;elusive;calming;sacred
grok-3,english-monolingual,0.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,wisdom,timeless;profound;practical;hard-earned;ancient;insightful;quiet;guiding;deep;thoughtful
grok-3,english-monolingual,0.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,bell,loud;clear;resonant;melodic;antique;brass;tiny;ceremonial;haunting;cheerful
grok-3,english-monolingual,0.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,candle,flickering;warm;scented;delicate;glowing;tall;handmade;romantic;soft;calming
grok-3,english-monolingual,0.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,carpet,plush;soft;colorful;worn;thick;patterned;luxurious;oriental;dusty;cozy
grok-3,english-monolingual,0.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,coin,shiny;old;rare;silver;gold;worn;commemorative;small;valuable;ancient
grok-3,english-monolingual,0.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,crown,golden;jeweled;regal;heavy;ornate;royal;ancient;symbolic;majestic;ceremonial
grok-3,english-monolingual,0.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,flag,national;tattered;proud;colorful;waving;historic;symbolic;bold;iconic;vibrant
grok-3,english-monolingual,0.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,mask,mysterious;eerie;colorful;intricate;tribal;hidden;ceremonial;frightening;decorative;anonymous
