Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
o3-mini,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,anger,strong;deep;hot;wild;sudden;loud;bitter;raw;fierce;heavy
o3-mini,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,courage,brave;strong;bold;real;firm;true;clear;calm;steady;noble
o3-mini,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,fear,deep;dark;high;strong;cold;sudden;wild;big;clear;sharp
o3-mini,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,freedom,free;open;clear;true;full;bright;wide;pure;safe;strong
o3-mini,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,happiness,warm;bright;clear;pure;deep;strong;calm;good;nice;true
o3-mini,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,hate,strong;deep;cold;bitter;pure;raw;heavy;wild;bad;sharp
o3-mini,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,honesty,true;clear;pure;real;good;fair;open;simple;plain;noble
o3-mini,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,justice,fair;pure;true;clear;strong;open;good;real;solid;kind
o3-mini,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,knowledge,deep;broad;clear;true;pure;high;good;real;wide;strong
o3-mini,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,love,deep;true;pure;strong;real;warm;bright;kind;calm;good
o3-mini,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,peace,calm;deep;quiet;clear;pure;still;nice;good;true;bright
o3-mini,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,wisdom,deep;great;old;true;pure;clear;strong;high;good;calm
o3-mini,basic,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,bell,loud;clear;small;round;metal;old;high;sharp;bright;heavy
o3-mini,basic,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,candle,small;bright;clear;soft;pure;warm;old;round;light;safe
o3-mini,basic,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,carpet,soft;warm;bright;thick;long;fine;clean;small;new;red
o3-mini,basic,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,coin,small;round;old;bright;hard;clean;shiny;pure;real;clear
o3-mini,basic,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,crown,gold;bright;fine;strong;clear;old;true;heavy;royal;great
