Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,think-in-native,1.0,FR # French,B1,most frequent,Abstract Concepts,anger,strong;deep;hot;quick;fierce;wild;bitter;sudden;dark;heavy
grok-3,think-in-native,1.0,FR # French,B1,most frequent,Abstract Concepts,courage,great;bold;true;brave;real;strong;pure;high;fearless;solid
grok-3,think-in-native,1.0,FR # French,B1,most frequent,Abstract Concepts,fear,big;deep;cold;dark;strong;sudden;terrible;sharp;hidden;silent
grok-3,think-in-native,1.0,FR # French,B1,most frequent,Abstract Concepts,freedom,true;full;real;new;great;pure;open;wide;sweet;hard
grok-3,think-in-native,1.0,FR # French,B1,most frequent,Abstract Concepts,happiness,pure;bright;warm;big;true;simple;deep;real;sweet;light
grok-3,think-in-native,1.0,FR # French,B1,most frequent,Abstract Concepts,hate,strong;deep;cold;dark;bitter;fierce;heavy;blind;wild;sharp
grok-3,think-in-native,1.0,FR # French,B1,most frequent,Abstract Concepts,honesty,true;pure;real;clear;strong;full;simple;open;good;firm
grok-3,think-in-native,1.0,FR # French,B1,most frequent,Abstract Concepts,justice,fair;true;strong;clear;real;pure;hard;strict;equal;high
grok-3,think-in-native,1.0,FR # French,B1,most frequent,Abstract Concepts,knowledge,deep;wide;great;useful;strong;clear;real;vast;rich;important
grok-3,think-in-native,1.0,FR # French,B1,most frequent,Abstract Concepts,love,true;deep;warm;sweet;strong;pure;real;soft;kind;endless
grok-3,think-in-native,1.0,FR # French,B1,most frequent,Abstract Concepts,peace,calm;quiet;true;deep;real;pure;gentle;sweet;lasting;soft
grok-3,think-in-native,1.0,FR # French,B1,most frequent,Abstract Concepts,wisdom,deep;great;true;clear;strong;old;real;pure;quiet;rare
grok-3,think-in-native,1.0,FR # French,B1,most frequent,Cultural Artifacts,bell,loud;clear;small;old;shiny;golden;heavy;bright;sweet;ringing
grok-3,think-in-native,1.0,FR # French,B1,most frequent,Cultural Artifacts,candle,small;bright;warm;soft;white;old;thin;glowing;quiet;simple
grok-3,think-in-native,1.0,FR # French,B1,most frequent,Cultural Artifacts,carpet,soft;thick;red;old;warm;big;clean;colorful;heavy;nice
grok-3,think-in-native,1.0,FR # French,B1,most frequent,Cultural Artifacts,coin,old;small;shiny;silver;gold;round;heavy;rare;dirty;worn
grok-3,think-in-native,1.0,FR # French,B1,most frequent,Cultural Artifacts,crown,golden;heavy;shiny;old;royal;beautiful;rich;big;precious;grand
grok-3,think-in-native,1.0,FR # French,B1,most frequent,Cultural Artifacts,flag,red;white;blue;old;big;torn;proud;bright;national;waving
grok-3,think-in-native,1.0,FR # French,B1,most frequent,Cultural Artifacts,mask,black;white;scary;old;strange;funny;wooden;colorful;hidden;dark
