Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,anger,strong;deep;hot;wild;quick;red;fierce;bitter;sudden;dark
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,courage,great;brave;bold;true;big;real;quiet;inner;pure;amazing
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,fear,cold;deep;sharp;hidden;strong;dark;sudden;big;silent;heavy
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,freedom,true;full;sweet;new;hard;bright;long;dear;open;wide
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,happiness,pure;warm;bright;deep;simple;true;big;sweet;real;soft
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,hate,strong;deep;cold;dark;bitter;hard;fierce;hidden;wild;heavy
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,honesty,true;clear;pure;simple;real;strong;bright;deep;open;good
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,justice,fair;true;strong;clear;right;hard;real;pure;deep;bold
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,knowledge,deep;wide;great;useful;clear;new;big;old;strong;rich
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,love,true;deep;warm;sweet;strong;pure;soft;real;bright;endless
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,peace,quiet;calm;sweet;true;deep;soft;long;real;warm;gentle
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,wisdom,deep;great;old;true;clear;quiet;strong;pure;wide;bright
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,bell,loud;clear;small;old;shiny;golden;heavy;sweet;bright;round
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,candle,small;bright;warm;soft;white;tall;old;red;glowing;quiet
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,carpet,soft;warm;thick;red;old;big;clean;colorful;heavy;nice
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,coin,old;shiny;small;round;silver;golden;heavy;rare;dirty;bright
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,crown,golden;shiny;heavy;old;royal;big;beautiful;red;grand;rich
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,flag,bright;red;national;old;big;white;blue;proud;tall;waving
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,mask,black;scary;old;white;funny;strange;dark;wooden;small;hidden
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,necklace,shiny;golden;silver;long;beautiful;expensive;old;red;small;delicate
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,painting,old;beautiful;colorful;big;famous;dark;bright;small;lovely;strange
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,ring,golden;small;shiny;silver;expensive;old;beautiful;round;bright;simple
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,statue,old;tall;stone;big;white;famous;heavy;cold;grand;beautiful
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,vase,old;tall;glass;small;white;beautiful;red;delicate;empty;shiny
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,cloud,white;fluffy;big;dark;gray;soft;high;thick;light;moving
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,earthquake,strong;sudden;scary;big;dangerous;loud;terrible;fast;heavy;wild
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,fog,thick;gray;cold;heavy;dark;wet;silent;deep;mysterious;early
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,lightning,bright;fast;loud;sharp;white;dangerous;sudden;wild;scary;strong
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;soft;wet;gray;long;sudden;gentle;dark
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,rainbow,colorful;bright;beautiful;rare;big;clear;lovely;happy;magical;wide
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;heavy;light;thick;quiet;beautiful;wet;falling
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,storm,strong;loud;dark;wild;scary;heavy;fast;dangerous;cold;big
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,thunder,loud;deep;strong;scary;sudden;dark;heavy;wild;sharp;distant
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,tide,high;low;strong;fast;big;dangerous;cold;wet;dark;powerful
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,volcano,hot;big;dangerous;active;dark;tall;red;scary;old;loud
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,wind,strong;cold;fast;light;warm;loud;soft;wild;sharp;gentle
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Food Items,apple,red;sweet;round;fresh;green;small;juicy;hard;shiny;tasty
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Food Items,banana,yellow;sweet;long;soft;fresh;ripe;small;tasty;curved;healthy
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Food Items,beef,red;fresh;tender;tough;raw;cooked;juicy;thick;expensive;dark
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Food Items,bread,soft;fresh;white;brown;warm;hard;tasty;old;thick;crusty
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Food Items,broccoli,green;fresh;healthy;small;hard;tasty;raw;cooked;bitter;bright
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Food Items,cheese,yellow;soft;hard;white;strong;tasty;old;creamy;melted;rich
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Food Items,chicken,white;tender;juicy;cooked;raw;fresh;tasty;soft;hot;roasted
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Food Items,egg,white;small;fresh;hard;soft;yellow;boiled;fried;round;fragile
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Food Items,fish,fresh;silver;small;big;tasty;raw;cooked;wet;shiny;cold
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Food Items,pasta,soft;long;yellow;tasty;hot;fresh;simple;thick;creamy;boiled
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Food Items,rice,white;soft;sticky;long;short;tasty;hot;fresh;simple;plain
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Food Items,soup,hot;tasty;warm;thick;clear;fresh;salty;creamy;light;healthy
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Human Roles,artist,creative;famous;young;old;talented;poor;strange;quiet;busy;happy
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Human Roles,athlete,strong;fast;young;tall;fit;brave;tired;famous;active;skilled
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Human Roles,chef,skilled;busy;famous;creative;old;young;friendly;strict;talented;happy
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Human Roles,doctor,kind;smart;busy;old;young;helpful;strict;famous;tired;patient
grok-3,basic,1.0,ZH # Mandarin,B1,most frequent,Human Roles,engineer,smart;young;busy;skilled;creative;tired;serious;talented;friendly;careful
