Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,anger,strong;deep;quick;hot;fierce;wild;bitter;sharp;dark;heavy
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,courage,great;true;bold;brave;strong;real;pure;big;high;firm
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,fear,deep;cold;dark;strong;sudden;real;hidden;quiet;big;heavy
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,freedom,true;full;real;sweet;precious;new;pure;bright;open;complete
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,happiness,pure;true;bright;warm;sweet;big;real;deep;simple;great
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,hate,strong;deep;bitter;dark;fierce;cold;heavy;blind;sharp;wild
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,honesty,pure;true;real;clear;simple;strong;open;bright;good;fair
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,justice,fair;true;real;strong;pure;clear;equal;right;honest;firm
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,knowledge,deep;wide;great;vast;useful;clear;true;strong;real;important
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,love,true;deep;sweet;warm;pure;strong;real;gentle;kind;endless
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,peace,calm;quiet;true;deep;sweet;pure;real;gentle;soft;lasting
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,wisdom,deep;great;true;clear;old;strong;real;pure;wise;high
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,bell,loud;clear;small;old;shiny;heavy;bright;golden;sweet;ringing
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,candle,small;bright;warm;soft;white;glowing;melting;tiny;red;flickering
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,carpet,soft;thick;red;old;clean;warm;big;colorful;heavy;smooth
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,coin,old;shiny;small;round;heavy;silver;golden;rare;dirty;worn
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,crown,golden;shiny;heavy;old;royal;beautiful;rich;big;bright;precious
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,flag,bright;colorful;big;old;national;waving;proud;torn;high;bold
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,mask,scary;funny;black;white;old;strange;hidden;dark;colorful;wooden
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,necklace,beautiful;shiny;long;golden;silver;expensive;delicate;pretty;old;heavy
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,painting,beautiful;old;colorful;big;famous;dark;bright;expensive;lovely;detailed
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,ring,golden;silver;shiny;small;expensive;beautiful;round;old;pretty;simple
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,statue,tall;old;big;heavy;stone;beautiful;famous;ancient;white;broken
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,vase,beautiful;old;delicate;tall;ceramic;colorful;expensive;small;broken;pretty
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,cloud,white;fluffy;dark;big;heavy;grey;soft;high;moving;thick
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,earthquake,strong;sudden;scary;dangerous;powerful;terrible;deadly;big;quick;violent
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,fog,thick;cold;white;dense;grey;heavy;mysterious;dark;wet;silent
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,lightning,bright;quick;sharp;loud;dangerous;white;sudden;powerful;scary;wild
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;wet;soft;sudden;dark;loud;continuous;gentle
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,rainbow,beautiful;colorful;bright;rare;lovely;magical;clear;wide;pretty;amazing
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;heavy;thick;pure;beautiful;silent;wet;falling
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,storm,strong;loud;dark;scary;powerful;wild;dangerous;sudden;heavy;violent
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,thunder,loud;deep;scary;sudden;strong;powerful;dark;heavy;sharp;rolling
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,tide,high;low;strong;powerful;sudden;dangerous;calm;steady;big;fast
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,volcano,active;dangerous;hot;big;tall;red;angry;old;powerful;scary
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,wind,strong;cold;fast;loud;sharp;gentle;warm;wild;sudden;heavy
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Food Items,apple,red;sweet;juicy;fresh;small;round;green;ripe;crunchy;tasty
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Food Items,banana,yellow;sweet;long;soft;fresh;ripe;tasty;small;curved;healthy
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Food Items,beef,fresh;red;tender;tasty;cooked;raw;juicy;thick;expensive;soft
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Food Items,bread,fresh;soft;warm;brown;white;tasty;hard;crispy;old;thick
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Food Items,broccoli,green;fresh;healthy;small;raw;cooked;tasty;bitter;hard;soft
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Food Items,cheese,yellow;soft;tasty;strong;creamy;white;hard;melted;fresh;old
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Food Items,chicken,cooked;fresh;tasty;tender;juicy;white;raw;roasted;soft;spicy
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Food Items,egg,white;fresh;boiled;small;raw;yellow;fried;round;hard;broken
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Food Items,fish,fresh;tasty;small;big;raw;cooked;silver;wet;smelly;slippery
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Food Items,pasta,soft;tasty;hot;fresh;long;yellow;creamy;spicy;simple;cooked
grok-3,think-in-native,1.0,UR # Urdu,B1,most frequent,Food Items,rice,white;soft;tasty;hot;fresh;sticky;plain;cooked;small;fluffy
