Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Abstract Concepts,anger,strong;deep;hot;wild;dark;quick;bitter;fierce;loud;heavy
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Abstract Concepts,courage,great;bold;true;brave;strong;pure;high;real;inner;quiet
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Abstract Concepts,fear,big;cold;dark;deep;sudden;sharp;silent;hidden;strong;terrible
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Abstract Concepts,freedom,true;full;sweet;new;hard;precious;basic;open;wide;personal
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Abstract Concepts,happiness,pure;bright;warm;simple;true;deep;real;sweet;quiet;endless
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Abstract Concepts,hate,strong;deep;cold;dark;bitter;fierce;blind;heavy;cruel;silent
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Abstract Concepts,honesty,true;clear;pure;strong;real;simple;open;fair;direct;complete
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Abstract Concepts,justice,fair;true;strong;equal;right;pure;hard;clear;honest;final
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Abstract Concepts,knowledge,deep;wide;great;useful;basic;clear;true;vast;solid;practical
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Abstract Concepts,love,true;deep;warm;sweet;pure;strong;endless;real;gentle;kind
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Abstract Concepts,peace,quiet;calm;true;deep;sweet;lasting;inner;soft;pure;gentle
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Abstract Concepts,wisdom,deep;great;true;old;clear;quiet;strong;pure;simple;practical
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Cultural Artifacts,bell,loud;clear;small;old;shiny;golden;heavy;bright;sweet;metal
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Cultural Artifacts,candle,small;bright;warm;soft;white;long;thin;glowing;quiet;simple
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Cultural Artifacts,carpet,soft;thick;red;old;big;warm;colorful;heavy;clean;smooth
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Cultural Artifacts,coin,old;shiny;small;round;silver;golden;heavy;rare;dirty;worn
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Cultural Artifacts,crown,golden;heavy;shiny;royal;old;beautiful;rich;big;precious;ornate
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Cultural Artifacts,flag,bright;colorful;national;big;old;proud;waving;simple;torn;bold
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Cultural Artifacts,mask,dark;scary;funny;colorful;old;wooden;strange;hidden;light;painted
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Cultural Artifacts,necklace,beautiful;shiny;long;silver;golden;expensive;delicate;simple;heavy;elegant
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Cultural Artifacts,painting,beautiful;old;colorful;big;famous;dark;bright;small;realistic;abstract
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Cultural Artifacts,ring,shiny;small;golden;silver;beautiful;expensive;simple;round;old;delicate
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Cultural Artifacts,statue,tall;old;stone;beautiful;big;white;heavy;ancient;famous;broken
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Cultural Artifacts,vase,delicate;old;beautiful;tall;thin;colorful;glass;heavy;simple;elegant
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Environmental Phenomena,cloud,white;big;dark;soft;fluffy;grey;high;light;thick;moving
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Environmental Phenomena,earthquake,strong;sudden;terrible;dangerous;big;scary;violent;deep;loud;destructive
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Environmental Phenomena,fog,thick;cold;grey;heavy;silent;dark;wet;mysterious;light;early
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Environmental Phenomena,lightning,bright;fast;loud;dangerous;sharp;white;sudden;strong;scary;powerful
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;soft;wet;sudden;long;dark;warm;gentle
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Environmental Phenomena,rainbow,colorful;bright;beautiful;rare;big;clear;magical;short;vivid;happy
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;heavy;light;thick;quiet;beautiful;wet;fresh
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Environmental Phenomena,storm,strong;loud;dark;dangerous;big;sudden;wild;scary;violent;cold
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Environmental Phenomena,thunder,loud;deep;strong;scary;sudden;heavy;dark;powerful;distant;sharp
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Environmental Phenomena,tide,high;low;strong;fast;dangerous;quiet;regular;cold;powerful;changing
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Environmental Phenomena,volcano,active;dangerous;big;hot;dark;tall;scary;old;powerful;silent
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Environmental Phenomena,wind,strong;cold;fast;light;warm;loud;gentle;sharp;wild;sudden
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Food Items,apple,red;green;sweet;fresh;small;round;juicy;hard;ripe;tasty
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Food Items,banana,yellow;long;sweet;soft;fresh;ripe;small;curved;healthy;tasty
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Food Items,beef,red;fresh;tender;juicy;expensive;raw;cooked;thick;soft;tasty
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Food Items,bread,fresh;soft;warm;white;brown;hard;tasty;old;thick;crusty
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Food Items,broccoli,green;fresh;healthy;small;hard;tasty;raw;cooked;bitter;light
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Food Items,cheese,yellow;white;soft;hard;tasty;strong;creamy;old;fresh;melted
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Food Items,chicken,fresh;tender;juicy;cooked;raw;white;tasty;small;roasted;grilled
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Food Items,egg,white;small;fresh;hard;soft;round;boiled;fried;raw;tasty
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Food Items,fish,fresh;small;big;tasty;raw;cooked;silver;wet;cold;salty
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Food Items,pasta,fresh;tasty;soft;long;short;hot;simple;yellow;cooked;Italian
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Food Items,rice,white;brown;soft;sticky;tasty;small;long;cooked;fresh;healthy
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Food Items,soup,hot;tasty;warm;thick;light;fresh;creamy;clear;salty;healthy
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Human Roles,artist,creative;talented;famous;young;old;poor;rich;passionate;unique;skilled
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Human Roles,athlete,strong;fast;young;fit;talented;famous;hard-working;tall;active;dedicated
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Human Roles,chef,skilled;famous;creative;busy;friendly;experienced;young;talented;passionate;professional
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Human Roles,doctor,kind;smart;busy;helpful;experienced;young;old;friendly;serious;caring
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Human Roles,engineer,smart;skilled;creative;busy;young;talented;experienced;serious;practical;innovative
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Human Roles,farmer,hard-working;kind;old;strong;friendly;simple;busy;patient;tough;dedicated
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Human Roles,lawyer,smart;serious;busy;experienced;strict;young;famous;helpful;confident;professional
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Human Roles,musician,talented;creative;famous;young;passionate;skilled;unique;friendly;emotional;dedicated
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Human Roles,scientist,smart;curious;serious;talented;young;experienced;innovative;patient;dedicated;brilliant
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Human Roles,soldier,brave;strong;young;tough;loyal;serious;dedicated;tall;disciplined;fearless
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Human Roles,teacher,kind;patient;smart;friendly;strict;young;experienced;helpful;caring;dedicated
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Human Roles,writer,creative;talented;famous;young;passionate;quiet;skilled;unique;thoughtful;successful
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Inanimate Objects,book,old;new;thick;thin;interesting;boring;heavy;small;colorful;useful
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Inanimate Objects,bridge,old;long;high;strong;beautiful;narrow;wide;wooden;stone;modern
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Inanimate Objects,drums,loud;big;heavy;round;old;shiny;wooden;strong;colorful;noisy
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Inanimate Objects,earth,big;round;green;blue;old;beautiful;rich;warm;vast;alive
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Inanimate Objects,flute,small;shiny;silver;wooden;old;light;sweet;thin;beautiful;delicate
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Inanimate Objects,key,small;old;shiny;heavy;silver;golden;rusty;important;tiny;metal
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Inanimate Objects,knife,sharp;small;heavy;shiny;dangerous;old;rusty;long;thin;useful
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Inanimate Objects,lock,old;heavy;strong;small;rusty;shiny;metal;broken;secure;tight
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Inanimate Objects,moon,bright;full;white;round;big;pale;beautiful;quiet;distant;magical
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Inanimate Objects,pen,small;black;blue;old;cheap;expensive;thin;shiny;useful;broken
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Inanimate Objects,sun,bright;hot;big;yellow;warm;beautiful;high;strong;golden;shining
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Inanimate Objects,sword,sharp;long;heavy;old;shiny;dangerous;strong;silver;rusty;powerful
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Neutral Animals,cat,small;cute;soft;black;white;lazy;fast;quiet;friendly;wild
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Neutral Animals,dog,big;friendly;loyal;brown;black;fast;loud;cute;strong;happy
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Neutral Animals,dolphin,smart;friendly;fast;blue;small;playful;beautiful;wild;smooth;happy
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Neutral Animals,elephant,big;grey;strong;slow;heavy;tall;kind;wild;old;gentle
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Neutral Animals,hamster,small;cute;soft;brown;fast;tiny;fluffy;quiet;active;sweet
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Neutral Animals,monkey,funny;fast;small;brown;wild;smart;noisy;active;cute;playful
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Neutral Animals,mouse,small;grey;fast;tiny;quiet;cute;shy;soft;sneaky;little
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Neutral Animals,peacock,beautiful;colorful;big;proud;rare;loud;shiny;elegant;bright;unique
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Neutral Animals,rabbit,small;white;soft;fast;cute;shy;fluffy;quiet;sweet;little
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Neutral Animals,shark,big;dangerous;fast;grey;scary;strong;wild;sharp;cold;hungry
