Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,anger,strong;deep;hot;quick;wild;bitter;fierce;dark;heavy;sudden
grok-3,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,courage,great;bold;true;brave;real;high;pure;quiet;inner;steady
grok-3,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,fear,big;cold;sharp;hidden;silent;growing;constant;dark;sudden;deep
grok-3,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,freedom,full;true;sweet;hard;new;open;wide;long;precious;earned
grok-3,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,happiness,bright;warm;pure;simple;true;deep;real;soft;endless;quiet
grok-3,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,hate,strong;cold;dark;bitter;deep;blind;harsh;silent;hidden;fierce
grok-3,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,honesty,clear;true;pure;strong;real;simple;open;brave;firm;direct
grok-3,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,justice,fair;true;strong;equal;clear;right;hard;pure;honest;final
grok-3,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,knowledge,deep;wide;great;useful;basic;clear;new;old;rich;hidden
grok-3,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,love,true;deep;warm;sweet;pure;strong;endless;soft;real;quiet
grok-3,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,peace,calm;quiet;true;deep;sweet;long;inner;real;pure;gentle
grok-3,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,wisdom,deep;old;great;true;clear;quiet;strong;pure;hidden;simple
grok-3,basic,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,bell,loud;clear;small;golden;old;shiny;heavy;bright;sweet;ringing
grok-3,basic,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,candle,bright;small;warm;soft;flickering;white;thin;new;old;glowing
grok-3,basic,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,carpet,soft;thick;colorful;old;big;warm;clean;patterned;red;heavy
grok-3,basic,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,coin,old;shiny;small;golden;silver;rare;heavy;round;dirty;valuable
grok-3,basic,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,crown,golden;heavy;shiny;royal;old;beautiful;grand;jeweled;tall;precious
grok-3,basic,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,flag,bright;colorful;national;waving;big;torn;old;proud;high;bold
grok-3,basic,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,mask,scary;colorful;wooden;old;funny;dark;hidden;strange;painted;small
grok-3,basic,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,necklace,beautiful;shiny;long;golden;silver;heavy;delicate;expensive;old;lovely
