Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,anger,strong;bad;big;quick;hot;sudden;deep;blind;raw;quiet
grok-3-mini,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,courage,brave;strong;good;big;true;fast;quiet;great;real;bold
grok-3-mini,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,fear,strong;big;cold;sudden;dark;deep;bad;quick;real;old
grok-3-mini,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,freedom,great;true;big;good;new;full;strong;real;fast;quiet
grok-3-mini,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,happiness,great;big;true;good;new;full;strong;real;fast;quiet
grok-3-mini,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,hate,strong;bad;deep;blind;big;quick;hot;sudden;raw;quiet
grok-3-mini,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,honesty,true;good;real;strong;big;full;quiet;fast;new;old
grok-3-mini,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,justice,fair;good;strong;big;true;real;fast;new;old;quiet
grok-3-mini,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,knowledge,great;big;true;good;new;full;strong;real;fast;deep
grok-3-mini,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,love,great;true;big;good;new;strong;real;fast;deep;quiet
grok-3-mini,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,peace,great;true;good;big;new;strong;real;fast;quiet;full
grok-3-mini,basic,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,wisdom,great;true;good;big;new;strong;real;fast;deep;old
grok-3-mini,basic,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;soft;gold;silver;broken;shiny
grok-3-mini,basic,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,candle,big;small;old;new;tall;short;white;red;melted;bright
grok-3-mini,basic,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;soft;hard;red;blue;dirty;clean
grok-3-mini,basic,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,coin,old;new;small;big;gold;silver;rare;common;shiny;dirty
grok-3-mini,basic,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,crown,big;small;old;new;gold;silver;royal;heavy;shiny;broken
grok-3-mini,basic,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,flag,big;small;old;new;red;blue;national;torn;clean;dirty
grok-3-mini,basic,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,mask,big;small;old;new;black;white;scary;funny;broken;clean
grok-3-mini,basic,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,necklace,big;small;old;new;gold;silver;beautiful;heavy;shiny;broken
