Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,anger,strong;deep;hot;wild;quick;dark;fierce;bitter;loud;sudden
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,courage,great;brave;bold;true;amazing;real;pure;strong;quiet;endless
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,fear,big;cold;deep;dark;hidden;sharp;silent;heavy;sudden;strong
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,freedom,true;full;sweet;new;hard;pure;bright;precious;long;clear
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,happiness,warm;bright;pure;simple;great;deep;true;soft;real;endless
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,hate,strong;deep;dark;cold;bitter;fierce;hidden;wild;sharp;heavy
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,honesty,true;pure;clear;strong;real;simple;bright;good;open;kind
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,justice,fair;true;strong;clear;pure;right;hard;real;deep;honest
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,knowledge,deep;wide;great;useful;clear;strong;true;vast;new;important
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,love,true;deep;warm;sweet;pure;strong;soft;endless;kind;bright
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,peace,calm;quiet;sweet;deep;true;soft;pure;long;warm;clear
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,wisdom,deep;great;true;quiet;strong;clear;old;pure;bright;real Rob
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,bell,loud;clear;small;shiny;heavy;old;golden;round;bright;metal
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,candle,small;white;warm;soft;bright;long;thin;burning;pretty;red
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,carpet,soft;thick;red;old;large;warm;clean;expensive;beautiful;colorful
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,coin,small;old;shiny;round;silver;golden;rare;heavy;valuable;ancient
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,crown,golden;heavy;shiny;royal;beautiful;old;rich;powerful;grand;ornate
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,flag,bright;colorful;large;national;proud;red;white;blue;waving;tall
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,mask,scary;funny;black;white;small;mysterious;strange;colorful;wooden;old
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,necklace,beautiful;shiny;golden;silver;long;expensive;pretty;delicate;elegant;simple
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,painting,beautiful;colorful;old;large;famous;expensive;pretty;unique;detailed;artistic
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,ring,small;shiny;golden;silver;expensive;pretty;simple;round;beautiful;delicate
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,statue,tall;old;large;stone;white;beautiful;heavy;ancient;grand;famous
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,vase,tall;thin;glass;white;beautiful;old;delicate;expensive;pretty;decorative
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,cloud,white;fluffy;big;dark;gray;soft;high;thick;light;floating
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,earthquake,strong;scary;sudden;powerful;dangerous;loud;deep;terrible;destructive;violent
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,fog,thick;cold;white;gray;heavy;dark;silent;mysterious;wet;dense
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,lightning,bright;fast;loud;dangerous;sharp;white;hot;sudden;powerful;scary
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;wet;soft;long;sudden;gray;fresh;cool
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,rainbow,colorful;beautiful;bright;clear;pretty;rare;long;curved;magical;happy
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;thick;heavy;light;wet;beautiful;quiet;fresh
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,storm,strong;loud;dark;dangerous;heavy;wild;scary;sudden;powerful;wet
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,thunder,loud;deep;scary;strong;sudden;heavy;dark;powerful;sharp;frightening
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,tide,high;low;strong;fast;dangerous;powerful;regular;big;rough;moving
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,volcano,tall;hot;dangerous;active;red;dark;powerful;old;rocky;fiery
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,wind,strong;cold;fast;loud;warm;soft;sharp;heavy;wild;fresh
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Food Items,apple,red;green;sweet;juicy;round;small;fresh;crispy;hard;tasty
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Food Items,banana,yellow;long;sweet;soft;ripe;small;fresh;curved;tasty;healthy
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Food Items,beef,red;fresh;soft;tough;tasty;raw;cooked;thick;juicy;expensive
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Food Items,bread,soft;warm;fresh;brown;white;crispy;thick;tasty;small;hard
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Food Items,broccoli,green;fresh;small;healthy;hard;bitter;tasty;raw;cooked;thick
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Food Items,cheese,yellow;white;soft;hard;tasty;creamy;strong;smelly;fresh;old
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Food Items,chicken,white;soft;tasty;fresh;raw;cooked;small;juicy;tender;delicious
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Food Items,egg,white;brown;small;fresh;hard;soft;round;boiled;fried;raw
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Food Items,fish,fresh;small;silver;tasty;raw;cooked;wet;slippery;smelly;colorful
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Food Items,pasta,long;short;soft;hard;tasty;yellow;fresh;cooked;hot;simple
grok-3,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Food Items,rice,white;brown;soft;hard;tasty;small;sticky;fresh;hot;simple
