Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gpt-4.1,basic,0.0,DE # German,B1,most frequent,Abstract Concepts,anger,strong;big;sudden;deep;real;great;cold;hot;quick;open
gpt-4.1,basic,0.0,DE # German,B1,most frequent,Abstract Concepts,courage,great;strong;real;big;true;quiet;new;much;little;open
gpt-4.1,basic,0.0,DE # German,B1,most frequent,Abstract Concepts,fear,big;strong;deep;real;sudden;cold;great;quiet;open;little
gpt-4.1,basic,0.0,DE # German,B1,most frequent,Abstract Concepts,freedom,great;real;true;full;new;open;big;much;little;personal
gpt-4.1,basic,0.0,DE # German,B1,most frequent,Abstract Concepts,happiness,great;real;true;big;full;deep;quiet;open;much;little
gpt-4.1,basic,0.0,DE # German,B1,most frequent,Abstract Concepts,hate,strong;deep;big;real;cold;open;sudden;great;true;quiet
gpt-4.1,basic,0.0,DE # German,B1,most frequent,Abstract Concepts,honesty,true;real;great;full;open;big;quiet;much;little;deep
gpt-4.1,basic,0.0,DE # German,B1,most frequent,Abstract Concepts,justice,true;real;great;full;open;big;quiet;much;little;deep
gpt-4.1,basic,0.0,DE # German,B1,most frequent,Abstract Concepts,knowledge,great;deep;real;true;big;much;little;open;new;full
gpt-4.1,basic,0.0,DE # German,B1,most frequent,Abstract Concepts,love,true;real;big;deep;great;strong;open;quiet;new;full
gpt-4.1,basic,0.0,DE # German,B1,most frequent,Abstract Concepts,peace,true;real;great;deep;quiet;full;open;big;new;much
gpt-4.1,basic,0.0,DE # German,B1,most frequent,Abstract Concepts,wisdom,great;true;real;deep;big;quiet;much;little;open;full
gpt-4.1,basic,0.0,DE # German,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;golden;silver;round;heavy;light
gpt-4.1,basic,0.0,DE # German,B1,most frequent,Cultural Artifacts,candle,small;big;white;red;old;new;long;short;thin;thick
gpt-4.1,basic,0.0,DE # German,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;red;blue;soft;long;thick;clean
gpt-4.1,basic,0.0,DE # German,B1,most frequent,Cultural Artifacts,coin,small;old;new;round;golden;silver;big;thin;light;clean
gpt-4.1,basic,0.0,DE # German,B1,most frequent,Cultural Artifacts,crown,golden;big;small;old;new;heavy;light;beautiful;rich;bright
gpt-4.1,basic,0.0,DE # German,B1,most frequent,Cultural Artifacts,flag,big;small;old;new;red;blue;white;green;long;bright
gpt-4.1,basic,0.0,DE # German,B1,most frequent,Cultural Artifacts,mask,big;small;old;new;white;black;red;funny;scary;light
gpt-4.1,basic,0.0,DE # German,B1,most frequent,Cultural Artifacts,necklace,golden;silver;small;big;old;new;long;short;beautiful;bright
gpt-4.1,basic,0.0,DE # German,B1,most frequent,Cultural Artifacts,painting,big;small;old;new;beautiful;bright;dark;famous;simple;colorful
gpt-4.1,basic,0.0,DE # German,B1,most frequent,Cultural Artifacts,ring,golden;silver;small;big;old;new;round;beautiful;light;bright
gpt-4.1,basic,0.0,DE # German,B1,most frequent,Cultural Artifacts,statue,big;small;old;new;white;stone;golden;beautiful;heavy;famous
gpt-4.1,basic,0.0,DE # German,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;white;blue;round;beautiful;clean;light
