Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,anger,strong;deep;hot;fierce;burning;sudden;wild;bitter;constant;raw
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,courage,brave;strong;bold;true;firm;clear;noble;real;good;steady
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,fear,deep;strong;bad;dark;sudden;real;cold;high;fierce;constant
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,freedom,true;great;pure;strong;clear;wide;open;full;real;high
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,happiness,great;deep;full;true;good;pure;clear;high;warm;bright
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,hate,strong;deep;bitter;fierce;raw;dark;bad;wild;sudden;constant
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,honesty,true;real;good;clear;pure;simple;strong;high;noble;firm
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,justice,true;fair;good;clear;strong;pure;real;firm;noble;even
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,knowledge,deep;broad;wide;real;true;good;pure;full;high;clear
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,love,deep;strong;true;pure;warm;good;real;clear;bright;kind
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,peace,calm;still;true;good;clear;deep;pure;quiet;real;high
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,wisdom,deep;true;real;good;pure;clear;old;strong;rare;high
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,bell,small;old;clear;loud;round;pure;good;bright;shiny;heavy
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,candle,small;light;warm;bright;pure;old;clear;soft;good;real
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,carpet,soft;warm;clean;nice;thick;old;bright;good;real;fine
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,coin,small;round;bright;real;good;pure;clear;hard;thin;old
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,crown,gold;bright;high;old;fine;pure;clear;real;good;royal
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,flag,red;blue;bright;high;real;good;clear;strong;pure;bold
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,mask,old;new;clear;simple;good;dark;pure;real;small;strong
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,necklace,short;long;gold;bright;pure;clear;good;old;fine;real
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,painting,old;new;real;good;clear;bright;fine;pure;strong;bold
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,ring,small;round;gold;bright;pure;good;clear;real;old;fine
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,statue,big;old;strong;clear;real;good;fine;pure;round;high
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,vase,small;old;clear;fine;pure;good;bright;real;tall;round
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,cloud,white;soft;light;high;real;good;deep;pure;thick;wide
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,earthquake,big;strong;real;bad;deep;sudden;wild;dark;fierce;hard
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,fog,thick;dark;heavy;soft;deep;low;pale;weak;cold;still
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,lightning,bright;fast;strong;real;sharp;high;clear;wild;quick;sudden
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,rain,wet;cold;soft;light;heavy;real;good;pure;clear;strong
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,rainbow,bright;clear;beautiful;high;real;good;pure;fine;wide;lovely
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;light;real;good;clear;deep;pure;heavy
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,storm,big;strong;dark;loud;real;bad;deep;high;wild;sudden
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,thunder,loud;deep;strong;real;bad;high;dark;sudden;wild;heavy
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,tide,high;low;strong;deep;real;good;clear;calm;wild;full
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,volcano,big;high;strong;real;hot;deep;wild;fierce;active;dangerous
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,wind,strong;soft;high;wild;deep;real;good;cold;clear;fast
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Food Items,apple,red;green;good;small;round;sweet;fresh;pure;ripe;bright
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Food Items,banana,yellow;good;ripe;soft;sweet;long;fresh;pure;real;bright
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Food Items,beef,red;good;raw;fresh;strong;real;fine;pure;soft;thick
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Food Items,bread,fresh;good;soft;old;warm;pure;real;fine;brown;thick
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Food Items,broccoli,green;fresh;good;raw;pure;real;firm;bright;small;healthy
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Food Items,cheese,yellow;good;fresh;soft;real;pure;fine;old;sharp;round
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Food Items,chicken,white;good;fresh;raw;small;strong;pure;real;fine;soft
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Food Items,egg,small;white;good;raw;fresh;round;pure;real;fine;hard
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Food Items,fish,small;good;fresh;raw;blue;dark;light;pure;real;cold
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Food Items,pasta,long;good;soft;fresh;pure;fine;thin;yellow;real;warm
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Food Items,rice,white;good;small;fine;pure;real;dry;soft;light;fresh
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Food Items,soup,hot;good;warm;deep;clear;soft;fresh;real;pure;tasty
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Human Roles,artist,good;young;smart;kind;true;real;bold;free;calm;creative
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Human Roles,athlete,strong;fast;good;young;brave;smart;real;hard;fit;active
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Human Roles,chef,good;smart;young;kind;calm;real;fine;strong;bold;quick
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Human Roles,doctor,good;kind;smart;strong;true;calm;real;neat;helpful;busy
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Human Roles,engineer,good;smart;young;strong;clear;real;fine;bold;calm;quick
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Human Roles,farmer,good;strong;old;kind;real;hard;true;simple;calm;steady
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Human Roles,lawyer,good;smart;strong;clear;real;bold;true;kind;fair;neat
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Human Roles,musician,good;young;smart;kind;real;bold;free;calm;quick;fine
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Human Roles,scientist,good;smart;strong;real;clear;bold;true;kind;calm;young
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Human Roles,soldier,strong;brave;good;real;bold;true;hard;firm;young;tough
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Human Roles,teacher,good;kind;smart;strong;true;real;calm;neat;young;clear
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Human Roles,writer,good;smart;kind;real;true;calm;neat;bold;young;funny
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Inanimate Objects,book,old;good;thick;real;clear;fine;bright;small;young;plain
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Inanimate Objects,bridge,old;long;strong;good;high;clear;real;neat;wide;firm
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Inanimate Objects,drums,loud;strong;good;real;deep;clear;bold;wild;bright;fast
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Inanimate Objects,earth,old;big;round;real;good;clear;high;dark;pure;firm
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Inanimate Objects,flute,small;clear;good;soft;high;light;real;bright;fine;pure
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Inanimate Objects,key,small;old;good;real;clear;fine;bright;dark;strong;thin
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Inanimate Objects,knife,sharp;good;strong;real;clear;old;thin;bright;fine;cold
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Inanimate Objects,lock,old;small;good;strong;real;clear;fine;dark;pure;tight
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Inanimate Objects,moon,round;bright;full;clear;old;high;real;calm;pure;soft
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Inanimate Objects,pen,small;good;dark;real;fine;clear;sharp;neat;thin;blue
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Inanimate Objects,sun,big;bright;hot;clear;real;good;high;pure;strong;warm
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Inanimate Objects,sword,sharp;strong;good;old;real;clear;bright;fine;long;bold
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Neutral Animals,cat,small;good;cute;fast;soft;real;kind;young;neat;bright
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Neutral Animals,dog,good;fast;kind;small;real;young;strong;neat;wild;brave
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Neutral Animals,dolphin,smart;kind;good;fast;young;real;clear;fine;bright;strong
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Neutral Animals,elephant,big;old;strong;good;real;kind;dark;pure;high;slow
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Neutral Animals,hamster,small;cute;good;soft;real;fast;kind;neat;young;light
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Neutral Animals,monkey,funny;smart;good;real;kind;fast;young;clear;wild;bright
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Neutral Animals,mouse,small;quick;good;real;soft;neat;light;kind;pure;young
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Neutral Animals,peacock,colorful;bright;fine;good;real;bold;pure;clear;high;neat
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Neutral Animals,rabbit,small;cute;fast;soft;good;real;kind;neat;bright;young
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Neutral Animals,shark,big;strong;fast;real;good;dark;wild;fierce;pure;bold
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Neutral Animals,snake,long;thin;strong;real;good;dark;cold;pure;quick;smooth
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Neutral Animals,whale,big;strong;slow;deep;real;good;high;dark;pure;old
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Places,city,big;old;good;real;high;clear;strong;neat;wide;busy
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Places,desert,hot;dry;big;old;real;good;clear;high;pure;empty
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Places,forest,big;green;old;real;good;deep;wild;clear;pure;calm
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Places,island,small;big;clear;real;old;good;high;pure;neat;calm
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Places,lake,big;deep;clear;real;old;good;pure;calm;high;still
