Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Abstract Concepts,anger,strong;hot;blind;deep;sudden;great;intense;quick;raw;bitter
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Abstract Concepts,courage,brave;bold;heroic;fearless;mighty;steadfast;noble;true;firm;daring
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Abstract Concepts,fear,big;dark;sudden;cold;deep;strong;real;hidden;sharp;quiet
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Abstract Concepts,freedom,full;true;great;new;open;pure;sweet;wide;bright;easy
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Abstract Concepts,happiness,great;true;pure;warm;bright;full;simple;deep;quiet;real
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Abstract Concepts,hate,strong;deep;blind;bitter;cold;dark;pure;quick;wild;hard
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Abstract Concepts,honesty,true;simple;pure;clear;straight;full;bright;strong;deep;real
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Abstract Concepts,justice,fair;true;blind;strong;pure;quick;full;clear;hard;right
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Abstract Concepts,knowledge,great;deep;wide;true;simple;full;new;clear;strong;real
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Abstract Concepts,love,true;deep;pure;strong;warm;sweet;blind;great;quiet;full
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Abstract Concepts,peace,quiet;full;sweet;deep;true;warm;bright;pure;simple;real
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Abstract Concepts,wisdom,great;deep;old;true;clear;strong;pure;simple;full;real
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;clear;bright;round;metal;simple
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Cultural Artifacts,candle,small;long;bright;warm;old;new;soft;white;simple;round
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Cultural Artifacts,carpet,big;soft;old;new;thick;clean;warm;colorful;fine;flat
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Cultural Artifacts,coin,small;old;new;round;shiny;gold;silver;heavy;rare;simple
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Cultural Artifacts,crown,big;gold;old;new;heavy;bright;royal;fine;simple;round
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Cultural Artifacts,flag,big;old;new;colorful;high;simple;national;bright;clean;long
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Cultural Artifacts,mask,small;old;new;black;white;simple;funny;scary;light;round
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Cultural Artifacts,necklace,long;small;old;new;gold;silver;bright;simple;fine;heavy
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Cultural Artifacts,painting,big;old;new;beautiful;colorful;fine;simple;bright;clear;soft
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Cultural Artifacts,ring,small;gold;silver;old;new;simple;bright;round;fine;heavy
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Cultural Artifacts,statue,big;old;new;tall;stone;metal;fine;simple;strong;clear
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;glass;fine;simple;round;bright;clean
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Environmental Phenomena,cloud,big;white;dark;high;soft;light;fast;cold;wet;simple
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Environmental Phenomena,earthquake,big;strong;sudden;deep;bad;real;long;hard;wild;dark
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Environmental Phenomena,fog,thick;white;cold;heavy;quiet;deep;soft;wet;dark;simple
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Environmental Phenomena,lightning,bright;fast;strong;wild;hot;sudden;long;clear;high;real
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;wet;hard;soft;long;fresh;dark;simple
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Environmental Phenomena,rainbow,bright;colorful;beautiful;high;clear;wide;soft;real;simple;long
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;deep;fresh;light;wet;hard;pure;simple
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Environmental Phenomena,storm,big;strong;wild;dark;loud;fast;cold;long;real;hard
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Environmental Phenomena,thunder,loud;strong;deep;sudden;wild;dark;long;real;big;hot
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Environmental Phenomena,tide,high;low;strong;fast;deep;cold;long;wet;wild;simple
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Environmental Phenomena,volcano,big;hot;active;old;deep;wild;dark;strong;real;high
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Environmental Phenomena,wind,strong;cold;hot;fast;light;wild;fresh;quiet;long;simple
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Food Items,apple,red;green;big;small;sweet;fresh;hard;juicy;round;clean
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Food Items,banana,yellow;long;big;small;sweet;fresh;soft;ripe;clean;simple
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Food Items,beef,fresh;cooked;red;tough;soft;hot;cold;big;simple;real
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Food Items,bread,fresh;soft;white;brown;hot;cold;big;simple;clean;hard
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Food Items,broccoli,green;fresh;big;small;hard;soft;clean;simple;raw;cooked
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Food Items,cheese,yellow;white;soft;hard;fresh;old;simple;clean;sweet;strong
grok-3-mini,think-in-native,0.0,BN # Bengali,B1,most frequent,Food Items,chicken,fresh;cooked;white;big;small;soft;hot;cold;clean;simple
