Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,basic,2.0,JA # Japanese,B1,most frequent,Abstract Concepts,anger,big;bad;hot;red;new;long;sudden;small;strong;sad
gemini-2.0-flash,basic,2.0,JA # Japanese,B1,most frequent,Abstract Concepts,courage,big;strong;true;good;new;small;old;brave;first;much
gemini-2.0-flash,basic,2.0,JA # Japanese,B1,most frequent,Abstract Concepts,fear,big;small;bad;new;dark;first;true;long;cold;hot
gemini-2.0-flash,basic,2.0,JA # Japanese,B1,most frequent,Abstract Concepts,freedom,big;good;new;much;true;real;small;important;strong;great
gemini-2.0-flash,basic,2.0,JA # Japanese,B1,most frequent,Abstract Concepts,happiness,big;good;new;true;real;great;much;small;long;strong
gemini-2.0-flash,basic,2.0,JA # Japanese,B1,most frequent,Abstract Concepts,hate,big;bad;much;strong;new;great;old;little;first;sad
gemini-2.0-flash,basic,2.0,JA # Japanese,B1,most frequent,Abstract Concepts,honesty,good;big;true;real;important;great;much;small;new;long
gemini-2.0-flash,basic,2.0,JA # Japanese,B1,most frequent,Abstract Concepts,justice,good;true;real;new;important;big;right;strong;fair;great
gemini-2.0-flash,basic,2.0,JA # Japanese,B1,most frequent,Abstract Concepts,knowledge,big;good;new;much;important;real;true;small;great;long
gemini-2.0-flash,basic,2.0,JA # Japanese,B1,most frequent,Abstract Concepts,love,big;good;new;true;real;strong;long;much;first;old
gemini-2.0-flash,basic,2.0,JA # Japanese,B1,most frequent,Abstract Concepts,peace,big;good;new;long;real;true;much;important;strong;small
gemini-2.0-flash,basic,2.0,JA # Japanese,B1,most frequent,Abstract Concepts,wisdom,big;good;new;true;much;real;great;small;important;long
gemini-2.0-flash,basic,2.0,JA # Japanese,B1,most frequent,Cultural Artifacts,bell,big;small;new;old;good;metal;loud;first;silver;church
gemini-2.0-flash,basic,2.0,JA # Japanese,B1,most frequent,Cultural Artifacts,candle,white;small;new;old;big;good;long;wax;first;church
gemini-2.0-flash,basic,2.0,JA # Japanese,B1,most frequent,Cultural Artifacts,carpet,red;new;big;small;old;good;long;thick;wool;blue
gemini-2.0-flash,basic,2.0,JA # Japanese,B1,most frequent,Cultural Artifacts,coin,gold;new;old;silver;small;big;round;first;one;two
gemini-2.0-flash,basic,2.0,JA # Japanese,B1,most frequent,Cultural Artifacts,crown,gold;new;old;big;small;silver;important;good;first;long
gemini-2.0-flash,basic,2.0,JA # Japanese,B1,most frequent,Cultural Artifacts,flag,new;big;red;small;national;good;first;long;old;white
gemini-2.0-flash,basic,2.0,JA # Japanese,B1,most frequent,Cultural Artifacts,mask,new;small;white;black;big;old;good;paper;scary;first
gemini-2.0-flash,basic,2.0,JA # Japanese,B1,most frequent,Cultural Artifacts,necklace,gold;new;silver;long;small;old;big;beautiful;first;good
gemini-2.0-flash,basic,2.0,JA # Japanese,B1,most frequent,Cultural Artifacts,painting,new;good;old;big;small;red;blue;first;beautiful;nice
gemini-2.0-flash,basic,2.0,JA # Japanese,B1,most frequent,Cultural Artifacts,ring,gold;new;silver;small;big;old;first;diamond;good;wedding
gemini-2.0-flash,basic,2.0,JA # Japanese,B1,most frequent,Cultural Artifacts,statue,big;new;old;small;white;good;bronze;first;stone;beautiful
gemini-2.0-flash,basic,2.0,JA # Japanese,B1,most frequent,Cultural Artifacts,vase,new;old;glass;small;big;white;beautiful;first;blue;flower
