Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Abstract Concepts,anger,bad;big;red;hot;strong;quick;much;real;true;hard
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Abstract Concepts,courage,great;strong;good;real;true;much;hard;new;long;special
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Abstract Concepts,fear,big;bad;great;real;true;strong;hard;new;much;little
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Abstract Concepts,freedom,great;much;real;true;important;good;new;hard;political;national
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Abstract Concepts,happiness,great;good;real;true;big;new;much;special;simple;small
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Abstract Concepts,hate,big;strong;real;true;hard;bad;much;new;great
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Abstract Concepts,honesty,real;true;good;much;great;important;hard;new;long;strong
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Abstract Concepts,justice,real;true;good;great;social;much;important;hard;new;equal
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Abstract Concepts,knowledge,good;great;much;real;true;new;important;hard;special;big
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Abstract Concepts,love,great;good;real;true;big;new;much;special;first;strong
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Abstract Concepts,peace,great;good;real;true;much;new;important;long;world;international
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Abstract Concepts,wisdom,great;good;real;true;much;old;important;hard;new;special
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Cultural Artifacts,bell,big;small;loud;new;good;old;church;school;metal;silver
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Cultural Artifacts,candle,white;small;big;long;new;wax;old;good;colored;red
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Cultural Artifacts,carpet,big;small;red;new;old;good;soft;long;blue;green
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Cultural Artifacts,coin,gold;silver;old;new;small;big;round;metal;good;special
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Cultural Artifacts,crown,gold;new;old;big;important;silver;beautiful;royal;small;metal
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Cultural Artifacts,flag,big;new;small;red;white;national;old;long;good;green
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Cultural Artifacts,mask,big;small;white;new;black;good;strange;red;scary;plastic
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Cultural Artifacts,necklace,gold;silver;long;new;small;beautiful;good;pearl;old;metal
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Cultural Artifacts,painting,big;good;beautiful;new;old;famous;great;small;oil;colored
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Cultural Artifacts,ring,gold;silver;small;new;old;good;big;metal;round;wedding
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Cultural Artifacts,statue,big;small;new;old;good;white;stone;metal;important;famous
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Cultural Artifacts,vase,big;small;new;old;glass;flower;good;beautiful;white;red
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Environmental Phenomena,cloud,white;big;gray;dark;small;black;rain;new;good;blue
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Environmental Phenomena,earthquake,big;strong;bad;new;old;great;small;real;good;hard
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Environmental Phenomena,fog,thick;white;bad;gray;cold;big;new;old;good;heavy
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Environmental Phenomena,lightning,bright;fast;big;new;bad;strong;yellow;white;good;real
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Environmental Phenomena,rain,big;hard;heavy;cold;new;good;small;light;much;real
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Environmental Phenomena,rainbow,big;beautiful;colorful;new;good;long;high;light;small;nice
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Environmental Phenomena,snow,white;cold;big;much;new;good;small;heavy;real;nice
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Environmental Phenomena,storm,big;bad;strong;hard;new;good;great;long;much;real
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Environmental Phenomena,thunder,loud;big;strong;new;good;bad;great;scary;real;long
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Environmental Phenomena,tide,high;low;big;new;good;strong;real;sea;ocean;much
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Environmental Phenomena,volcano,big;high;hot;new;old;dangerous;real;strong;active;great
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Environmental Phenomena,wind,big;strong;cold;hard;new;good;fast;much;light;real
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Food Items,apple,red;green;good;sweet;big;new;small;round;fresh;yellow
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Food Items,banana,yellow;good;sweet;new;small;big;long;soft;fresh;green
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Food Items,beef,good;new;big;fresh;red;cooked;much;raw;hard;expensive
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Food Items,bread,white;good;fresh;brown;new;big;hard;soft;small;long
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Food Items,broccoli,green;good;new;fresh;small;big;much;healthy;hard;soft
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Food Items,cheese,yellow;white;good;new;hard;soft;old;small;big;much
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Food Items,chicken,good;new;fried;big;cooked;small;white;fresh;roast;boiled
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Food Items,egg,white;new;good;big;small;hard;fresh;boiled;brown;raw
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Food Items,fish,good;new;fresh;big;small;cooked;salt;fried;sea;river
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Food Items,pasta,long;good;new;big;small;cooked;dry;white;yellow;much
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Food Items,rice,white;good;new;cooked;big;small;long;much;dry;brown
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Food Items,soup,hot;good;new;big;vegetable;chicken;small;much;fresh;nice
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Human Roles,artist,good;famous;great;new;young;old;big;small;real;important
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Human Roles,athlete,good;strong;great;new;young;fast;big;small;famous;professional
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Human Roles,chef,good;new;famous;great;young;old;big;small;white;main
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Human Roles,doctor,good;new;young;old;big;small;white;important;best;nice
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Human Roles,engineer,good;new;young;old;big;small;important;great;best;hard
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Human Roles,farmer,good;new;young;old;big;small;real;local;hard
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Human Roles,lawyer,good;new;young;old;big;small;important;great;hard;expensive
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Human Roles,musician,good;new;young;old;big;small;famous;great;best;real
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Human Roles,scientist,good;new;young;old;big;small;important;great;best;real
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Human Roles,soldier,good;young;brave;new;big;strong;small;real;dead;important
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Human Roles,teacher,good;new;young;old;big;small;important;best;nice;hard
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Human Roles,writer,good;new;young;old;big;small;famous;great;important;real
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Inanimate Objects,book,good;new;old;big;small;interesting;important;long;hard;many
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Inanimate Objects,bridge,big;long;new;old;small;good;high;strong;wide;gray
gemini-2.0-flash,basic,2.0,GA # Irish,B1,most frequent,Inanimate Objects,drums,big;loud;new;small;old;good;hard;black;musical;red
