Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,anger,strong;deep;hot;wild;red;loud;bitter;quick;fierce;dark
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,courage,brave;bold;great;true;strong;real;pure;amazing;high;firm
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,fear,big;deep;cold;dark;sudden;strong;terrible;awful;hidden;silent
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,freedom,full;true;new;great;sweet;hard;basic;pure;open;wide
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,happiness,pure;great;true;big;warm;bright;simple;real;deep;sweet
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,hate,strong;deep;bitter;dark;cold;fierce;angry;hard;blind;evil
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,honesty,pure;true;real;clear;strong;simple;good;open;fair;basic
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,justice,fair;true;strong;real;equal;good;pure;clear;hard;right
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,knowledge,deep;wide;great;useful;strong;clear;basic;true;new;vast
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,love,true;deep;sweet;warm;strong;pure;real;soft;kind;big
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,peace,calm;quiet;sweet;true;deep;real;gentle;pure;soft;lasting
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,wisdom,deep;great;true;old;clear;strong;pure;wise;simple;vast
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,bell,loud;clear;small;old;shiny;golden;heavy;sweet;bright;metal
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,candle,small;white;warm;soft;bright;old;thin;red;glowing;simple
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,carpet,soft;red;thick;old;big;warm;colorful;clean;heavy;nice
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,coin,old;small;shiny;round;silver;gold;heavy;rare;dirty;worn
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,crown,golden;heavy;shiny;royal;old;beautiful;big;rich;bright;grand
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,flag,red;white;blue;national;big;old;proud;bright;waving;colorful
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,mask,black;scary;funny;old;white;wooden;strange;dark;colorful;hidden
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,necklace,silver;gold;long;shiny;beautiful;old;thin;expensive;simple;elegant
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,painting,old;beautiful;big;colorful;famous;dark;small;strange;lovely;bright
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,ring,gold;silver;small;shiny;beautiful;old;round;expensive;simple;thin
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,statue,old;big;tall;stone;beautiful;white;heavy;famous;ancient;grand
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,vase,old;small;glass;white;beautiful;thin;delicate;blue;tall;empty
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Environmental Phenomena,cloud,white;big;dark;soft;grey;high;fluffy;thick;small;moving
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Environmental Phenomena,earthquake,strong;scary;sudden;big;terrible;powerful;dangerous;loud;deep;awful
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Environmental Phenomena,fog,thick;white;cold;heavy;grey;dark;wet;silent;mysterious;dense
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Environmental Phenomena,lightning,bright;fast;loud;scary;strong;yellow;sudden;dangerous;wild;sharp
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;wet;soft;strong;dark;long;grey;sudden
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Environmental Phenomena,rainbow,colorful;bright;beautiful;big;rare;lovely;magic;clear;soft;happy
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;thick;heavy;beautiful;wet;light;pure;silent
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Environmental Phenomena,storm,strong;loud;dark;scary;big;wild;dangerous;wet;cold;angry
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Environmental Phenomena,thunder,loud;deep;scary;strong;sudden;dark;powerful;angry;heavy;wild
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Environmental Phenomena,tide,high;low;strong;fast;big;dangerous;calm;cold;wet;powerful
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Environmental Phenomena,volcano,active;hot;big;dangerous;tall;red;dark;scary;old;powerful
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Environmental Phenomena,wind,strong;cold;fast;loud;wild;soft;warm;gentle;high;sharp
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Food Items,apple,red;green;sweet;fresh;small;round;juicy;hard;ripe;tasty
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Food Items,banana,yellow;long;sweet;soft;fresh;ripe;small;curved;tasty;healthy
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Food Items,beef,red;fresh;tender;raw;cooked;thick;juicy;expensive;soft;tasty
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Food Items,bread,fresh;soft;warm;brown;white;hard;tasty;small;round;homemade
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Food Items,broccoli,green;fresh;healthy;small;hard;raw;cooked;tasty;bitter;thick
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Food Items,cheese,yellow;white;soft;hard;tasty;strong;creamy;old;fresh;melted
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Food Items,chicken,white;tender;juicy;cooked;raw;fresh;small;tasty;roasted;soft
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Food Items,egg,white;brown;small;fresh;hard;soft;boiled;raw;round;fragile
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Food Items,fish,fresh;small;silver;big;raw;cooked;tasty;wet;cold;salty
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Food Items,pasta,long;short;yellow;soft;cooked;fresh;tasty;hot;simple;Italian
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Food Items,rice,white;brown;long;short;soft;cooked;tasty;hot;simple;healthy
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Food Items,soup,hot;warm;tasty;thick;thin;fresh;creamy;clear;salty;homemade
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Human Roles,artist,creative;talented;famous;young;old;poor;rich;strange;skilled;passionate
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Human Roles,athlete,strong;fast;young;tall;fit;skilled;famous;powerful;active;tough
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Human Roles,chef,skilled;famous;creative;busy;friendly;old;young;talented;professional;passionate
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Human Roles,doctor,kind;smart;busy;old;young;helpful;friendly;serious;skilled;patient
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Human Roles,engineer,smart;skilled;busy;young;old;creative;serious;talented;professional;hardworking
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Human Roles,farmer,hardworking;old;kind;strong;poor;friendly;busy;simple;tough;patient
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Human Roles,lawyer,smart;serious;busy;rich;old;young;skilled;tough;professional;strict
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Human Roles,musician,talented;famous;young;creative;passionate;skilled;old;friendly;unique;artistic
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Human Roles,scientist,smart;curious;serious;old;young;skilled;creative;busy;famous;clever
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Human Roles,soldier,brave;strong;young;tough;loyal;serious;tall;proud;trained;fearless
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Human Roles,teacher,kind;patient;smart;friendly;strict;old;young;helpful;wise;caring
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Human Roles,writer,creative;famous;young;old;talented;quiet;passionate;skilled;unique;thoughtful
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Inanimate Objects,book,old;new;thick;thin;big;small;interesting;boring;heavy;colorful
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Inanimate Objects,bridge,old;long;high;strong;wooden;stone;narrow;wide;beautiful;famous
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Inanimate Objects,drums,loud;big;heavy;round;old;shiny;wooden;powerful;noisy;colorful
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Inanimate Objects,earth,big;round;green;blue;old;beautiful;vast;rich;warm;alive
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Inanimate Objects,flute,small;silver;shiny;old;wooden;light;sweet;thin;delicate;beautiful
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Inanimate Objects,key,small;metal;old;shiny;heavy;silver;gold;round;flat;important
