Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Abstract Concepts,anger,hot;strong;bad;quick;deep;sudden;fierce;blind;raw;wild
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Abstract Concepts,courage,brave;strong;good;big;true;quiet;bold;great;steady;heroic
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Abstract Concepts,fear,big;cold;dark;strong;sudden;deep;scary;weak;silent;real
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Abstract Concepts,freedom,free;big;true;good;new;open;sweet;full;clear;strong
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Abstract Concepts,happiness,happy;bright;warm;good;big;sweet;full;real;light;pure
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Abstract Concepts,hate,strong;bad;deep;cold;bitter;dark;blind;fierce;raw;old
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Abstract Concepts,honesty,true;good;straight;clear;simple;strong;pure;real;fair;open
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Abstract Concepts,justice,fair;good;true;strong;clear;blind;quick;pure;right;firm
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Abstract Concepts,knowledge,big;deep;useful;good;new;old;clear;wide;real;strong
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Abstract Concepts,love,deep;true;strong;warm;sweet;pure;big;blind;real;gentle
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Abstract Concepts,peace,quiet;good;calm;deep;sweet;full;strong;real;warm;soft
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Abstract Concepts,wisdom,wise;deep;old;good;strong;clear;pure;real;full;great
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,bell,loud;big;old;small;shiny;clear;round;metal;new;broken
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,candle,small;bright;hot;wax;long;thin;colored;old;new;soft
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,carpet,soft;big;colorful;old;clean;thick;warm;new;dirty;flat
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,coin,small;old;shiny;metal;round;valuable;new;dirty;gold;rare
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,crown,big;gold;shiny;old;royal;heavy;beautiful;new;simple;broken
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,flag,colorful;big;old;national;waving;red;blue;new;simple;torn
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,mask,strange;old;black;scary;simple;new;protective;funny;big;small
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,necklace,beautiful;shiny;gold;long;simple;old;new;heavy;colorful;cheap
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,painting,beautiful;old;colorful;big;simple;new;famous;dark;bright;detailed
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,ring,small;gold;shiny;old;new;simple;valuable;broken;big;diamond
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,statue,big;old;stone;beautiful;new;tall;famous;broken;simple;metal
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,vase,beautiful;old;glass;big;small;colorful;new;broken;simple;tall
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,cloud,white;big;fluffy;dark;light;moving;high;gray;soft;thin
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,earthquake,strong;sudden;big;scary;deep;violent;rare;destructive;long;underground
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,fog,thick;gray;cold;wet;heavy;low;mysterious;soft;early;dense
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,lightning,bright;fast;scary;sudden;powerful;white;dangerous;quick;electric;wild
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,rain,heavy;cold;wet;light;steady;soft;hard;fresh;warm;falling
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,rainbow,colorful;beautiful;bright;rare;wide;high;magical;clear;full;short
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;deep;light;fresh;wet;pure;heavy;falling
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,storm,strong;wild;dark;loud;big;sudden;dangerous;wet;fierce;long
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,thunder,loud;scary;deep;sudden;powerful;rumbling;dark;strong;electric;distant
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,tide,high;low;strong;fast;deep;cold;rising;falling;wild;daily
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,volcano,big;active;hot;dangerous;old;explosive;smoking;tall;sleeping;rocky
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,wind,strong;cold;fast;light;warm;wild;gentle;blowing;dry;fresh
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Food Items,apple,red;big;sweet;fresh;juicy;green;small;ripe;hard;tasty
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Food Items,banana,yellow;long;sweet;fresh;ripe;small;soft;green;curved;tasty
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Food Items,beef,fresh;red;tough;juicy;cooked;cheap;good;fatty;lean;raw
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Food Items,bread,fresh;soft;white;warm;crusty;big;small;dry;tasty;brown
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Food Items,broccoli,green;fresh;crunchy;healthy;small;big;raw;cooked;bitter;tasty
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Food Items,cheese,yellow;soft;hard;tasty;fresh;strong;creamy;old;mild;grated
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Food Items,chicken,fresh;cooked;white;juicy;small;big;raw;fried;tasty;cheap
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Food Items,egg,white;fresh;small;big;boiled;raw;cracked;brown;soft;hard
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Food Items,fish,fresh;big;small;silver;tasty;raw;cooked;wild;salty;slippery
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Food Items,pasta,soft;cooked;long;short;tasty;cheap;hot;dry;fresh;white
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Food Items,rice,white;cooked;dry;hot;sticky;fresh;cheap;soft;brown;raw
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Food Items,soup,hot;tasty;thick;clear;fresh;spicy;cold;creamy;simple;vegetable
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Human Roles,artist,creative;talented;young;old;famous;good;busy;skilled;poor;rich
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Human Roles,athlete,strong;fast;young;fit;skilled;famous;active;tall;quick;dedicated
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Human Roles,chef,good;busy;talented;young;old;skilled;famous;creative;quick;professional
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Human Roles,doctor,good;busy;skilled;young;old;helpful;professional;kind;smart;tired
grok-3-mini,think-in-native,1.0,TH # Thai,B1,most frequent,Human Roles,engineer,smart;busy;skilled;young;old;creative;professional;good;practical;technical
