Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,anger,big;bad;hot;strong;much;other;new;same;little;good
gemini-2.0-flash,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,courage,big;much;other;new;same;little;good;real;more;different
gemini-2.0-flash,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,fear,big;bad;much;other;new;same;little;good;real;more
gemini-2.0-flash,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,freedom,big;much;other;new;same;little;good;real;more;different
gemini-2.0-flash,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,happiness,big;much;other;new;same;little;good;real;more;different
gemini-2.0-flash,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,hate,big;bad;much;other;new;same;little;good;real;more
gemini-2.0-flash,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,honesty,big;much;other;new;same;little;good;real;more;different
gemini-2.0-flash,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,justice,big;much;other;new;same;little;good;real;more;different
gemini-2.0-flash,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,knowledge,big;much;other;new;same;little;good;real;more;different
gemini-2.0-flash,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,love,big;much;other;new;same;little;good;real;more;different
gemini-2.0-flash,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,peace,big;much;other;new;same;little;good;real;more;different
gemini-2.0-flash,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,wisdom,big;much;other;new;same;little;good;real;more;different
gemini-2.0-flash,think-in-native,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,bell,big;small;new;old;good;bad;other;same;different;metal
gemini-2.0-flash,think-in-native,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,candle,big;small;new;old;good;bad;other;same;white;different
gemini-2.0-flash,think-in-native,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,carpet,big;small;new;old;good;bad;other;same;red;different
gemini-2.0-flash,think-in-native,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,coin,big;small;new;old;good;bad;other;same;gold;different
gemini-2.0-flash,think-in-native,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,crown,big;small;new;old;good;bad;other;same;gold;different
gemini-2.0-flash,think-in-native,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,flag,big;small;new;old;good;bad;other;same;red;different
gemini-2.0-flash,think-in-native,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,mask,big;small;new;old;good;bad;other;same;white;different
gemini-2.0-flash,think-in-native,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,necklace,big;small;new;old;good;bad;other;same;gold;different
