Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,anger,strong;deep;hot;fierce;burning;quick;rough;wild;sharp;intense
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,courage,strong;brave;bold;true;firm;steady;calm;clear;real;noble
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,fear,big;deep;dark;cold;raw;hard;wild;grim;real;great
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,freedom,free;open;wide;clear;true;pure;safe;bright;deep;happy
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,happiness,happy;bright;warm;good;clear;fine;real;pure;calm;gentle
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,hate,strong;deep;dark;cold;bad;hard;raw;wild;harsh;bitter
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,honesty,true;clear;pure;good;fair;real;deep;strong;calm;open
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,justice,fair;true;clear;strong;good;honest;pure;deep;brave;real
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,knowledge,deep;clear;big;true;real;wide;good;open;bright;strong
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,love,strong;deep;true;warm;kind;pure;good;bright;real;soft
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,peace,calm;quiet;clear;deep;pure;good;soft;bright;safe;kind
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,wisdom,deep;true;old;clear;good;pure;real;kind;full;bright
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,bell,small;round;old;clear;loud;bright;plain;fine;heavy;strong
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,candle,small;bright;soft;warm;clear;old;fine;light;pure;calm
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,carpet,soft;thick;warm;old;bright;fine;neat;deep;good;clean
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,coin,small;round;old;shiny;bright;hard;clear;fine;pure;true
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,crown,rich;bright;high;fine;old;strong;true;bold;neat;royal
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,flag,red;blue;bright;high;clear;strong;neat;real;fine;wide
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,mask,dark;old;clear;real;true;neat;bold;fine;soft;pure
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,necklace,small;fine;bright;old;shiny;clear;neat;pure;true;soft
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,painting,old;fine;bright;clear;real;neat;bold;deep;true;good
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,ring,small;round;bright;fine;old;clear;neat;true;pure;bold
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,statue,big;old;strong;clear;fine;true;deep;neat;bright;pure
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,vase,small;fine;old;bright;clear;neat;real;pure;true;soft
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,cloud,white;soft;bright;high;deep;clear;fine;real;light;calm
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,earthquake,big;strong;deep;fast;real;hard;wild;rough;loud;heavy
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,fog,thick;deep;soft;dark;wide;clear;cold;heavy;still;high
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,lightning,bright;fast;strong;clear;sharp;real;deep;wild;quick;hot
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,rain,wet;cold;soft;light;clear;deep;strong;hard;real;long
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,rainbow,bright;clear;wide;deep;fine;true;neat;soft;rich;vivid
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,snow,white;soft;cold;deep;pure;clear;fine;real;bright;calm
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,storm,strong;wild;fast;deep;loud;dark;real;hard;fierce;rough
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,thunder,loud;deep;strong;dark;real;hard;fast;clear;heavy;wild
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,tide,high;low;strong;deep;clear;real;raw;fast;wild;firm
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,volcano,big;hot;strong;deep;real;wild;fierce;old;raw;rough
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,wind,strong;cold;fast;deep;real;clear;wild;soft;high;fresh
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Food Items,apple,red;good;sweet;fresh;round;small;fine;juicy;bright;neat
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Food Items,banana,yellow;good;sweet;soft;ripe;fresh;long;fine;small;neat
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Food Items,beef,red;good;raw;thick;fresh;strong;fine;hard;juicy;real
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Food Items,bread,fresh;good;soft;brown;warm;fine;old;real;neat;thick
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Food Items,broccoli,green;fresh;good;raw;fine;neat;small;bright;young;crisp
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Food Items,cheese,yellow;good;fresh;soft;hard;neat;fine;real;old;rich
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Food Items,chicken,good;fresh;raw;warm;brown;fine;neat;small;real;tasty
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Food Items,egg,small;white;fresh;good;neat;round;fine;raw;brown;pure
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Food Items,fish,fresh;good;small;wild;blue;raw;fine;neat;fast;real
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Food Items,pasta,good;soft;fine;raw;fresh;neat;long;small;real;tasty
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Food Items,rice,white;fine;good;small;neat;real;pure;soft;fresh;plain
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Food Items,soup,hot;good;fresh;soft;warm;deep;clear;neat;real;tasty
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Human Roles,artist,creative;good;smart;kind;deep;real;bright;neat;brave;true
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Human Roles,athlete,strong;fast;good;brave;real;neat;clear;bold;active;tough
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Human Roles,chef,good;smart;neat;kind;real;bold;clear;brave;fine;quick
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Human Roles,doctor,good;kind;smart;brave;real;clear;neat;strong;warm;true
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Human Roles,engineer,smart;good;clear;neat;strong;real;brave;fine;kind;true
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Human Roles,farmer,hard;good;strong;real;brave;neat;kind;old;clear;big
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Human Roles,lawyer,smart;good;clear;strong;true;neat;fair;kind;real;brave
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Human Roles,musician,good;creative;smart;kind;real;bright;neat;clear;bold;true
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Human Roles,scientist,smart;good;clear;real;brave;neat;kind;strong;true;deep
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Human Roles,soldier,brave;strong;good;real;hard;neat;bold;true;fast;tough
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Human Roles,teacher,good;kind;smart;clear;neat;brave;true;real;patient;calm
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Human Roles,writer,good;kind;smart;clear;neat;real;true;brave;deep;fine
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Inanimate Objects,book,old;good;clear;real;neat;deep;fine;thick;new;plain
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Inanimate Objects,bridge,long;strong;good;high;clear;neat;real;big;old;wide
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Inanimate Objects,drums,loud;strong;deep;good;fast;neat;clear;bold;real;hard
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Inanimate Objects,earth,green;old;good;deep;round;real;clear;neat;big;wide
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Inanimate Objects,flute,small;clear;good;soft;real;neat;bright;fine;old;pure
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Inanimate Objects,key,small;old;good;clear;fine;real;neat;true;sharp;hard
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Inanimate Objects,knife,sharp;small;good;real;old;clear;fine;hard;true;neat
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Inanimate Objects,lock,strong;old;good;real;neat;clear;tight;fine;safe;hard
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Inanimate Objects,moon,bright;round;old;clear;deep;pure;real;high;soft;cool
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Inanimate Objects,pen,small;good;clear;neat;fine;real;blue;true;sharp;old
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Inanimate Objects,sun,bright;warm;strong;high;clear;good;real;big;fine;pure
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Inanimate Objects,sword,sharp;strong;old;good;clear;fine;brave;real;true;hard
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Neutral Animals,cat,small;cute;soft;good;real;neat;kind;calm;fast;young
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Neutral Animals,dog,good;kind;strong;brave;real;neat;fast;cute;smart;loyal
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Neutral Animals,dolphin,smart;kind;good;fast;real;neat;clear;bright;blue;young
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Neutral Animals,elephant,big;strong;old;kind;good;real;neat;slow;smart;heavy
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Neutral Animals,hamster,small;cute;soft;good;neat;real;kind;round;fast;young
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Neutral Animals,monkey,smart;quick;good;kind;real;neat;fast;bold;young;fun
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Neutral Animals,mouse,small;quick;good;neat;real;kind;light;soft;shy;young
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Neutral Animals,peacock,bright;beautiful;fine;real;neat;old;bold;clear;kind;proud
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Neutral Animals,rabbit,small;soft;quick;good;neat;real;kind;brown;young;cute
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Neutral Animals,shark,big;strong;fast;real;bold;neat;deep;wild;sharp;dark
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Neutral Animals,snake,long;slim;real;bold;good;neat;dark;fast;quiet;cold
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Neutral Animals,whale,big;strong;deep;real;old;good;slow;neat;clear;huge
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Places,city,big;busy;loud;bright;old;clear;neat;real;safe;wide
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Places,desert,hot;dry;big;clear;deep;old;true;real;hard;wide
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Places,forest,green;big;deep;old;dark;calm;clear;neat;real;wild
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Places,island,small;big;green;clear;real;old;neat;safe;bright;calm
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Places,lake,big;deep;clear;still;calm;real;old;pure;neat;cool
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Places,mountain,big;high;old;steep;deep;strong;clear;real;wild;cool
o3-mini,basic,1.0,SQ # Albanian,B1,most frequent,Places,ocean,big;deep;blue;strong;wild;clear;real;rough;cold;vast
